,TF,Target,Label
0,6,875,1
1,6,394,1
2,6,1404,1
3,6,1218,1
4,6,431,1
5,6,45,1
6,6,141,1
7,6,75,1
8,6,212,1
9,6,1047,1
10,6,123,1
11,6,662,1
12,6,384,1
13,6,1334,1
14,6,380,1
15,8,1218,1
16,9,1081,1
17,9,686,1
18,9,1383,1
19,9,984,1
20,16,8,1
21,16,931,1
22,24,1025,1
23,24,188,1
24,24,14,1
25,24,420,1
26,24,1069,1
27,24,287,1
28,24,365,1
29,24,1217,1
30,24,1136,1
31,24,199,1
32,24,140,1
33,24,1300,1
34,24,1014,1
35,24,610,1
36,24,1402,1
37,24,1272,1
38,24,1362,1
39,24,773,1
40,24,727,1
41,25,286,1
42,25,594,1
43,25,943,1
44,25,383,1
45,25,596,1
46,25,301,1
47,33,1175,1
48,35,824,1
49,35,1010,1
50,35,285,1
51,35,1218,1
52,35,770,1
53,35,94,1
54,38,1283,1
55,38,922,1
56,38,956,1
57,38,681,1
58,38,715,1
59,38,953,1
60,38,674,1
61,38,677,1
62,38,444,1
63,38,141,1
64,38,249,1
65,38,1113,1
66,38,563,1
67,38,1394,1
68,38,513,1
69,38,1136,1
70,38,295,1
71,38,1319,1
72,38,1396,1
73,38,1326,1
74,38,586,1
75,38,1018,1
76,38,1300,1
77,38,1102,1
78,38,1030,1
79,38,36,1
80,38,1242,1
81,38,598,1
82,38,35,1
83,38,1014,1
84,38,340,1
85,38,1366,1
86,38,562,1
87,38,1280,1
88,38,515,1
89,38,1187,1
90,38,480,1
91,41,1333,1
92,41,286,1
93,41,771,1
94,41,94,1
95,61,1105,1
96,61,771,1
97,61,566,1
98,61,1061,1
99,61,1076,1
100,61,992,1
101,61,128,1
102,61,477,1
103,62,941,1
104,62,965,1
105,64,1047,1
106,64,75,1
107,64,463,1
108,64,632,1
109,64,964,1
110,64,383,1
111,73,807,1
112,80,19,1
113,80,227,1
114,80,1194,1
115,80,188,1
116,80,8,1
117,80,771,1
118,80,1404,1
119,80,805,1
120,80,295,1
121,80,806,1
122,80,225,1
123,80,825,1
124,80,1292,1
125,80,1010,1
126,80,1402,1
127,80,1337,1
128,80,1289,1
129,80,566,1
130,80,71,1
131,80,753,1
132,80,1023,1
133,80,1068,1
134,80,1366,1
135,80,1207,1
136,80,116,1
137,89,1047,1
138,103,62,1
139,106,1168,1
140,106,1210,1
141,106,237,1
142,106,758,1
143,106,19,1
144,106,216,1
145,106,99,1
146,106,1375,1
147,106,74,1
148,106,940,1
149,106,1047,1
150,106,91,1
151,106,348,1
152,106,953,1
153,106,618,1
154,106,907,1
155,106,716,1
156,106,853,1
157,106,638,1
158,106,814,1
159,106,103,1
160,106,1078,1
161,106,707,1
162,106,338,1
163,106,681,1
164,106,109,1
165,106,129,1
166,106,1023,1
167,106,154,1
168,107,1159,1
169,107,75,1
170,107,1211,1
171,107,895,1
172,109,1009,1
173,109,1254,1
174,109,1076,1
175,109,567,1
176,109,89,1
177,111,54,1
178,111,145,1
179,116,320,1
180,116,1287,1
181,116,128,1
182,126,931,1
183,128,1029,1
184,128,230,1
185,129,1062,1
186,129,859,1
187,129,1356,1
188,129,1358,1
189,131,793,1
190,134,1243,1
191,141,384,1
192,141,1217,1
193,141,968,1
194,141,1241,1
195,141,931,1
196,141,1047,1
197,141,38,1
198,141,926,1
199,141,875,1
200,141,874,1
201,158,250,1
202,171,384,1
203,171,948,1
204,171,1240,1
205,171,32,1
206,171,795,1
207,171,159,1
208,171,156,1
209,171,1167,1
210,171,667,1
211,171,995,1
212,171,517,1
213,171,850,1
214,171,1353,1
215,171,212,1
216,171,557,1
217,171,983,1
218,171,165,1
219,171,1371,1
220,171,264,1
221,171,730,1
222,171,1361,1
223,171,487,1
224,171,853,1
225,171,977,1
226,171,945,1
227,171,1009,1
228,171,84,1
229,171,1374,1
230,171,301,1
231,171,1295,1
232,171,953,1
233,171,528,1
234,171,1384,1
235,171,1394,1
236,171,35,1
237,171,975,1
238,171,383,1
239,171,102,1
