,TF,Target,Label
0,2,747,1
1,9,747,1
2,9,932,1
3,9,1235,1
4,9,472,1
5,15,47,1
6,15,922,1
7,15,620,1
8,15,747,1
9,31,723,1
10,31,1089,1
11,36,770,1
12,36,644,1
13,36,1026,1
14,43,969,1
15,43,659,1
16,43,1016,1
17,43,495,1
18,43,341,1
19,43,625,1
20,44,341,1
21,47,610,1
22,47,672,1
23,48,1257,1
24,48,1260,1
25,48,730,1
26,48,1042,1
27,48,1445,1
28,48,747,1
29,48,1202,1
30,48,1132,1
31,48,477,1
32,48,1235,1
33,48,1150,1
34,48,981,1
35,48,704,1
36,48,405,1
37,48,1007,1
38,48,904,1
39,48,876,1
40,48,1086,1
41,48,661,1
42,48,645,1
43,48,1295,1
44,48,1410,1
45,48,69,1
46,48,1215,1
47,52,375,1
48,52,86,1
49,52,826,1
50,53,1005,1
51,53,494,1
52,57,1038,1
53,57,1014,1
54,57,592,1
55,57,495,1
56,57,887,1
57,57,844,1
58,57,491,1
59,57,740,1
60,57,1228,1
61,57,596,1
62,60,181,1
63,60,1288,1
64,60,610,1
65,60,1235,1
66,60,473,1
67,61,718,1
68,61,815,1
69,61,642,1
70,61,1340,1
71,61,1045,1
72,61,552,1
73,61,587,1
74,61,902,1
75,61,442,1
76,61,491,1
77,61,1326,1
78,61,153,1
79,61,68,1
80,61,954,1
81,61,1249,1
82,61,1228,1
83,61,550,1
84,61,1016,1
85,61,97,1
86,61,992,1
87,61,1196,1
88,61,233,1
89,61,1058,1
90,61,1243,1
91,61,306,1
92,61,92,1
93,61,1062,1
94,61,1078,1
95,65,495,1
96,65,907,1
97,75,1092,1
98,75,903,1
99,75,74,1
100,75,664,1
101,80,1371,1
102,80,838,1
103,80,649,1
104,80,1230,1
105,80,55,1
106,80,1260,1
107,80,48,1
108,80,1062,1
109,80,1313,1
110,80,580,1
111,80,985,1
112,80,255,1
113,80,1196,1
114,80,571,1
115,80,585,1
116,81,740,1
117,81,940,1
118,81,294,1
119,81,427,1
120,86,242,1
121,86,501,1
122,88,57,1
123,88,1014,1
124,88,983,1
125,89,1148,1
126,89,826,1
127,93,1005,1
128,97,61,1
129,97,516,1
130,97,1124,1
131,97,336,1
132,97,1402,1
133,98,1288,1
134,101,57,1
135,110,1247,1
136,110,285,1
137,110,890,1
138,110,27,1
139,110,731,1
140,110,877,1
141,110,1016,1
142,110,1004,1
143,110,764,1
144,110,99,1
145,110,222,1
146,110,1066,1
147,110,11,1
148,110,1106,1
149,110,1440,1
150,110,810,1
151,110,1159,1
152,110,788,1
153,110,1213,1
154,110,902,1
155,110,417,1
156,110,351,1
157,110,1007,1
158,110,976,1
159,110,1228,1
160,110,975,1
161,112,900,1
162,112,838,1
163,113,89,1
164,113,976,1
165,113,1044,1
166,113,1369,1
167,113,344,1
168,121,610,1
169,125,318,1
170,125,732,1
171,125,1221,1
172,125,1194,1
173,125,1425,1
174,125,724,1
175,125,253,1
176,129,617,1
177,129,375,1
178,132,255,1
179,132,1090,1
180,139,1301,1
181,140,831,1
182,140,1127,1
183,140,786,1
184,140,125,1
185,140,827,1
186,140,625,1
187,140,88,1
188,140,1016,1
189,140,767,1
190,140,197,1
191,140,678,1
192,140,1349,1
193,140,60,1
194,140,2,1
195,140,334,1
196,140,731,1
197,140,501,1
198,140,1007,1
199,140,195,1
200,140,307,1
201,140,1185,1
202,140,53,1
203,140,323,1
204,140,1100,1
205,140,548,1
206,140,481,1
207,140,262,1
208,140,626,1
209,140,78,1
210,140,358,1
211,140,283,1
212,140,693,1
213,140,124,1
214,140,1221,1
215,140,724,1
216,140,142,1
217,140,1019,1
218,140,792,1
219,140,1215,1
220,140,174,1
221,140,237,1
222,140,411,1
223,140,1045,1
224,140,838,1
225,140,1112,1
226,147,550,1
227,149,747,1
228,158,235,1
229,158,1133,1
230,158,1215,1
231,158,610,1
232,174,13,1
233,174,732,1
234,176,427,1
235,180,4,1
236,194,444,1
237,194,1288,1
238,194,383,1
239,194,610,1
240,197,283,1
241,200,1014,1
242,200,510,1
243,202,940,1
244,202,796,1
245,204,351,1
246,204,205,1
247,204,1138,1
248,204,610,1
249,205,467,1
250,205,1031,1
251,205,910,1
252,205,129,1
253,205,580,1
254,205,1168,1
255,205,490,1
256,205,1062,1
257,205,63,1
258,205,215,1
259,205,1042,1
260,205,829,1
261,205,424,1
262,205,855,1
263,205,1228,1
264,205,896,1
265,205,1138,1
266,205,981,1
267,205,324,1
268,205,1347,1
269,205,232,1
270,205,887,1
271,205,1218,1
272,205,346,1
273,205,1163,1
274,205,1053,1
275,205,1017,1
276,205,359,1
277,205,819,1
278,205,204,1
279,205,160,1
280,205,540,1
281,205,344,1
282,205,322,1
283,205,1016,1
284,205,1143,1
285,205,43,1
286,205,931,1
287,205,1051,1
288,205,809,1
289,205,779,1
290,205,615,1
291,205,348,1
292,205,575,1
293,205,12,1
294,205,1127,1
295,205,1145,1
296,205,1124,1
297,205,310,1
298,205,959,1
299,205,870,1
300,205,754,1
301,205,1286,1
302,205,341,1
303,205,998,1
304,205,747,1
305,205,795,1
306,205,417,1
307,205,1151,1
308,205,1350,1
309,205,693,1
310,205,1059,1
311,205,1183,1
312,205,1076,1
313,205,500,1
314,205,1191,1
315,205,210,1
316,205,719,1
317,205,963,1
318,205,258,1
319,205,462,1
320,205,383,1
321,205,1086,1
322,205,486,1
323,205,984,1
324,205,1260,1
325,205,351,1
326,205,1040,1
327,205,1399,1
328,205,558,1
329,205,158,1
330,205,36,1
331,205,235,1
332,209,1127,1
333,212,835,1
334,212,1365,1
