,TF,Target,Label
0,0,1219,1
1,0,88,1
2,2,298,1
3,2,1112,1
4,4,1290,1
5,4,688,1
6,4,588,1
7,4,34,1
8,5,1175,1
9,23,563,1
10,31,484,1
11,31,210,1
12,31,1116,1
13,31,925,1
14,31,359,1
15,31,857,1
16,31,905,1
17,31,170,1
18,31,829,1
19,31,1204,1
20,31,423,1
21,31,497,1
22,31,521,1
23,31,176,1
24,31,813,1
25,31,921,1
26,31,1246,1
27,31,957,1
28,31,819,1
29,31,1277,1
30,31,936,1
31,34,688,1
32,34,108,1
33,34,173,1
34,34,186,1
35,34,588,1
36,44,541,1
37,44,108,1
38,47,265,1
39,57,893,1
40,57,798,1
41,57,925,1
42,60,915,1
43,68,871,1
44,81,434,1
45,81,1023,1
46,81,437,1
47,81,170,1
48,81,367,1
49,81,359,1
50,81,362,1
51,81,926,1
52,81,1032,1
53,81,905,1
54,81,1112,1
55,81,86,1
56,81,685,1
57,81,597,1
58,81,1038,1
59,81,334,1
60,81,440,1
61,81,42,1
62,81,716,1
63,81,925,1
64,81,1208,1
65,81,641,1
66,81,343,1
67,81,131,1
68,81,719,1
69,81,1293,1
70,81,591,1
71,81,951,1
72,81,1080,1
73,81,921,1
74,81,853,1
75,81,1108,1
76,82,477,1
77,82,941,1
78,82,881,1
79,82,1297,1
80,82,538,1
81,82,612,1
82,82,849,1
83,82,1019,1
84,82,150,1
85,82,902,1
86,88,0,1
87,88,780,1
88,88,706,1
89,98,16,1
90,98,682,1
91,98,859,1
92,98,226,1
93,98,687,1
94,98,719,1
95,98,293,1
96,98,144,1
97,98,922,1
98,98,840,1
99,98,186,1
100,98,1112,1
101,98,749,1
102,98,138,1
103,98,6,1
104,98,250,1
105,98,929,1
106,105,590,1
107,105,538,1
108,105,755,1
109,105,881,1
110,105,849,1
111,105,548,1
112,105,467,1
113,105,879,1
114,105,477,1
115,105,505,1
116,105,944,1
117,106,9,1
118,106,182,1
119,106,1242,1
120,106,662,1
121,106,857,1
122,106,841,1
123,106,497,1
124,106,390,1
125,106,905,1
126,108,1023,1
127,116,818,1
128,116,1038,1
129,116,108,1
130,116,629,1
131,118,1242,1
132,118,426,1
133,137,1110,1
134,137,288,1
135,144,362,1
136,144,716,1
137,144,98,1
138,144,952,1
139,144,18,1
140,144,16,1
141,144,6,1
142,144,1112,1
143,146,444,1
144,146,464,1
145,146,942,1
146,146,662,1
147,150,505,1
148,150,82,1
149,150,365,1
150,150,548,1
151,150,959,1
152,150,849,1
153,150,766,1
154,150,105,1
155,150,292,1
156,150,1066,1
157,150,467,1
158,150,1053,1
159,150,879,1
160,150,902,1
161,150,1238,1
162,150,324,1
163,156,434,1
164,160,687,1
165,161,1185,1
166,161,502,1
167,161,1041,1
168,161,862,1
169,161,513,1
170,161,554,1
171,161,159,1
172,161,1010,1
173,161,835,1
174,161,270,1
175,161,228,1
176,161,316,1
177,161,1122,1
178,161,711,1
179,161,739,1
180,161,1113,1
181,161,693,1
182,161,469,1
183,161,291,1
184,161,1123,1
185,161,330,1
186,161,814,1
187,161,1115,1
188,170,573,1
189,170,1144,1
190,170,353,1
191,170,638,1
192,170,802,1
193,173,1143,1
194,173,915,1
195,173,629,1
196,173,34,1
197,179,623,1
198,182,312,1
199,182,1290,1
200,182,390,1
201,182,841,1
202,182,1038,1
203,182,1035,1
204,182,587,1
205,182,1227,1
206,182,777,1
207,182,9,1
208,186,743,1
209,186,1256,1
210,186,34,1
211,187,434,1
212,196,508,1
213,206,685,1
214,210,600,1
215,210,641,1
216,210,93,1
217,210,1291,1
218,210,1256,1
219,210,262,1
220,210,563,1
221,210,794,1
222,210,1253,1
223,210,1276,1
224,210,1063,1
225,210,1037,1
226,210,1235,1
227,210,676,1
228,210,1293,1
229,210,1047,1
230,210,129,1
231,210,312,1
232,210,925,1
233,210,748,1
234,210,857,1
235,210,353,1
236,210,610,1
237,210,440,1
238,210,434,1
239,210,430,1
240,210,726,1
241,210,764,1
242,210,1123,1
243,210,747,1
244,210,214,1
245,210,422,1
246,210,845,1
247,210,1054,1
248,210,801,1
249,210,496,1
250,210,543,1
251,210,459,1
252,210,219,1
253,210,382,1
254,216,502,1
255,219,925,1
256,219,390,1
257,226,420,1
258,226,749,1
259,226,797,1
260,226,186,1
261,226,719,1
262,226,6,1
263,226,1276,1
264,226,922,1
265,226,1296,1
266,226,161,1
267,226,375,1
268,226,906,1
269,226,929,1
270,226,500,1
271,226,440,1
272,226,16,1
273,226,1250,1
274,226,1041,1
275,226,916,1
276,226,18,1
277,226,647,1
278,226,859,1
279,226,312,1
280,237,914,1
281,239,254,1
282,239,41,1
283,239,687,1
284,239,1023,1
285,239,310,1
286,239,1114,1
287,239,957,1
288,250,780,1
289,254,687,1
290,254,1023,1
291,254,1168,1
292,254,1114,1
293,258,703,1
294,258,706,1
295,258,1045,1
296,258,1199,1
297,258,1203,1
298,258,578,1
299,258,307,1
300,258,797,1
301,258,693,1
302,258,1105,1
303,258,1258,1
304,258,1269,1
305,258,936,1
306,258,867,1
307,258,39,1
308,258,865,1
309,258,725,1
310,258,148,1
311,258,562,1
312,258,746,1
313,258,1194,1
314,258,783,1
315,258,378,1
316,258,1169,1
317,258,204,1
318,261,1110,1
319,265,47,1
320,265,634,1
321,265,991,1
322,265,1080,1
323,275,432,1
324,275,9,1
325,275,925,1
326,275,905,1
327,275,434,1
328,275,106,1
329,275,182,1
330,280,662,1
331,288,879,1
332,288,137,1
333,288,641,1
334,288,881,1
335,288,538,1
336,288,477,1
337,288,324,1
338,288,1149,1
339,288,590,1
340,291,1038,1
341,292,813,1
342,292,538,1
343,292,1019,1
344,292,902,1
345,292,849,1
346,292,1320,1
347,292,1238,1
348,292,941,1
349,292,879,1
350,292,324,1
351,301,716,1
352,301,558,1
353,301,497,1
354,301,1178,1
355,308,440,1
356,308,946,1
357,308,929,1
358,308,641,1
359,310,1023,1
360,310,41,1
361,310,239,1
362,310,254,1
363,310,794,1
364,310,687,1
365,310,591,1
366,312,915,1
367,312,1305,1
368,312,226,1
369,312,182,1
370,317,367,1
371,317,109,1
372,317,431,1
373,322,950,1
374,322,477,1
375,322,1053,1
376,322,1237,1
377,322,755,1
378,322,881,1
379,322,271,1
380,322,467,1
381,322,1066,1
382,322,324,1
383,322,902,1
384,322,505,1
385,323,951,1
386,324,271,1
387,324,1085,1
388,324,1182,1
389,324,105,1
390,324,849,1
391,324,1320,1
392,324,538,1
393,324,1110,1
394,324,292,1
395,324,941,1
396,324,755,1
397,324,1019,1
398,324,1238,1
399,324,322,1
400,324,82,1
401,324,1135,1
402,324,858,1
403,324,1237,1
404,324,9,1
405,324,288,1
406,330,1139,1
407,336,115,1
408,341,530,1
409,341,729,1
410,341,470,1
411,341,647,1
412,341,789,1
413,341,1024,1
414,341,954,1
415,341,709,1
416,341,875,1
417,341,706,1
418,341,1055,1
419,341,234,1
420,341,1292,1
421,347,794,1
422,353,1038,1
423,357,722,1
424,357,182,1
425,357,588,1
426,357,508,1
427,365,902,1
428,365,308,1
429,365,1182,1
430,365,538,1
431,365,505,1
432,365,477,1
433,365,324,1
434,365,150,1
435,367,562,1
436,367,358,1
437,367,1288,1
438,367,797,1
439,367,573,1
440,367,538,1
441,367,507,1
442,367,743,1
443,367,746,1
444,367,909,1
445,367,5,1
446,367,973,1
447,367,490,1
448,367,706,1
449,367,353,1
450,367,890,1
451,367,543,1
452,367,1269,1
453,367,317,1
454,367,676,1
455,367,210,1
456,367,1256,1
457,367,204,1
458,367,884,1
459,367,716,1
460,367,440,1
461,367,198,1
462,367,192,1
463,367,865,1
464,367,308,1
465,367,1225,1
466,367,682,1
467,367,124,1
468,367,163,1
469,367,65,1
470,367,489,1
471,367,41,1
472,367,648,1
473,367,641,1
474,367,1291,1
475,367,258,1
476,367,563,1
477,367,804,1
478,367,96,1
479,367,1198,1
480,377,841,1
481,377,275,1
482,377,628,1
483,377,9,1
484,381,780,1
485,385,502,1
486,390,106,1
487,390,219,1
488,390,857,1
489,390,182,1
490,399,662,1
491,423,1032,1
492,423,303,1
493,423,1291,1
494,423,1165,1
495,423,31,1
496,423,1174,1
497,423,563,1
498,430,915,1
499,434,1242,1
500,434,747,1
501,434,31,1
502,434,836,1
503,434,108,1
504,434,591,1
505,434,667,1
506,434,497,1
507,434,81,1
508,434,628,1
509,434,1062,1
510,434,905,1
511,434,1312,1
512,434,676,1
513,434,423,1
514,434,721,1
515,434,1213,1
516,434,106,1
517,434,355,1
518,434,549,1
519,434,1194,1
520,434,196,1
521,434,192,1
522,434,588,1
523,434,543,1
524,434,915,1
525,434,1237,1
526,434,1165,1
527,434,829,1
528,434,452,1
529,434,992,1
530,434,275,1
531,434,795,1
532,434,1239,1
533,434,893,1
534,434,94,1
535,434,93,1
536,434,96,1
537,434,641,1
538,434,978,1
539,434,813,1
540,434,282,1
541,434,1032,1
542,434,9,1
543,434,405,1
544,434,666,1
545,434,925,1
546,434,1118,1
547,434,1050,1
548,434,18,1
549,434,1234,1
550,434,440,1
551,440,610,1
552,440,282,1
553,440,34,1
554,440,1192,1
555,440,1235,1
556,440,18,1
557,440,31,1
558,440,442,1
559,440,802,1
560,440,650,1
561,440,627,1
562,440,1159,1
563,440,1296,1
564,440,706,1
565,440,1091,1
566,440,496,1
567,440,1168,1
568,440,641,1
569,440,1225,1
570,440,98,1
571,440,312,1
572,440,1293,1
573,440,1035,1
574,440,622,1
575,440,953,1
576,440,129,1
577,440,1312,1
578,440,854,1
579,440,952,1
580,440,80,1
581,440,629,1
582,440,450,1
583,440,1236,1
584,440,1172,1
585,440,1256,1
586,440,799,1
587,440,184,1
588,440,510,1
589,440,187,1
590,440,619,1
591,440,367,1
592,440,543,1
593,440,578,1
594,440,226,1
595,443,538,1
596,443,1110,1
597,443,288,1
598,443,9,1
599,444,108,1
600,444,1287,1
601,452,1037,1
602,452,1219,1
603,464,1242,1
604,464,602,1
605,464,91,1
606,464,500,1
607,464,491,1
608,464,958,1
609,464,957,1
610,464,490,1
611,464,441,1
612,464,1120,1
613,464,7,1
614,464,816,1
615,464,798,1
616,464,317,1
617,464,813,1
618,464,38,1
619,464,955,1
620,464,1186,1
621,464,539,1
622,464,1054,1
623,464,1266,1
624,464,709,1
625,464,1003,1
626,464,1311,1
627,464,1309,1
628,464,444,1
629,464,654,1
630,464,202,1
631,464,584,1
632,464,691,1
633,464,354,1
634,464,832,1
635,464,1144,1
636,464,146,1
637,464,1008,1
638,464,1307,1
639,464,667,1
640,464,188,1
641,464,928,1
642,464,963,1
643,464,696,1
644,464,637,1
645,464,726,1
646,464,1308,1
647,464,1024,1
648,464,1267,1
649,464,1247,1
650,464,1320,1
651,464,1058,1
652,464,11,1
653,464,306,1
654,464,1034,1
655,464,743,1
656,464,1285,1
657,464,1116,1
658,464,69,1
659,464,430,1
660,464,233,1
661,464,900,1
662,464,872,1
663,464,249,1
664,464,272,1
665,464,288,1
666,464,641,1
667,464,1130,1
668,464,310,1
669,464,422,1
670,464,1318,1
671,464,196,1
672,464,993,1
673,464,116,1
674,464,295,1
675,464,262,1
676,464,428,1
677,464,389,1
678,464,750,1
679,464,911,1
680,464,538,1
681,464,114,1
682,464,1106,1
683,464,1299,1
684,464,111,1
685,464,421,1
686,464,1089,1
687,464,1095,1
688,464,853,1
689,464,890,1
690,464,160,1
691,464,777,1
692,464,234,1
693,464,124,1
694,464,145,1
695,464,184,1
696,464,17,1
697,464,1246,1
698,464,986,1
699,464,107,1
700,464,161,1
701,464,171,1
702,464,605,1
703,464,156,1
704,464,1153,1
705,464,873,1
706,464,1170,1
707,464,1131,1
708,464,162,1
709,464,953,1
710,464,438,1
711,464,992,1
712,464,40,1
713,464,635,1
714,464,504,1
715,464,1284,1
716,464,1022,1
717,464,0,1
718,464,81,1
719,464,1045,1
720,464,261,1
721,464,658,1
722,464,631,1
723,464,756,1
724,464,1063,1
725,464,470,1
726,464,363,1
727,464,1047,1
728,464,228,1
729,464,877,1
730,464,649,1
731,464,30,1
732,464,423,1
733,464,130,1
734,464,1069,1
735,464,1192,1
736,464,811,1
737,464,1245,1
738,464,868,1
739,464,66,1
740,464,478,1
741,464,456,1
742,464,855,1
743,464,685,1
744,464,724,1
745,464,1061,1
746,464,364,1
747,464,1283,1
748,464,292,1
749,464,274,1
750,464,436,1
751,464,1224,1
752,464,1060,1
753,464,662,1
754,464,788,1
755,464,329,1
756,464,431,1
757,464,52,1
758,464,1230,1
759,464,987,1
760,464,1001,1
761,464,1239,1
762,464,67,1
763,464,1279,1
764,464,187,1
765,464,244,1
766,464,1237,1
767,464,243,1
768,464,1172,1
769,464,1046,1
770,464,1066,1
771,469,108,1
772,469,1023,1
773,475,1293,1
774,475,641,1
775,475,1245,1
776,477,271,1
777,477,766,1
778,477,443,1
779,477,1237,1
780,477,105,1
781,477,467,1
782,477,365,1
783,477,1085,1
784,477,1019,1
785,477,1053,1
786,477,755,1
787,477,902,1
788,477,1320,1
789,477,1182,1
790,477,324,1
791,477,881,1
792,477,505,1
793,477,150,1
794,477,1110,1
795,477,1254,1
796,477,1140,1
797,477,1238,1
798,477,197,1
799,478,108,1
800,497,1080,1
801,497,1256,1
802,497,702,1
803,497,359,1
804,497,23,1
805,497,1108,1
806,497,209,1
807,497,627,1
808,497,354,1
809,497,558,1
810,497,65,1
811,497,358,1
812,497,965,1
813,497,1178,1
814,497,434,1
815,497,179,1
816,497,9,1
817,497,622,1
818,497,563,1
819,497,1159,1
820,497,804,1
821,497,31,1
822,497,641,1
823,497,131,1
824,497,223,1
825,497,888,1
826,497,422,1
827,497,1015,1
828,497,1112,1
829,497,1066,1
830,497,853,1
831,497,301,1
832,497,1032,1
833,497,929,1
834,497,367,1
835,497,836,1
836,497,926,1
837,502,216,1
838,502,726,1
839,502,1242,1
840,502,385,1
841,502,1015,1
842,502,118,1
843,502,925,1
844,502,1063,1
845,504,1168,1
846,504,1138,1
847,504,1038,1
848,505,292,1
849,505,879,1
850,505,443,1
851,505,1140,1
852,505,1238,1
853,505,766,1
854,505,1237,1
855,505,849,1
856,505,150,1
857,505,1135,1
858,505,467,1
859,505,1066,1
860,505,1053,1
861,505,1019,1
862,505,755,1
863,505,324,1
864,505,1085,1
865,505,902,1
866,512,950,1
867,513,685,1
868,521,81,1
869,521,1045,1
870,521,367,1
871,521,538,1
872,521,592,1
873,521,431,1
874,521,1038,1
875,521,648,1
876,521,747,1
877,521,742,1
878,521,497,1
879,521,573,1
880,521,1290,1
881,521,1269,1
882,521,258,1
883,521,641,1
884,521,706,1
885,521,1037,1
886,521,1061,1
887,521,865,1
888,521,515,1
889,521,1174,1
890,521,890,1
891,521,308,1
892,535,1256,1
893,535,1115,1
894,538,150,1
895,538,766,1
896,538,197,1
897,538,271,1
898,538,881,1
899,538,879,1
900,538,944,1
901,538,292,1
902,538,941,1
903,538,467,1
904,538,322,1
905,538,105,1
906,538,1053,1
907,538,324,1
908,538,1182,1
909,538,1320,1
910,538,1085,1
911,538,1135,1
912,538,849,1
913,538,755,1
914,541,1139,1
915,541,69,1
916,541,1242,1
917,554,1035,1
918,554,807,1
919,559,372,1
920,563,716,1
921,563,1293,1
922,572,963,1
923,572,1053,1
924,573,986,1
925,573,336,1
926,573,955,1
927,573,814,1
928,573,1246,1
929,573,170,1
930,574,959,1
931,587,182,1
932,588,9,1
933,588,108,1
934,588,688,1
935,588,1038,1
936,588,1290,1
937,588,34,1
938,588,372,1
939,588,357,1
940,590,548,1
941,590,1019,1
942,590,1320,1
943,590,324,1
944,590,849,1
945,590,501,1
946,590,378,1
947,590,1140,1
948,590,322,1
949,590,288,1
950,590,1053,1
951,590,292,1
952,590,766,1
953,590,1066,1
954,590,530,1
955,590,477,1
