,TF,Target,Label
0,0,723,1
1,1,582,1
2,1,909,1
3,2,538,1
4,2,1219,1
5,2,658,1
6,2,773,1
7,2,317,1
8,2,355,1
9,2,566,1
10,2,247,1
11,8,673,1
12,8,1479,1
13,8,1130,1
14,9,275,1
15,9,564,1
16,9,1282,1
17,9,538,1
18,9,27,1
19,9,317,1
20,9,1587,1
21,9,1436,1
22,9,1004,1
23,9,190,1
24,9,544,1
25,9,1460,1
26,9,140,1
27,9,356,1
28,9,545,1
29,9,1582,1
30,9,563,1
31,9,1171,1
32,9,709,1
33,9,606,1
34,9,884,1
35,9,413,1
36,9,428,1
37,9,1089,1
38,9,1101,1
39,9,668,1
40,9,616,1
41,9,926,1
42,9,1003,1
43,9,1144,1
44,9,347,1
45,9,658,1
46,9,1463,1
47,9,1428,1
48,9,374,1
49,9,1387,1
50,9,965,1
51,9,1608,1
52,9,1022,1
53,9,1287,1
54,9,81,1
55,9,171,1
56,9,683,1
57,9,1031,1
58,9,527,1
59,9,1296,1
60,9,1256,1
61,9,777,1
62,9,660,1
63,9,5,1
64,9,723,1
65,9,1524,1
66,9,942,1
67,9,828,1
68,9,288,1
69,9,1159,1
70,9,1046,1
71,9,1178,1
72,9,847,1
73,9,1318,1
74,9,259,1
75,9,456,1
76,9,991,1
77,9,1292,1
78,9,904,1
79,9,1533,1
80,9,1068,1
81,9,1257,1
82,9,10,1
83,9,358,1
84,9,960,1
85,9,583,1
86,9,1130,1
87,9,128,1
88,9,774,1
89,9,1476,1
90,9,1199,1
91,9,1362,1
92,9,920,1
93,9,835,1
94,9,956,1
95,9,676,1
96,9,959,1
97,9,1422,1
98,9,1161,1
99,9,631,1
100,9,1049,1
101,9,1329,1
102,9,801,1
103,9,749,1
104,9,191,1
105,9,1152,1
106,9,1600,1
107,9,1109,1
108,9,168,1
109,9,1561,1
110,9,1459,1
111,9,858,1
112,9,407,1
113,9,1309,1
114,9,1576,1
115,9,1247,1
116,9,1284,1
117,9,1037,1
118,9,1544,1
119,9,224,1
120,9,216,1
121,9,382,1
122,9,595,1
123,9,996,1
124,9,1534,1
125,9,857,1
126,9,743,1
127,9,740,1
128,9,391,1
129,9,1336,1
130,9,897,1
131,9,119,1
132,9,704,1
133,9,1028,1
134,9,241,1
135,9,812,1
136,9,898,1
137,9,553,1
138,9,830,1
139,9,1433,1
140,9,1069,1
141,9,821,1
142,9,222,1
143,9,396,1
144,9,1390,1
145,9,751,1
146,9,713,1
147,9,461,1
148,9,1258,1
149,9,1071,1
150,16,860,1
151,17,206,1
152,17,832,1
153,17,155,1
154,17,688,1
155,17,1495,1
156,17,129,1
157,17,510,1
158,17,716,1
159,18,485,1
160,18,278,1
161,18,1237,1
162,18,1001,1
163,18,557,1
164,18,618,1
165,18,723,1
166,21,380,1
167,21,899,1
168,21,1199,1
169,21,1613,1
170,21,1138,1
171,21,557,1
172,21,79,1
173,21,432,1
174,21,1159,1
175,21,490,1
176,21,1074,1
177,21,278,1
178,21,1087,1
179,21,1210,1
180,21,585,1
181,21,773,1
182,21,486,1
183,21,698,1
184,21,1520,1
185,21,459,1
186,21,80,1
187,21,786,1
188,21,5,1
189,21,342,1
190,21,485,1
191,21,857,1
192,21,48,1
193,21,317,1
194,21,33,1
195,21,1496,1
196,21,919,1
197,21,1247,1
198,21,322,1
199,21,144,1
200,21,1141,1
201,21,1017,1
202,21,830,1
203,21,681,1
204,21,481,1
205,21,1404,1
206,21,612,1
207,21,559,1
208,21,1351,1
209,21,228,1
210,21,1129,1
211,21,537,1
212,21,1592,1
213,21,505,1
214,21,1479,1
215,21,335,1
216,21,771,1
217,21,700,1
218,21,478,1
219,27,1085,1
220,35,338,1
221,35,919,1
222,35,469,1
223,35,1332,1
224,35,1210,1
225,35,1072,1
226,43,317,1
227,43,765,1
228,43,261,1
229,43,105,1
230,43,1454,1
231,44,983,1
232,44,1125,1
233,44,1046,1
234,44,1525,1
235,44,590,1
236,44,545,1
237,44,449,1
238,44,119,1
239,44,593,1
240,44,1291,1
241,47,1326,1
242,47,1111,1
243,47,890,1
244,47,1455,1
245,47,1003,1
246,47,338,1
247,47,1199,1
248,47,192,1
249,47,987,1
250,48,1074,1
251,48,1004,1
252,48,301,1
253,48,654,1
254,48,1288,1
255,48,606,1
256,48,319,1
257,48,538,1
258,48,1363,1
259,48,974,1
260,48,1608,1
261,48,1241,1
262,48,277,1
263,48,523,1
264,48,498,1
265,48,824,1
266,48,505,1
267,48,340,1
268,48,1500,1
269,48,927,1
270,48,547,1
271,48,175,1
272,48,1195,1
273,48,336,1
274,48,467,1
275,48,926,1
276,48,55,1
277,48,197,1
278,48,1185,1
279,48,206,1
280,48,771,1
281,48,567,1
282,48,114,1
283,48,1049,1
284,48,88,1
285,48,1256,1
286,48,831,1
287,48,796,1
288,48,1077,1
289,48,903,1
290,48,192,1
291,48,1003,1
292,48,1056,1
293,48,1472,1
294,48,266,1
295,48,509,1
296,48,1249,1
297,48,787,1
298,48,144,1
299,48,329,1
300,48,1549,1
301,48,388,1
302,48,1548,1
303,48,1047,1
304,48,425,1
305,48,557,1
306,48,1064,1
307,48,366,1
308,48,678,1
309,48,1072,1
310,48,1173,1
311,48,499,1
312,48,1585,1
313,48,664,1
314,48,1496,1
315,48,417,1
316,48,157,1
317,48,1085,1
318,48,1438,1
319,48,408,1
320,48,326,1
321,48,1332,1
322,48,33,1
323,48,1592,1
324,48,1058,1
325,48,1456,1
326,48,996,1
327,48,872,1
328,50,254,1
329,50,1578,1
330,50,69,1
331,52,1053,1
332,52,1543,1
333,58,649,1
334,58,653,1
335,58,601,1
336,58,244,1
337,58,1182,1
338,58,1576,1
339,58,926,1
340,58,373,1
341,58,1053,1
342,58,255,1
343,64,411,1
344,64,302,1
345,64,996,1
346,64,1439,1
347,64,1601,1
348,64,1173,1
349,64,1217,1
350,64,1331,1
351,64,284,1
352,64,1215,1
353,64,1149,1
354,64,1451,1
355,64,1573,1
356,64,1078,1
357,64,1580,1
358,64,1419,1
359,68,374,1
360,69,1158,1
361,69,653,1
362,69,1053,1
363,69,317,1
364,69,1256,1
365,69,1291,1
366,69,1222,1
367,69,80,1
368,69,189,1
369,69,1038,1
370,69,1367,1
371,69,1555,1
372,69,808,1
373,69,1471,1
374,69,50,1
375,69,903,1
376,69,254,1
377,69,898,1
378,70,469,1
379,70,404,1
380,70,801,1
381,70,1612,1
382,77,1130,1
383,77,1291,1
384,77,319,1
385,77,1174,1
386,77,1249,1
387,80,1092,1
388,80,254,1
389,80,69,1
390,80,447,1
391,80,1222,1
392,80,731,1
393,80,808,1
394,80,566,1
395,84,801,1
396,88,678,1
397,88,300,1
398,88,48,1
399,88,716,1
400,91,1214,1
401,91,1219,1
402,91,653,1
403,91,678,1
404,91,1054,1
405,91,566,1
406,91,601,1
407,91,723,1
408,91,706,1
409,91,616,1
410,91,649,1
411,91,1464,1
412,94,72,1
413,94,1077,1
414,94,155,1
415,94,1467,1
416,94,614,1
417,94,210,1
418,94,22,1
419,94,1111,1
420,94,849,1
421,94,509,1
422,94,145,1
423,94,1422,1
424,98,1519,1
425,98,915,1
426,98,742,1
427,98,509,1
428,98,404,1
429,98,1130,1
430,98,1379,1
431,98,1585,1
432,98,957,1
433,102,926,1
434,105,817,1
435,105,1291,1
436,119,1043,1
437,119,563,1
438,119,1241,1
439,119,324,1
440,119,1471,1
441,119,1218,1
442,119,9,1
443,119,69,1
444,119,254,1
445,119,1054,1
446,120,1254,1
447,120,1249,1
448,121,1578,1
449,121,911,1
450,121,192,1
451,121,1077,1
452,121,1219,1
453,121,566,1
454,121,557,1
455,130,454,1
456,130,926,1
457,136,426,1
458,136,161,1
459,136,1370,1
460,136,751,1
461,136,538,1
462,136,145,1
463,136,1205,1
464,136,267,1
465,136,1031,1
466,136,406,1
467,136,524,1
468,136,1132,1
469,136,1338,1
470,140,368,1
471,141,1057,1
472,145,317,1
473,145,140,1
474,145,1510,1
475,145,431,1
476,145,112,1
477,145,1129,1
478,145,426,1
479,145,311,1
480,145,447,1
481,145,338,1
482,145,1222,1
483,145,1355,1
484,145,13,1
485,145,222,1
486,145,1338,1
487,145,136,1
488,145,94,1
489,145,773,1
490,145,171,1
491,145,676,1
492,145,1500,1
493,145,751,1
494,145,1545,1
495,145,290,1
496,149,969,1
497,151,1447,1
498,151,1443,1
499,151,432,1
500,151,317,1
501,151,716,1
502,151,123,1
503,151,563,1
504,151,786,1
505,152,658,1
506,152,492,1
507,152,1408,1
508,152,1614,1
509,155,560,1
510,155,101,1
511,155,614,1
512,155,849,1
513,155,1291,1
514,155,1467,1
515,155,1249,1
516,155,896,1
517,155,22,1
518,155,716,1
519,155,206,1
520,155,262,1
521,155,1273,1
522,155,17,1
523,155,129,1
524,155,688,1
525,156,105,1
526,156,562,1
527,157,733,1
528,157,1199,1
529,157,1308,1
530,157,427,1
531,161,1132,1
532,161,136,1
533,164,284,1
534,164,538,1
535,164,1359,1
536,164,371,1
537,164,1199,1
538,164,773,1
539,164,1447,1
540,176,723,1
541,176,1187,1
542,185,389,1
543,186,1359,1
544,189,69,1
545,189,1054,1
546,189,668,1
547,189,119,1
548,189,1291,1
549,189,1053,1
550,189,438,1
551,190,64,1
552,190,1231,1
553,190,304,1
554,190,1217,1
555,190,675,1
556,190,782,1
557,190,1572,1
558,191,601,1
559,192,105,1
560,192,956,1
561,192,744,1
562,192,530,1
563,192,219,1
564,192,124,1
565,192,1507,1
566,192,1139,1
567,192,1068,1
568,192,47,1
569,192,825,1
570,192,17,1
571,192,132,1
572,192,520,1
573,192,604,1
574,192,1074,1
575,192,250,1
576,192,918,1
577,192,791,1
578,192,1273,1
579,192,399,1
580,192,360,1
581,192,275,1
582,192,588,1
583,192,1129,1
584,192,1038,1
585,192,1591,1
586,192,141,1
587,192,1291,1
588,192,622,1
589,192,1284,1
590,192,1482,1
591,192,1043,1
592,192,649,1
593,192,1319,1
594,192,1438,1
595,192,339,1
596,192,21,1
597,192,1111,1
598,192,1052,1
599,192,570,1
600,192,1157,1
601,192,1235,1
602,192,572,1
603,192,13,1
604,192,1373,1
605,192,762,1
606,192,108,1
607,192,952,1
608,192,870,1
609,192,1453,1
610,192,511,1
611,192,639,1
612,192,262,1
613,192,230,1
614,192,808,1
615,192,1495,1
616,192,235,1
617,192,1239,1
618,192,1340,1
619,192,1502,1
620,192,1070,1
621,192,1123,1
622,192,221,1
623,192,797,1
624,192,1600,1
625,192,252,1
626,192,69,1
627,192,1385,1
628,192,1057,1
629,192,366,1
630,192,27,1
631,192,1149,1
632,192,229,1
633,192,1292,1
634,192,1014,1
635,192,251,1
636,192,321,1
637,192,68,1
638,192,1173,1
639,192,1221,1
640,192,1199,1
641,192,1388,1
642,192,404,1
643,192,1589,1
644,192,107,1
645,192,242,1
646,192,734,1
647,192,1133,1
648,192,1266,1
649,192,102,1
650,192,323,1
651,192,1214,1
652,192,1215,1
653,192,1566,1
654,192,1233,1
655,192,1409,1
656,192,1339,1
657,192,1544,1
658,192,1174,1
659,192,1250,1
660,192,346,1
661,192,534,1
662,192,658,1
663,192,72,1
664,192,149,1
665,192,290,1
666,192,714,1
667,192,196,1
668,192,411,1
669,192,368,1
670,192,119,1
671,192,1055,1
672,192,171,1
673,192,65,1
674,192,1077,1
675,192,4,1
676,192,450,1
677,192,1337,1
678,192,155,1
679,192,1002,1
680,192,254,1
681,192,668,1
682,192,697,1
683,192,1389,1
684,192,696,1
685,192,297,1
686,192,898,1
687,192,1220,1
688,192,1338,1
689,192,220,1
690,192,1568,1
691,192,8,1
692,192,1042,1
693,192,996,1
694,192,1151,1
695,192,510,1
696,192,1342,1
697,192,983,1
698,192,1357,1
699,192,823,1
700,192,851,1
701,192,129,1
702,192,1326,1
703,192,211,1
704,192,1223,1
705,192,223,1
706,192,430,1
707,192,199,1
708,192,160,1
709,192,1552,1
710,192,1395,1
711,192,1454,1
712,192,614,1
713,192,1056,1
714,192,1527,1
715,192,1251,1
716,192,916,1
717,192,276,1
718,192,1555,1
719,192,557,1
720,192,598,1
721,197,432,1
722,198,495,1
723,198,1301,1
724,198,1132,1
725,198,543,1
726,198,274,1
727,198,838,1
728,198,733,1
729,210,94,1
730,211,1149,1
731,219,723,1
732,225,601,1
733,225,723,1
734,228,544,1
735,228,1447,1
736,231,43,1
737,231,1575,1
738,231,723,1
739,231,1326,1
740,231,91,1
741,231,919,1
742,231,248,1
743,231,1364,1
744,231,1219,1
745,231,566,1
746,232,723,1
747,234,983,1
748,234,1500,1
749,234,762,1
750,234,355,1
751,235,284,1
752,235,263,1
753,235,1601,1
754,235,58,1
755,242,818,1
756,242,1191,1
757,244,926,1
758,244,1440,1
759,244,1291,1
760,244,426,1
761,244,58,1
762,244,618,1
763,244,1355,1
764,245,123,1
765,245,678,1
