,TF,Target,Label
0,2,641,1
1,7,1138,1
2,7,364,1
3,7,48,1
4,7,405,1
5,7,548,1
6,7,744,1
7,7,373,1
8,7,884,1
9,7,683,1
10,7,1147,1
11,7,725,1
12,7,607,1
13,7,383,1
14,7,552,1
15,7,678,1
16,7,354,1
17,7,9,1
18,7,1142,1
19,7,648,1
20,7,1165,1
21,7,670,1
22,7,628,1
23,7,366,1
24,7,171,1
25,7,325,1
26,7,108,1
27,7,798,1
28,7,330,1
29,7,483,1
30,7,125,1
31,7,474,1
32,7,498,1
33,18,986,1
34,18,490,1
35,18,292,1
36,20,484,1
37,20,483,1
38,20,383,1
39,20,198,1
40,20,977,1
41,22,725,1
42,22,325,1
43,22,373,1
44,22,288,1
45,22,670,1
46,22,1106,1
47,22,398,1
48,22,648,1
49,22,350,1
50,22,525,1
51,22,552,1
52,22,483,1
53,22,330,1
54,22,793,1
55,22,936,1
56,22,48,1
57,22,367,1
58,22,171,1
59,22,473,1
60,22,678,1
61,22,4,1
62,22,561,1
63,22,834,1
64,22,108,1
65,22,1142,1
66,22,884,1
67,22,405,1
68,22,798,1
69,22,1165,1
70,22,605,1
71,40,78,1
72,40,1156,1
73,40,858,1
74,40,847,1
75,40,993,1
76,40,603,1
77,52,484,1
78,62,55,1
79,62,1021,1
80,62,152,1
81,62,1156,1
82,68,1077,1
83,68,755,1
84,68,37,1
85,68,890,1
86,68,790,1
87,68,904,1
88,68,86,1
89,68,283,1
90,68,1164,1
91,68,76,1
92,68,381,1
93,68,901,1
94,68,879,1
95,68,1091,1
96,68,803,1
97,68,857,1
98,68,504,1
99,68,174,1
100,68,1148,1
101,68,181,1
102,68,858,1
103,68,839,1
104,68,1023,1
105,68,721,1
106,68,828,1
107,68,929,1
108,68,730,1
109,68,480,1
110,68,588,1
111,68,849,1
112,68,576,1
113,68,1140,1
114,69,438,1
115,76,638,1
116,76,596,1
117,76,1041,1
118,76,930,1
119,76,721,1
120,76,220,1
121,76,104,1
122,76,847,1
123,76,314,1
124,76,61,1
125,76,1165,1
126,76,290,1
127,76,743,1
128,76,980,1
129,76,1177,1
130,78,1052,1
131,78,1096,1
132,78,927,1
133,78,779,1
134,78,858,1
135,78,40,1
136,78,1039,1
137,78,775,1
138,78,384,1
139,78,56,1
140,78,312,1
141,78,853,1
142,78,1057,1
143,78,721,1
144,99,800,1
145,99,901,1
146,100,1125,1
147,100,637,1
148,100,1196,1
149,100,517,1
150,112,1027,1
151,112,1192,1
152,130,677,1
153,130,483,1
154,150,305,1
155,150,258,1
156,150,877,1
157,150,163,1
158,150,53,1
159,150,291,1
160,151,885,1
161,151,1132,1
162,152,62,1
163,152,950,1
164,166,300,1
165,166,76,1
166,166,0,1
167,166,1127,1
168,168,678,1
169,168,1072,1
170,178,625,1
171,178,398,1
172,178,744,1
173,178,882,1
174,178,288,1
175,178,485,1
176,178,832,1
177,178,770,1
178,178,219,1
179,178,760,1
180,178,330,1
181,178,605,1
182,178,795,1
183,178,484,1
184,178,1062,1
185,178,293,1
186,178,1054,1
187,178,9,1
188,179,1038,1
189,196,812,1
190,196,484,1
191,196,858,1
192,196,228,1
193,198,854,1
194,198,1174,1
195,198,357,1
196,198,1045,1
197,198,796,1
198,198,729,1
199,198,440,1
200,198,304,1
201,198,214,1
202,198,448,1
203,198,376,1
204,198,52,1
205,198,1142,1
206,198,968,1
207,198,1093,1
208,198,364,1
209,198,216,1
210,198,1122,1
211,198,523,1
212,198,535,1
213,198,983,1
214,198,1184,1
215,198,172,1
216,198,1176,1
217,198,955,1
218,198,739,1
219,198,271,1
220,198,1200,1
221,198,898,1
222,198,675,1
223,198,459,1
224,198,908,1
225,198,389,1
226,198,25,1
227,198,891,1
228,198,850,1
229,198,310,1
230,198,159,1
231,198,746,1
232,198,1116,1
233,198,1044,1
234,198,549,1
235,198,399,1
236,198,1179,1
237,198,1080,1
238,198,1166,1
239,198,1158,1
240,198,404,1
241,198,265,1
242,198,156,1
243,198,1057,1
244,198,879,1
245,198,1059,1
246,198,1175,1
247,198,1193,1
248,198,957,1
249,198,546,1
250,198,1147,1
251,198,889,1
252,198,28,1
253,198,215,1
254,198,659,1
255,198,481,1
256,198,210,1
257,198,885,1
258,198,230,1
259,198,410,1
260,198,775,1
261,198,378,1
262,198,966,1
263,198,783,1
264,198,687,1
265,198,245,1
266,198,151,1
267,198,927,1
268,198,409,1
269,198,923,1
270,198,435,1
271,198,906,1
272,198,805,1
273,198,126,1
274,198,492,1
275,198,66,1
276,198,951,1
277,198,1072,1
278,198,905,1
279,198,192,1
280,198,859,1
281,205,885,1
282,205,474,1
283,228,918,1
284,228,1096,1
285,228,196,1
286,228,889,1
287,228,827,1
288,228,589,1
289,228,68,1
290,228,1146,1
291,228,100,1
292,240,291,1
293,240,252,1
294,240,877,1
295,240,410,1
296,246,611,1
297,246,476,1
298,246,643,1
299,246,429,1
300,246,79,1
301,246,1005,1
302,246,846,1
303,246,599,1
304,246,703,1
305,246,312,1
306,246,574,1
307,246,871,1
308,246,697,1
309,246,641,1
310,246,166,1
311,246,547,1
312,246,780,1
313,246,869,1
314,246,794,1
315,246,868,1
316,246,801,1
317,246,75,1
318,246,654,1
319,246,842,1
320,246,400,1
321,246,1054,1
322,246,898,1
323,246,836,1
324,246,966,1
325,246,734,1
326,246,40,1
327,246,1162,1
328,246,823,1
329,246,161,1
330,246,711,1
331,255,662,1
332,255,831,1
333,255,415,1
334,274,625,1
335,274,9,1
336,274,1054,1
337,274,795,1
338,277,694,1
339,277,596,1
340,277,706,1
341,277,428,1
342,277,18,1
343,277,215,1
344,277,1179,1
345,277,797,1
346,277,300,1
347,277,1183,1
348,277,1041,1
349,277,724,1
350,277,956,1
351,277,549,1
352,277,977,1
353,277,930,1
354,294,71,1
355,300,999,1
356,306,339,1
357,312,1096,1
358,326,847,1
359,339,664,1
360,339,172,1
361,339,306,1
362,339,527,1
363,339,885,1
364,339,184,1
365,343,827,1
366,354,665,1
367,354,678,1
368,354,303,1
369,354,625,1
370,354,834,1
371,354,350,1
372,354,483,1
373,354,367,1
374,354,762,1
375,354,1106,1
376,354,936,1
377,354,605,1
378,354,9,1
379,354,683,1
380,354,1190,1
381,354,670,1
382,354,473,1
383,354,871,1
384,354,22,1
385,354,793,1
386,354,744,1
387,354,884,1
388,354,457,1
389,354,484,1
390,354,525,1
391,354,383,1
392,354,1165,1
393,354,552,1
394,354,134,1
395,354,364,1
396,354,798,1
397,354,1142,1
398,384,979,1
399,384,579,1
400,384,638,1
401,384,714,1
402,384,164,1
403,384,491,1
404,384,268,1
405,384,57,1
406,384,277,1
407,384,641,1
408,384,126,1
409,384,736,1
410,384,1035,1
411,384,40,1
412,384,46,1
413,384,546,1
414,384,1102,1
415,384,846,1
416,384,3,1
417,384,312,1
418,384,196,1
419,384,229,1
420,384,1187,1
421,384,1088,1
422,384,858,1
423,384,538,1
424,384,738,1
425,384,1185,1
426,384,575,1
427,384,786,1
428,384,1195,1
429,384,1170,1
430,384,335,1
431,384,129,1
432,384,930,1
433,384,534,1
434,384,810,1
435,384,822,1
436,384,255,1
437,384,1167,1
438,415,1146,1
439,415,575,1
440,415,831,1
441,415,255,1
442,419,1170,1
443,419,864,1
444,419,1132,1
445,454,513,1
446,454,179,1
447,460,104,1
448,460,672,1
449,460,972,1
450,460,168,1
451,460,1127,1
452,460,327,1
453,469,888,1
454,479,666,1
455,480,1041,1
456,480,1156,1
457,483,22,1
458,483,575,1
459,483,1156,1
460,483,675,1
461,483,20,1
462,483,4,1
463,483,977,1
464,483,858,1
465,483,246,1
466,483,1147,1
467,483,1165,1
468,483,484,1
469,483,648,1
470,483,889,1
471,525,484,1
472,525,373,1
473,525,473,1
474,525,936,1
475,525,1138,1
476,525,725,1
477,525,1131,1
478,525,134,1
479,525,678,1
480,525,548,1
481,525,7,1
482,525,350,1
