,TF,Target,Label
0,42,528,1
1,46,192,1
2,46,317,1
3,46,714,1
4,64,744,1
5,64,826,1
6,64,600,1
7,106,672,1
8,118,1097,1
9,118,857,1
10,129,306,1
11,130,109,1
12,130,675,1
13,130,46,1
14,130,237,1
15,130,1079,1
16,130,426,1
17,130,244,1
18,130,762,1
19,130,646,1
20,130,671,1
21,130,728,1
22,130,922,1
23,130,32,1
24,130,514,1
25,130,452,1
26,130,179,1
27,130,77,1
28,130,118,1
29,168,638,1
30,168,380,1
31,168,348,1
32,168,134,1
33,168,987,1
34,168,983,1
35,168,549,1
36,168,143,1
37,168,110,1
38,168,700,1
39,168,152,1
40,168,231,1
41,168,460,1
42,168,192,1
43,168,737,1
44,168,431,1
45,168,578,1
46,168,594,1
47,168,528,1
48,168,913,1
49,168,1075,1
50,168,708,1
51,168,317,1
52,168,277,1
53,171,231,1
54,171,421,1
55,171,455,1
56,171,524,1
57,171,356,1
58,171,389,1
59,171,912,1
60,171,883,1
61,176,676,1
62,176,165,1
63,176,831,1
64,176,80,1
65,176,170,1
66,176,1060,1
67,176,541,1
68,176,78,1
69,176,1075,1
70,176,81,1
71,176,351,1
72,176,562,1
73,176,187,1
74,176,444,1
75,176,714,1
76,176,605,1
77,176,183,1
78,176,955,1
79,176,37,1
80,176,822,1
81,176,407,1
82,176,184,1
83,176,167,1
84,176,1051,1
85,176,1074,1
86,176,507,1
87,176,712,1
88,176,205,1
89,176,639,1
90,176,896,1
91,176,684,1
92,176,957,1
93,176,578,1
94,176,642,1
95,176,746,1
96,176,272,1
97,179,299,1
98,184,351,1
99,184,205,1
100,184,578,1
101,184,822,1
102,184,543,1
103,184,444,1
104,184,507,1
105,184,955,1
106,184,344,1
107,184,984,1
108,184,274,1
109,184,712,1
110,184,170,1
111,184,183,1
112,184,745,1
113,184,165,1
114,184,684,1
115,184,212,1
116,184,1074,1
117,184,744,1
118,184,288,1
119,184,642,1
120,184,754,1
121,184,345,1
122,184,81,1
123,184,78,1
124,184,1075,1
125,184,1127,1
126,184,577,1
127,184,311,1
128,184,506,1
129,184,857,1
130,184,896,1
131,184,957,1
132,184,375,1
133,184,676,1
134,192,209,1
135,192,846,1
136,192,196,1
137,192,578,1
138,192,136,1
139,192,1081,1
140,192,584,1
141,192,330,1
142,192,706,1
143,192,1024,1
144,192,197,1
145,192,980,1
146,192,190,1
147,192,583,1
148,192,11,1
149,192,42,1
150,192,824,1
151,192,46,1
152,192,1040,1
153,192,369,1
154,192,55,1
155,192,458,1
156,192,828,1
157,192,669,1
158,192,482,1
159,192,452,1
160,192,403,1
161,192,45,1
162,192,157,1
163,192,462,1
164,192,688,1
165,192,676,1
166,192,496,1
167,192,693,1
168,192,881,1
169,192,290,1
170,192,682,1
171,192,632,1
172,192,1080,1
173,192,231,1
174,192,801,1
175,192,976,1
176,192,301,1
177,192,138,1
178,192,181,1
179,192,832,1
180,192,766,1
181,192,778,1
182,192,724,1
183,192,1022,1
184,192,1064,1
185,192,557,1
186,192,524,1
187,192,675,1
188,192,128,1
189,192,394,1
190,192,240,1
191,192,29,1
192,192,746,1
193,192,847,1
194,192,304,1
195,192,876,1
196,192,652,1
197,192,634,1
198,192,995,1
199,192,380,1
200,192,383,1
201,192,611,1
202,192,1074,1
203,192,77,1
204,192,844,1
205,192,49,1
206,192,177,1
207,192,37,1
208,192,840,1
209,200,834,1
210,200,153,1
211,203,822,1
212,209,727,1
213,209,1009,1
214,209,768,1
215,209,616,1
216,209,480,1
217,209,357,1
218,246,248,1
219,246,99,1
220,246,660,1
221,246,854,1
222,270,494,1
223,272,170,1
224,272,165,1
225,272,754,1
226,272,857,1
227,272,375,1
228,272,135,1
229,272,822,1
230,272,848,1
231,272,184,1
232,272,577,1
233,272,894,1
234,272,543,1
235,272,578,1
236,272,542,1
237,272,506,1
238,272,444,1
239,272,205,1
240,272,639,1
241,272,676,1
242,272,167,1
243,272,81,1
244,272,1073,1
245,272,541,1
246,272,955,1
247,272,183,1
248,272,1060,1
249,272,80,1
250,272,212,1
251,272,1075,1
252,272,1022,1
253,272,407,1
254,272,187,1
255,287,518,1
256,287,685,1
257,287,34,1
258,287,854,1
259,287,1013,1
260,287,802,1
261,287,937,1
262,287,627,1
263,287,441,1
264,287,464,1
265,310,407,1
266,310,984,1
267,311,80,1
268,311,746,1
269,311,714,1
270,311,167,1
271,311,288,1
272,311,676,1
273,311,41,1
274,311,542,1
275,311,605,1
276,311,1074,1
277,311,444,1
278,311,1060,1
279,311,642,1
280,311,289,1
281,311,644,1
282,311,894,1
283,311,578,1
284,311,463,1
285,311,351,1
286,311,506,1
287,311,896,1
288,311,541,1
289,311,1073,1
290,311,1085,1
291,311,744,1
292,311,625,1
293,311,81,1
294,311,1127,1
295,311,831,1
296,311,955,1
297,311,205,1
298,311,639,1
299,311,375,1
300,311,78,1
301,327,203,1
302,327,135,1
303,327,42,1
304,327,29,1
305,327,524,1
306,327,452,1
307,327,863,1
308,327,535,1
309,327,925,1
310,327,669,1
311,327,273,1
312,327,514,1
313,327,304,1
314,327,652,1
315,327,201,1
316,327,574,1
317,327,1107,1
318,327,427,1
319,327,320,1
320,327,1112,1
321,327,1078,1
322,327,632,1
323,327,718,1
324,327,466,1
325,327,1062,1
326,327,684,1
327,327,190,1
328,327,409,1
329,327,186,1
330,327,461,1
331,327,844,1
332,327,167,1
333,327,712,1
334,327,128,1
335,327,369,1
336,327,1040,1
337,327,688,1
338,327,462,1
339,327,172,1
340,327,746,1
341,327,776,1
342,327,611,1
343,327,431,1
344,327,181,1
345,327,799,1
346,327,870,1
347,327,557,1
348,327,766,1
349,327,801,1
350,327,377,1
351,327,380,1
352,327,496,1
353,327,28,1
354,327,900,1
355,327,109,1
356,327,644,1
357,327,847,1
358,327,80,1
359,327,559,1
360,327,330,1
361,327,317,1
362,327,351,1
363,327,43,1
364,327,658,1
365,327,290,1
366,327,921,1
367,327,394,1
368,327,881,1
369,327,460,1
370,327,959,1
371,327,301,1
372,327,451,1
373,327,1064,1
374,327,184,1
375,327,846,1
376,327,1116,1
377,327,166,1
378,327,1,1
379,327,1083,1
380,327,683,1
381,327,1020,1
382,327,502,1
383,327,233,1
384,327,621,1
385,327,600,1
386,327,767,1
387,327,336,1
388,327,954,1
389,327,316,1
390,327,976,1
391,327,641,1
392,357,616,1
393,357,317,1
394,357,737,1
395,357,209,1
396,357,1065,1
397,357,768,1
398,384,857,1
399,384,885,1
400,384,327,1
401,384,822,1
402,384,167,1
403,426,890,1
404,428,766,1
405,428,512,1
406,433,58,1
407,444,407,1
408,444,887,1
409,444,957,1
410,444,541,1
411,444,272,1
412,444,676,1
413,444,80,1
414,444,857,1
415,444,311,1
416,444,167,1
417,444,1074,1
418,444,176,1
419,444,41,1
420,444,896,1
421,444,984,1
422,451,314,1
423,451,913,1
424,451,317,1
425,455,171,1
426,455,48,1
427,455,822,1
428,455,261,1
429,458,421,1
430,464,92,1
431,464,981,1
432,472,168,1
433,473,164,1
434,481,421,1
435,481,1126,1
436,484,528,1
437,510,792,1
438,528,484,1
439,528,42,1
440,528,1116,1
441,528,1111,1
442,548,745,1
443,557,763,1
444,557,49,1
445,557,111,1
446,557,532,1
447,584,737,1
448,627,766,1
449,627,745,1
450,627,1102,1
451,668,1011,1
452,668,766,1
453,668,1027,1
454,668,1017,1
455,668,535,1
456,671,714,1
457,671,973,1
458,671,5,1
459,671,1029,1
460,671,358,1
461,671,102,1
462,671,1086,1
463,671,513,1
464,671,1121,1
465,671,306,1
466,671,726,1
467,671,428,1
468,671,909,1
469,671,168,1
470,671,567,1
471,672,392,1
472,672,481,1
473,672,361,1
474,672,307,1
475,672,804,1
476,672,1057,1
477,672,561,1
478,672,431,1
479,672,455,1
480,672,110,1
481,672,318,1
482,672,205,1
483,672,1079,1
484,672,857,1
485,672,1024,1
486,672,876,1
487,675,881,1
488,675,111,1
489,675,49,1
490,675,564,1
491,675,28,1
492,682,78,1
493,682,202,1
494,682,979,1
495,682,41,1
496,682,541,1
497,682,802,1
498,682,578,1
499,682,187,1
500,682,795,1
501,682,1011,1
502,682,255,1
503,682,1050,1
504,682,822,1
505,682,183,1
506,682,562,1
507,682,1074,1
508,685,421,1
509,711,248,1
510,711,99,1
511,711,246,1
512,711,854,1
513,766,857,1
514,766,130,1
515,766,745,1
516,766,171,1
517,766,455,1
518,766,451,1
519,766,380,1
520,768,739,1
521,768,967,1
522,768,209,1
523,768,317,1
524,768,480,1
525,768,245,1
526,768,242,1
527,768,357,1
528,775,192,1
529,775,857,1
530,826,984,1
531,826,64,1
532,838,1074,1
533,838,562,1
534,838,666,1
535,838,41,1
536,841,627,1
537,857,284,1
538,857,1038,1
539,857,822,1
540,857,936,1
541,857,176,1
542,857,192,1
543,857,991,1
544,857,311,1
545,857,542,1
546,857,272,1
547,857,444,1
548,857,167,1
549,859,144,1
550,859,563,1
551,875,1013,1
552,875,931,1
553,887,542,1
554,887,831,1
555,896,644,1
556,896,272,1
557,896,202,1
558,896,639,1
559,896,605,1
560,896,1075,1
561,896,822,1
562,896,463,1
563,896,543,1
564,896,744,1
565,896,745,1
566,896,684,1
567,896,562,1
568,896,167,1
569,896,714,1
570,896,444,1
571,896,1085,1
572,896,1074,1
573,896,1051,1
574,896,625,1
575,896,1073,1
576,896,375,1
577,896,1060,1
578,896,407,1
579,896,746,1
580,896,80,1
581,896,1127,1
582,896,957,1
583,896,676,1
584,896,351,1
585,896,1022,1
586,896,578,1
587,896,212,1
588,896,183,1
589,913,317,1
590,913,737,1
591,913,524,1
592,913,423,1
593,913,1034,1
594,913,632,1
595,913,200,1
596,913,105,1
597,913,192,1
598,913,1128,1
599,913,21,1
600,913,118,1
601,931,192,1
602,931,875,1
603,931,9,1
604,931,209,1
605,963,461,1
606,963,803,1
607,963,113,1
608,963,734,1
609,963,377,1
610,963,634,1
611,963,651,1
612,963,796,1
613,963,758,1
614,963,983,1
615,963,164,1
616,963,822,1
617,963,879,1
618,963,996,1
619,963,960,1
620,963,369,1
621,963,674,1
622,963,510,1
623,963,449,1
624,963,886,1
625,963,379,1
626,963,997,1
627,963,74,1
628,963,363,1
629,963,100,1
630,963,908,1
631,963,1079,1
632,963,317,1
633,963,679,1
634,963,584,1
635,963,450,1
636,963,565,1
637,963,709,1
638,963,455,1
639,963,325,1
640,981,167,1
641,983,1131,1
642,983,857,1
643,991,1121,1
644,991,294,1
645,992,168,1
646,1018,590,1
647,1018,110,1
648,1018,267,1
649,1018,1080,1
650,1018,160,1
651,1018,745,1
652,1018,911,1
653,1018,118,1
654,1018,1094,1
655,1018,320,1
656,1018,640,1
657,1018,874,1
658,1018,564,1
659,1018,410,1
660,1018,1126,1
661,1018,421,1
662,1018,994,1
663,1018,364,1
664,1018,192,1
665,1018,115,1
666,1018,7,1
667,1018,896,1
668,1018,1033,1
669,1018,221,1
670,1018,208,1
671,1018,544,1
672,1018,860,1
673,1018,196,1
674,1018,709,1
675,1018,1125,1
676,1018,791,1
677,1018,358,1
678,1018,464,1
679,1018,140,1
680,1018,1035,1
681,1018,605,1
682,1018,604,1
683,1020,387,1
684,1020,608,1
685,1020,284,1
686,1020,980,1
687,1020,1067,1
688,1027,668,1
689,1038,382,1
690,1038,589,1
691,1038,423,1
692,1038,307,1
693,1038,997,1
694,1038,991,1
695,1065,357,1
696,1065,209,1
697,1065,331,1
698,1065,727,1
699,1073,37,1
700,1073,1060,1
701,1073,507,1
702,1073,311,1
703,1073,1051,1
704,1073,184,1
705,1073,936,1
706,1073,541,1
707,1073,80,1
708,1073,81,1
709,1073,639,1
710,1073,202,1
711,1073,955,1
712,1073,1085,1
713,1073,746,1
714,1102,745,1
715,1102,380,1
716,1102,627,1
717,1111,632,1
718,1111,99,1
719,1111,246,1
720,1111,854,1
721,1111,989,1
722,1111,64,1
723,1111,528,1
724,1126,287,1
725,1126,834,1
726,1126,1060,1
727,1126,481,1
728,1131,267,1
729,1131,212,1
730,1131,983,1
731,1131,167,1
732,42,87,0
733,46,624,0
734,46,169,0
735,46,673,0
736,64,74,0
737,64,503,0
738,64,550,0
739,106,118,0
740,118,778,0
741,118,868,0
742,129,415,0
743,130,691,0
744,130,430,0
745,130,933,0
746,130,1062,0
747,130,998,0
748,130,107,0
749,130,694,0
750,130,1054,0
751,130,392,0
752,130,693,0
753,130,445,0
754,130,464,0
755,130,1030,0
756,130,438,0
757,130,439,0
758,130,50,0
759,130,663,0
760,130,243,0
761,168,861,0
762,168,757,0
763,168,955,0
764,168,286,0
765,168,740,0
766,168,748,0
767,168,296,0
768,168,950,0
769,168,171,0
770,168,637,0
771,168,366,0
772,168,749,0
773,168,10,0
774,168,140,0
775,168,511,0
776,168,590,0
777,168,648,0
778,168,777,0
779,168,369,0
780,168,441,0
781,168,86,0
782,168,667,0
783,168,1128,0
784,168,725,0
785,171,54,0
786,171,822,0
787,171,1025,0
788,171,887,0
789,171,183,0
790,171,630,0
791,171,979,0
792,171,663,0
793,176,191,0
794,176,129,0
795,176,739,0
796,176,769,0
797,176,280,0
798,176,829,0
799,176,192,0
800,176,962,0
801,176,484,0
802,176,68,0
803,176,468,0
804,176,1069,0
805,176,1003,0
806,176,551,0
807,176,889,0
808,176,90,0
809,176,501,0
810,176,802,0
811,176,459,0
812,176,248,0
813,176,674,0
814,176,319,0
815,176,617,0
816,176,1063,0
817,176,810,0
818,176,1064,0
819,176,312,0
820,176,795,0
821,176,59,0
822,176,798,0
823,176,149,0
824,176,51,0
825,176,564,0
826,176,878,0
827,176,206,0
828,176,710,0
829,179,556,0
830,184,995,0
831,184,382,0
832,184,476,0
833,184,747,0
834,184,980,0
835,184,564,0
836,184,884,0
837,184,852,0
