,TF,Target,Label
0,31,266,1
1,31,485,1
2,31,520,1
3,31,340,1
4,31,452,1
5,31,629,1
6,51,116,1
7,58,272,1
8,58,16,1
9,58,220,1
10,58,592,1
11,58,190,1
12,58,200,1
13,58,204,1
14,58,202,1
15,58,10,1
16,58,606,1
17,58,440,1
18,58,402,1
19,58,168,1
20,74,16,1
21,74,518,1
22,74,243,1
23,74,17,1
24,74,641,1
25,74,105,1
26,74,617,1
27,91,472,1
28,105,74,1
29,116,299,1
30,116,80,1
31,116,246,1
32,116,328,1
33,116,621,1
34,116,690,1
35,116,672,1
36,116,238,1
37,116,658,1
38,116,534,1
39,123,414,1
40,123,226,1
41,171,382,1
42,194,64,1
43,194,604,1
44,194,477,1
45,194,570,1
46,194,63,1
47,194,30,1
48,222,400,1
49,236,328,1
50,236,243,1
51,238,540,1
52,238,171,1
53,243,653,1
54,243,236,1
55,244,520,1
56,244,445,1
57,244,266,1
58,244,489,1
59,244,629,1
60,244,566,1
61,245,168,1
62,245,296,1
63,245,128,1
64,245,645,1
65,245,654,1
66,345,171,1
67,382,604,1
68,382,400,1
69,382,238,1
70,382,616,1
71,382,325,1
72,409,131,1
73,409,428,1
74,409,114,1
75,409,621,1
76,409,569,1
77,409,222,1
78,409,223,1
79,409,171,1
80,409,57,1
81,409,543,1
82,409,436,1
83,409,565,1
84,409,602,1
85,409,555,1
86,431,58,1
87,442,540,1
88,442,570,1
89,442,542,1
90,516,31,1
91,516,520,1
92,516,566,1
93,516,266,1
94,516,485,1
95,517,654,1
96,518,280,1
97,518,680,1
98,524,9,1
99,524,654,1
100,540,296,1
101,540,507,1
102,540,472,1
103,540,272,1
104,540,648,1
105,541,127,1
106,583,171,1
107,594,396,1
108,594,604,1
109,604,532,1
110,604,378,1
111,604,653,1
112,604,573,1
113,604,247,1
114,604,268,1
115,604,131,1
116,604,204,1
117,604,17,1
118,604,401,1
119,604,217,1
120,604,348,1
121,604,365,1
122,604,95,1
123,604,629,1
124,604,70,1
125,604,328,1
126,604,504,1
127,604,183,1
128,604,77,1
129,604,185,1
130,604,293,1
131,604,38,1
132,604,174,1
133,606,400,1
134,639,442,1
135,639,542,1
136,653,238,1
137,653,243,1
138,654,459,1
139,654,296,1
140,654,222,1
141,654,168,1
142,654,138,1
143,654,594,1
144,654,128,1
145,654,645,1
146,671,183,1
147,671,665,1
148,671,432,1
149,671,485,1
150,671,325,1
151,671,38,1
152,671,268,1
153,671,30,1
154,671,365,1
155,671,685,1
156,671,416,1
157,671,486,1
158,671,185,1
159,671,232,1
160,671,544,1
161,671,566,1
162,671,65,1
163,671,611,1
164,671,470,1
165,671,541,1
166,671,72,1
167,671,462,1
168,671,623,1
169,671,323,1
170,671,559,1
171,31,71,0
172,31,428,0
173,31,280,0
174,31,508,0
175,31,92,0
176,31,308,0
177,51,195,0
178,58,584,0
179,58,645,0
180,58,414,0
181,58,547,0
182,58,273,0
183,58,209,0
184,58,567,0
185,58,261,0
186,58,561,0
187,58,418,0
188,58,419,0
189,58,243,0
190,58,586,0
191,74,238,0
192,74,12,0
193,74,175,0
194,74,153,0
195,74,119,0
196,74,240,0
197,74,420,0
198,91,432,0
199,105,78,0
200,116,148,0
201,116,346,0
202,116,20,0
203,116,494,0
204,116,420,0
205,116,639,0
206,116,175,0
207,116,261,0
208,116,605,0
209,116,293,0
210,123,59,0
211,123,88,0
212,171,449,0
213,194,139,0
214,194,470,0
215,194,100,0
216,194,347,0
217,194,211,0
218,194,204,0
219,222,627,0
220,236,37,0
221,236,24,0
222,238,596,0
223,238,302,0
224,243,205,0
225,243,128,0
226,244,518,0
227,244,323,0
228,244,369,0
229,244,91,0
230,244,512,0
231,244,671,0
232,245,640,0
233,245,134,0
234,245,239,0
235,245,560,0
236,245,674,0
237,345,527,0
238,382,397,0
239,382,310,0
240,382,581,0
241,382,661,0
242,382,239,0
243,409,353,0
244,409,558,0
245,409,305,0
246,409,401,0
247,409,187,0
248,409,678,0
249,409,221,0
250,409,338,0
251,409,466,0
252,409,327,0
253,409,80,0
254,409,139,0
255,409,518,0
256,409,245,0
257,431,36,0
258,442,453,0
259,442,31,0
260,442,650,0
261,516,143,0
262,516,35,0
263,516,369,0
264,516,589,0
265,516,395,0
266,517,57,0
267,518,684,0
268,518,51,0
269,524,168,0
270,524,181,0
271,540,616,0
272,540,667,0
273,540,372,0
274,540,415,0
275,540,164,0
276,541,395,0
277,583,380,0
278,594,669,0
279,594,365,0
280,604,405,0
281,604,281,0
282,604,313,0
283,604,184,0
284,604,88,0
285,604,120,0
286,604,148,0
287,604,562,0
288,604,641,0
289,604,119,0
290,604,472,0
291,604,156,0
292,604,565,0
293,604,558,0
294,604,149,0
295,604,465,0
296,604,494,0
297,604,201,0
298,604,375,0
299,604,651,0
300,604,236,0
301,604,342,0
302,604,507,0
303,604,669,0
304,606,640,0
305,639,186,0
306,639,278,0
307,653,669,0
308,653,515,0
309,654,60,0
310,654,507,0
311,654,207,0
312,654,37,0
313,654,620,0
314,654,30,0
315,654,79,0
316,654,2,0
317,671,5,0
318,671,86,0
319,671,691,0
320,671,426,0
321,671,367,0
322,671,476,0
323,671,36,0
324,671,601,0
325,671,274,0
326,671,50,0
327,671,189,0
328,671,622,0
329,671,171,0
330,671,411,0
331,671,387,0
332,671,433,0
333,671,468,0
334,671,154,0
335,671,267,0
336,671,425,0
337,671,370,0
338,671,480,0
339,671,570,0
340,671,91,0
341,671,667,0
