,TF,Target,Label
0,2,1172,1
1,2,1173,1
2,2,350,1
3,2,452,1
4,2,269,1
5,2,179,1
6,2,1129,1
7,2,837,1
8,2,1183,1
9,2,332,1
10,2,860,1
11,2,1138,1
12,2,887,1
13,2,1048,1
14,2,523,1
15,2,797,1
16,2,1096,1
17,2,989,1
18,2,1322,1
19,2,105,1
20,2,0,1
21,2,146,1
22,2,143,1
23,2,733,1
24,2,734,1
25,2,1050,1
26,2,1238,1
27,2,204,1
28,2,858,1
29,2,720,1
30,2,613,1
31,2,1244,1
32,2,25,1
33,2,231,1
34,2,323,1
35,2,342,1
36,2,161,1
37,2,1014,1
38,2,654,1
39,2,894,1
40,2,1327,1
41,2,518,1
42,2,639,1
43,2,1379,1
44,2,872,1
45,2,316,1
46,2,410,1
47,2,808,1
48,2,176,1
49,2,604,1
50,2,890,1
51,2,1266,1
52,2,954,1
53,2,745,1
54,2,964,1
55,2,112,1
56,2,254,1
57,2,926,1
58,2,688,1
59,2,186,1
60,2,790,1
61,2,210,1
62,2,1105,1
63,2,526,1
64,2,1072,1
65,2,935,1
66,2,1301,1
67,2,556,1
68,2,577,1
69,2,936,1
70,2,141,1
71,2,291,1
72,2,1087,1
73,2,1122,1
74,2,206,1
75,2,1270,1
76,2,193,1
77,2,928,1
78,2,602,1
79,2,381,1
80,2,1150,1
81,2,334,1
82,2,1024,1
83,2,262,1
84,2,889,1
85,2,84,1
86,2,519,1
87,2,830,1
88,2,424,1
89,2,554,1
90,2,607,1
91,2,1282,1
92,2,1369,1
93,2,1362,1
94,2,982,1
95,2,1064,1
96,2,109,1
97,2,854,1
98,2,83,1
99,2,758,1
100,2,624,1
101,2,962,1
102,2,599,1
103,2,121,1
104,2,643,1
105,2,22,1
106,2,45,1
107,2,1151,1
108,2,251,1
109,2,901,1
110,2,1353,1
111,2,1184,1
112,2,469,1
113,2,79,1
114,2,695,1
115,2,598,1
116,2,514,1
117,2,422,1
118,2,1034,1
119,2,1264,1
120,2,1287,1
121,2,310,1
122,2,123,1
123,2,709,1
124,2,256,1
125,2,991,1
126,2,373,1
127,2,1239,1
128,2,280,1
129,2,461,1
130,2,684,1
131,2,113,1
132,2,1313,1
133,2,393,1
134,2,417,1
135,2,1163,1
136,2,538,1
137,2,1217,1
138,2,1289,1
139,2,196,1
140,2,1157,1
141,2,1114,1
142,2,1206,1
143,2,388,1
144,2,774,1
145,2,9,1
146,2,645,1
147,2,762,1
148,2,742,1
149,2,492,1
150,2,1104,1
151,2,924,1
152,2,1156,1
153,70,938,1
154,70,1315,1
155,70,1006,1
156,70,1343,1
157,70,78,1
158,70,983,1
159,70,441,1
160,70,1313,1
161,70,210,1
162,70,488,1
163,70,755,1
164,70,500,1
165,70,858,1
166,70,1223,1
167,70,585,1
168,70,1292,1
169,70,536,1
170,70,306,1
171,70,249,1
172,70,497,1
173,70,1301,1
174,70,155,1
175,70,1248,1
176,70,1033,1
177,70,1259,1
178,70,1198,1
179,70,1143,1
180,70,77,1
181,70,338,1
182,70,550,1
183,70,991,1
184,70,919,1
185,70,653,1
186,70,1352,1
187,70,289,1
188,70,1295,1
189,70,212,1
190,70,943,1
191,70,495,1
192,70,291,1
193,70,825,1
194,70,898,1
195,70,417,1
196,70,404,1
197,70,1013,1
198,70,678,1
199,70,1285,1
200,70,940,1
201,70,111,1
202,70,1043,1
203,70,134,1
204,70,1153,1
205,70,853,1
206,70,198,1
207,70,480,1
208,70,1034,1
209,70,1138,1
210,70,116,1
211,70,31,1
212,70,231,1
213,70,1084,1
214,70,99,1
215,70,304,1
216,70,1195,1
217,70,21,1
218,70,1173,1
219,70,720,1
220,70,74,1
221,70,1014,1
222,70,1386,1
223,70,366,1
224,70,632,1
225,70,893,1
226,70,353,1
227,70,79,1
228,70,1274,1
229,70,1263,1
230,70,736,1
231,70,410,1
232,70,1066,1
233,70,934,1
234,70,1117,1
235,70,285,1
236,70,442,1
237,70,885,1
238,70,1258,1
239,70,1249,1
240,70,996,1
241,70,18,1
242,70,1406,1
243,70,924,1
244,70,985,1
245,70,854,1
246,70,939,1
247,70,805,1
248,70,1163,1
249,70,875,1
250,70,40,1
251,70,44,1
252,70,551,1
253,70,309,1
254,70,905,1
255,70,23,1
256,70,51,1
257,70,83,1
258,70,92,1
259,70,1342,1
260,70,689,1
261,70,447,1
262,70,313,1
263,70,255,1
264,70,942,1
265,70,1366,1
266,70,1268,1
267,70,265,1
268,70,544,1
269,70,26,1
270,70,1237,1
271,70,221,1
272,70,110,1
273,70,817,1
274,70,1087,1
275,70,897,1
276,70,27,1
277,70,143,1
278,70,296,1
279,70,611,1
280,70,421,1
281,70,910,1
282,70,65,1
