,TF,Target,Label
0,1,630,1
1,1,412,1
2,1,585,1
3,1,461,1
4,1,375,1
5,1,254,1
6,1,621,1
7,1,413,1
8,1,356,1
9,1,629,1
10,1,572,1
11,1,543,1
12,1,368,1
13,1,551,1
14,1,638,1
15,1,21,1
16,1,527,1
17,1,444,1
18,1,426,1
19,1,261,1
20,1,392,1
21,1,478,1
22,1,500,1
23,1,447,1
24,1,647,1
25,1,495,1
26,1,618,1
27,1,703,1
28,1,35,1
29,1,497,1
30,1,168,1
31,1,633,1
32,1,570,1
33,1,84,1
34,1,698,1
35,1,217,1
36,1,430,1
37,1,175,1
38,1,678,1
39,1,201,1
40,1,303,1
41,1,451,1
42,1,458,1
43,1,132,1
44,1,2,1
45,1,319,1
46,1,400,1
47,1,272,1
48,1,631,1
49,1,501,1
50,1,163,1
51,1,207,1
52,1,345,1
53,1,30,1
54,1,581,1
55,1,146,1
56,1,685,1
57,1,293,1
58,1,198,1
59,1,679,1
60,1,13,1
61,1,130,1
62,1,651,1
63,1,162,1
64,1,615,1
65,1,196,1
66,1,259,1
67,1,152,1
68,1,200,1
69,1,60,1
70,1,195,1
71,1,428,1
72,1,83,1
73,1,562,1
74,1,174,1
75,1,445,1
76,1,528,1
77,1,606,1
78,1,682,1
79,1,11,1
80,1,503,1
81,1,311,1
82,1,437,1
83,1,371,1
84,1,330,1
85,1,390,1
86,1,690,1
87,1,448,1
88,1,171,1
89,1,438,1
90,1,227,1
91,1,291,1
92,1,213,1
93,1,87,1
94,1,98,1
95,1,229,1
96,1,57,1
97,1,296,1
98,1,465,1
99,1,534,1
100,1,692,1
101,1,457,1
102,1,485,1
103,1,252,1
104,1,697,1
105,1,220,1
106,1,7,1
107,1,597,1
108,1,232,1
109,1,136,1
110,1,158,1
111,1,383,1
112,1,539,1
113,1,389,1
114,1,505,1
115,1,74,1
116,1,23,1
117,1,224,1
118,1,573,1
119,1,209,1
120,1,384,1
121,1,617,1
122,1,410,1
123,1,599,1
124,1,600,1
125,1,399,1
126,1,425,1
127,1,655,1
128,1,310,1
129,1,216,1
130,1,135,1
131,1,34,1
132,1,309,1
133,1,456,1
134,1,471,1
135,1,622,1
136,1,676,1
137,1,637,1
138,1,611,1
139,1,155,1
140,1,360,1
141,1,324,1
142,1,322,1
143,1,243,1
144,1,403,1
145,1,513,1
146,1,415,1
147,1,177,1
148,1,15,1
149,1,584,1
150,1,33,1
151,1,302,1
152,1,79,1
153,1,81,1
154,1,603,1
155,1,75,1
156,1,619,1
157,1,237,1
158,1,350,1
159,1,474,1
160,1,509,1
161,1,702,1
162,1,686,1
163,1,696,1
164,1,559,1
165,1,45,1
166,1,154,1
167,1,648,1
168,1,329,1
169,1,604,1
170,1,19,1
171,1,624,1
172,1,455,1
173,1,526,1
174,1,422,1
175,1,658,1
176,1,664,1
177,1,511,1
178,1,143,1
179,1,557,1
180,1,549,1
181,1,66,1
182,1,126,1
183,1,22,1
184,1,354,1
185,1,67,1
186,1,247,1
187,1,282,1
188,1,538,1
189,1,377,1
190,1,558,1
191,1,535,1
192,1,29,1
193,1,28,1
194,1,234,1
195,1,102,1
196,1,359,1
197,1,379,1
198,1,245,1
199,1,48,1
200,1,55,1
201,1,364,1
202,1,349,1
203,1,567,1
204,1,142,1
205,1,454,1
206,1,111,1
207,1,423,1
208,1,670,1
209,1,576,1
210,1,120,1
211,1,190,1
212,1,292,1
213,1,10,1
214,1,289,1
215,1,181,1
216,1,432,1
217,1,76,1
218,1,275,1
219,1,533,1
220,1,536,1
221,1,628,1
222,1,579,1
223,1,487,1
224,1,101,1
225,1,71,1
226,1,460,1
227,1,580,1
228,1,439,1
229,1,274,1
230,1,522,1
231,1,49,1
232,1,69,1
233,1,496,1
234,1,672,1
235,1,139,1
236,1,188,1
237,1,568,1
238,1,623,1
239,1,416,1
240,1,370,1
241,1,170,1
242,1,524,1
243,1,644,1
244,1,494,1
245,1,486,1
246,1,607,1
247,1,12,1
248,1,353,1
249,1,320,1
250,1,164,1
251,1,172,1
252,1,669,1
253,1,308,1
254,1,642,1
255,1,346,1
256,1,205,1
257,1,402,1
258,1,591,1
259,1,479,1
260,1,4,1
261,1,358,1
262,1,610,1
263,12,594,1
264,12,624,1
265,12,205,1
266,12,278,1
267,12,192,1
268,12,536,1
269,12,1,1
270,12,41,1
271,12,255,1
272,12,384,1
273,12,29,1
274,12,517,1
275,12,623,1
276,12,73,1
277,12,158,1
278,12,81,1
279,12,60,1
280,12,164,1
281,12,136,1
282,12,558,1
283,12,409,1
284,12,152,1
285,12,403,1
286,12,410,1
287,12,388,1
288,12,61,1
289,12,316,1
290,12,350,1
291,12,397,1
292,12,596,1
293,12,655,1
294,12,247,1
295,12,85,1
296,12,315,1
297,12,153,1
298,12,132,1
299,12,368,1
300,12,698,1
301,12,58,1
302,12,176,1
303,12,261,1
304,12,414,1
305,12,590,1
306,12,64,1
307,12,450,1
308,12,211,1
309,12,329,1
310,12,510,1
311,12,639,1
312,12,462,1
313,12,25,1
314,12,385,1
315,12,393,1
316,12,435,1
317,12,468,1
318,12,508,1
319,12,634,1
320,12,461,1
321,12,412,1
322,12,210,1
323,12,521,1
324,12,65,1
325,12,10,1
326,12,323,1
327,12,700,1
328,12,245,1
329,12,575,1
330,12,84,1
331,12,583,1
332,12,207,1
333,12,103,1
334,12,598,1
335,12,463,1
336,12,701,1
337,12,391,1
338,12,506,1
339,12,173,1
340,12,98,1
341,12,422,1
342,12,447,1
343,12,96,1
344,12,62,1
345,12,574,1
346,12,375,1
347,12,296,1
348,12,577,1
349,12,287,1
350,12,420,1
351,12,656,1
352,12,356,1
353,12,86,1
354,12,426,1
355,12,122,1
356,12,456,1
357,12,477,1
358,12,155,1
359,12,18,1
360,12,67,1
361,12,123,1
362,12,77,1
363,12,643,1
364,12,379,1
365,12,535,1
366,12,275,1
367,12,178,1
368,12,82,1
369,12,148,1
370,12,27,1
371,12,93,1
372,12,372,1
373,12,522,1
374,12,234,1
375,12,321,1
376,12,262,1
377,12,319,1
378,12,341,1
379,12,347,1
380,12,616,1
381,12,631,1
382,12,382,1
383,12,260,1
384,12,424,1
385,12,306,1
386,12,119,1
387,12,530,1
388,12,615,1
389,12,5,1
390,12,673,1
391,12,240,1
392,12,691,1
393,12,502,1
394,12,305,1
395,12,653,1
396,12,308,1
397,12,218,1
398,12,311,1
399,12,398,1
400,12,496,1
401,12,421,1
402,12,354,1
403,12,251,1
404,12,57,1
405,12,157,1
406,12,466,1
407,12,134,1
408,12,204,1
409,12,589,1
410,12,32,1
411,12,563,1
412,12,630,1
413,12,505,1
414,12,439,1
415,12,31,1
416,12,448,1
417,12,322,1
418,12,54,1
419,12,139,1
420,12,206,1
421,12,657,1
422,12,660,1
423,12,529,1
424,12,286,1
425,12,467,1
426,12,283,1
427,12,628,1
428,12,280,1
429,12,351,1
430,12,614,1
431,12,186,1
432,12,671,1
433,12,253,1
434,12,34,1
435,12,125,1
436,12,105,1
437,12,369,1
438,12,279,1
439,12,284,1
440,12,531,1
441,12,659,1
442,12,145,1
443,12,167,1
444,12,298,1
445,12,667,1
446,12,482,1
447,12,404,1
448,12,79,1
449,12,661,1
450,12,49,1
451,12,6,1
452,12,16,1
453,12,88,1
454,12,89,1
455,12,612,1
456,12,520,1
457,12,378,1
458,12,501,1
459,12,423,1
460,12,130,1
461,12,632,1
462,12,183,1
463,12,432,1
464,12,532,1
465,12,22,1
466,12,471,1
467,12,143,1
468,12,39,1
469,12,9,1
470,12,365,1
471,12,646,1
472,12,109,1
473,12,406,1
474,12,162,1
475,12,163,1
476,12,95,1
477,12,317,1
478,12,328,1
479,12,269,1
480,12,346,1
481,12,320,1
482,12,580,1
483,12,36,1
484,12,74,1
485,12,7,1
486,12,534,1
487,12,545,1
488,12,438,1
489,12,56,1
490,12,259,1
491,12,503,1
492,12,454,1
493,12,19,1
494,12,476,1
495,12,685,1
496,12,497,1
497,12,150,1
498,12,348,1
499,12,80,1
500,12,401,1
501,12,133,1
502,12,217,1
503,12,603,1
504,12,500,1
505,12,367,1
506,12,370,1
507,12,172,1
508,12,165,1
509,12,295,1
510,12,291,1
511,12,607,1
512,12,28,1
513,12,681,1
514,12,250,1
515,12,268,1
516,12,538,1
517,12,682,1
518,12,642,1
519,12,216,1
520,12,221,1
521,12,674,1
522,12,70,1
523,12,627,1
524,12,30,1
525,12,20,1
526,12,310,1
527,12,638,1
528,12,544,1
529,12,285,1
530,12,100,1
531,12,380,1
532,12,488,1
533,12,703,1
534,12,45,1
535,12,184,1
536,12,307,1
537,12,194,1
538,12,179,1
539,12,434,1
540,12,617,1
541,12,428,1
542,12,334,1
543,12,227,1
544,12,604,1
545,12,543,1
546,12,588,1
547,12,168,1
548,12,335,1
549,12,680,1
550,12,97,1
551,12,366,1
552,12,662,1
553,12,573,1
554,12,324,1
555,12,570,1
556,12,199,1
557,12,242,1
558,12,694,1
559,12,387,1
560,12,215,1
561,12,400,1
562,12,524,1
563,12,142,1
564,12,126,1
565,12,63,1
566,12,677,1
567,12,487,1
568,12,622,1
569,12,46,1
570,12,485,1
571,12,437,1
572,12,411,1
573,12,525,1
574,12,470,1
575,12,480,1
576,12,621,1
577,12,113,1
578,12,362,1
579,12,124,1
580,12,692,1
581,12,15,1
582,12,37,1
583,12,651,1
584,12,591,1
585,12,537,1
586,12,415,1
587,12,451,1
588,12,569,1
589,12,202,1
590,12,231,1
591,12,337,1
592,12,331,1
593,12,345,1
594,12,14,1
595,12,526,1
596,12,224,1
597,12,256,1
598,12,135,1
599,12,3,1
600,12,314,1
601,12,53,1
602,12,190,1
603,12,413,1
604,12,473,1
605,12,647,1
606,12,265,1
607,12,263,1
608,12,131,1
609,12,222,1
610,12,560,1
611,12,174,1
612,12,427,1
613,12,458,1
614,12,175,1
615,12,381,1
616,12,469,1
617,12,386,1
618,12,676,1
619,12,478,1
620,12,118,1
621,12,42,1
622,12,254,1
623,12,582,1
624,12,395,1
625,12,193,1
626,12,169,1
627,12,282,1
628,12,219,1
629,12,494,1
630,12,258,1
631,12,686,1
632,12,554,1
633,12,455,1
634,12,486,1
635,12,593,1
636,12,493,1
637,12,619,1
638,12,241,1
639,12,648,1
640,12,301,1
641,12,233,1
642,12,112,1
643,12,460,1
644,12,689,1
645,12,636,1
646,12,21,1
647,12,549,1
648,12,94,1
649,12,504,1
650,12,313,1
651,12,76,1
652,12,430,1
653,12,472,1
654,12,114,1
655,12,203,1
656,12,352,1
657,12,459,1
658,12,235,1
659,12,479,1
660,12,115,1
661,12,548,1
662,12,514,1
663,12,464,1
664,12,358,1
665,12,654,1
666,12,239,1
667,12,512,1
668,12,442,1
669,12,228,1
670,12,679,1
671,12,509,1
672,12,481,1
673,12,562,1
674,12,252,1
675,12,443,1
676,12,318,1
677,12,23,1
678,12,90,1
679,12,177,1
680,12,592,1
681,12,78,1
682,12,171,1
683,12,159,1
684,12,396,1
685,12,11,1
686,12,568,1
687,12,436,1
688,12,670,1
689,12,232,1
690,12,618,1
691,12,327,1
692,12,540,1
693,12,519,1
694,12,212,1
695,12,271,1
696,12,198,1
697,12,672,1
698,12,38,1
699,12,407,1
700,12,444,1
701,12,364,1
702,12,151,1
703,12,339,1
704,12,68,1
705,12,605,1
706,44,199,1
707,44,263,1
708,44,285,1
709,44,117,1
710,44,632,1
711,44,610,1
712,44,531,1
713,44,646,1
714,44,314,1
715,44,640,1
716,44,414,1
717,44,541,1
718,44,413,1
719,44,132,1
720,44,375,1
721,44,392,1
722,44,474,1
723,44,539,1
724,44,67,1
725,44,651,1
726,44,467,1
727,44,545,1
728,44,28,1
729,44,265,1
730,44,422,1
731,44,55,1
732,44,31,1
733,44,439,1
734,44,71,1
735,44,6,1
736,44,412,1
737,44,312,1
738,44,581,1
739,44,382,1
740,44,603,1
741,44,233,1
742,44,343,1
743,44,566,1
744,44,629,1
745,44,269,1
746,44,430,1
747,44,462,1
748,44,500,1
749,44,558,1
750,44,609,1
751,44,598,1
752,44,198,1
753,44,549,1
754,44,433,1
755,44,509,1
756,44,405,1
757,44,655,1
758,44,689,1
759,44,14,1
760,44,232,1
761,44,486,1
762,44,49,1
763,44,526,1
764,44,64,1
765,44,145,1
766,44,250,1
767,44,588,1
768,44,496,1
769,44,194,1
770,44,457,1
771,44,246,1
772,44,59,1
773,44,155,1
774,44,489,1
775,44,591,1
776,44,521,1
777,44,337,1
778,44,589,1
779,44,409,1
780,44,672,1
781,44,319,1
782,44,61,1
783,44,473,1
784,44,39,1
785,44,569,1
786,44,528,1
787,44,45,1
788,44,673,1
789,44,162,1
790,44,389,1
791,44,470,1
792,44,626,1
793,44,659,1
794,44,573,1
795,44,450,1
796,44,256,1
797,44,518,1
798,44,75,1
799,44,3,1
800,44,440,1
801,44,553,1
802,44,636,1
803,44,87,1
804,44,225,1
805,44,261,1
806,44,230,1
807,44,123,1
808,44,2,1
809,44,438,1
810,44,508,1
811,44,296,1
812,44,216,1
813,44,116,1
814,44,317,1
815,44,453,1
816,44,22,1
817,44,645,1
818,44,605,1
819,44,284,1
820,44,151,1
821,44,437,1
822,44,372,1
823,44,497,1
824,44,608,1
825,44,614,1
826,44,513,1
827,44,520,1
828,44,548,1
829,44,426,1
830,44,624,1
831,44,653,1
832,44,703,1
833,44,339,1
834,44,81,1
835,44,376,1
836,44,501,1
837,44,476,1
838,44,167,1
839,44,396,1
840,44,217,1
841,44,66,1
842,44,668,1
843,44,435,1
844,44,282,1
845,44,207,1
846,44,148,1
847,44,577,1
848,44,369,1
849,44,12,1
850,44,353,1
851,44,309,1
852,44,468,1
853,44,543,1
854,44,443,1
855,44,335,1
856,44,654,1
857,44,234,1
858,44,310,1
859,44,380,1
860,44,72,1
861,44,147,1
862,44,538,1
863,44,381,1
864,44,544,1
865,44,239,1
866,44,647,1
867,44,506,1
868,44,89,1
869,44,240,1
870,44,51,1
871,44,18,1
872,44,693,1
873,44,594,1
874,44,623,1
875,44,639,1
876,44,630,1
877,44,129,1
878,44,170,1
879,44,32,1
880,44,341,1
881,44,357,1
882,44,4,1
883,44,465,1
884,44,205,1
885,44,245,1
886,44,186,1
887,44,365,1
888,44,416,1
889,44,104,1
890,44,445,1
891,44,50,1
892,44,127,1
893,44,324,1
894,44,301,1
895,44,166,1
896,44,346,1
897,44,358,1
898,44,696,1
899,44,58,1
900,44,30,1
901,44,540,1
902,44,572,1
903,44,275,1
904,44,294,1
905,44,204,1
906,44,503,1
907,44,680,1
908,44,304,1
909,44,43,1
910,44,266,1
911,44,268,1
912,44,559,1
913,44,530,1
914,44,683,1
915,44,47,1
916,44,138,1
917,44,113,1
918,44,26,1
919,44,633,1
920,44,447,1
921,44,345,1
922,44,478,1
923,44,316,1
924,44,271,1
925,44,698,1
926,44,546,1
927,44,398,1
928,44,495,1
929,44,579,1
930,44,1,1
931,44,483,1
932,44,80,1
933,44,556,1
934,44,252,1
935,44,171,1
936,44,183,1
937,44,77,1
938,44,336,1
939,44,384,1
940,44,311,1
941,44,320,1
942,44,229,1
943,44,235,1
944,44,368,1
945,44,428,1
946,44,293,1
947,44,130,1
948,44,94,1
949,44,694,1
950,44,160,1
951,44,33,1
952,44,133,1
953,44,686,1
954,44,551,1
955,44,140,1
956,44,332,1
957,44,700,1
958,44,359,1
959,44,195,1
960,44,550,1
961,44,178,1
962,44,100,1
963,44,388,1
964,44,390,1
965,44,109,1
966,44,236,1
967,44,330,1
968,44,463,1
969,44,619,1
970,44,377,1
971,44,262,1
972,44,563,1
973,44,254,1
974,44,349,1
975,44,676,1
976,44,221,1
977,44,214,1
978,44,108,1
979,44,487,1
980,44,65,1
981,44,315,1
982,44,159,1
983,44,7,1
984,44,96,1
985,44,243,1
986,44,255,1
987,44,415,1
988,44,76,1
989,44,471,1
990,44,634,1
991,44,247,1
992,44,400,1
993,44,393,1
994,44,79,1
995,44,259,1
996,44,279,1
997,44,213,1
998,44,407,1
999,44,364,1
1000,44,53,1
1001,44,157,1
1002,44,441,1
1003,44,461,1
1004,44,664,1
1005,44,98,1
1006,44,163,1
1007,44,274,1
1008,44,567,1
1009,44,578,1
1010,44,154,1
1011,44,524,1
1012,44,329,1
1013,44,115,1
1014,44,131,1
1015,44,679,1
1016,44,652,1
1017,44,596,1
1018,44,621,1
1019,44,105,1
1020,44,361,1
1021,44,612,1
1022,44,472,1
1023,44,174,1
1024,44,555,1
1025,44,11,1
1026,44,585,1
1027,44,681,1
1028,44,371,1
1029,44,334,1
1030,44,505,1
1031,44,688,1
1032,44,535,1
1033,44,106,1
1034,44,54,1
1035,44,192,1
1036,44,423,1
1037,44,456,1
1038,44,179,1
1039,44,222,1
1040,44,152,1
1041,44,215,1
1042,44,516,1
1043,44,466,1
1044,44,432,1
1045,44,203,1
1046,44,460,1
1047,44,649,1
1048,44,267,1
1049,44,141,1
1050,44,144,1
1051,44,397,1
1052,44,519,1
1053,78,378,1
1054,78,45,1
1055,78,203,1
1056,78,425,1
1057,78,131,1
1058,78,301,1
1059,78,680,1
1060,78,98,1
1061,78,69,1
1062,78,461,1
1063,78,451,1
1064,78,380,1
1065,78,607,1
1066,78,119,1
1067,78,248,1
1068,78,3,1
1069,78,638,1
1070,78,664,1
1071,78,240,1
1072,78,494,1
1073,78,402,1
1074,78,44,1
1075,78,496,1
1076,78,177,1
1077,78,479,1
1078,78,217,1
1079,78,543,1
1080,78,675,1
1081,78,643,1
1082,78,118,1
1083,78,4,1
1084,78,454,1
1085,78,255,1
1086,78,647,1
1087,78,174,1
1088,78,610,1
1089,78,546,1
1090,78,696,1
1091,78,440,1
1092,78,335,1
1093,78,471,1
1094,78,554,1
1095,78,381,1
1096,78,81,1
1097,78,698,1
1098,78,344,1
1099,78,505,1
1100,78,548,1
1101,78,325,1
1102,78,353,1
1103,78,28,1
1104,78,315,1
1105,78,527,1
1106,78,450,1
1107,78,227,1
1108,78,676,1
1109,78,679,1
1110,78,132,1
1111,78,274,1
1112,78,509,1
1113,78,460,1
1114,78,340,1
1115,78,538,1
1116,78,398,1
1117,78,453,1
1118,78,184,1
1119,78,401,1
1120,78,521,1
1121,78,31,1
1122,78,442,1
1123,78,64,1
1124,78,624,1
1125,78,243,1
1126,78,41,1
1127,78,57,1
1128,78,116,1
1129,78,594,1
1130,78,160,1
1131,78,642,1
1132,78,71,1
1133,78,392,1
1134,78,339,1
1135,78,641,1
1136,78,359,1
1137,78,141,1
1138,78,30,1
1139,78,136,1
1140,78,464,1
1141,78,407,1
1142,78,432,1
1143,78,216,1
1144,78,654,1
1145,78,416,1
1146,78,198,1
1147,78,437,1
1148,78,153,1
1149,78,603,1
1150,78,652,1
1151,78,497,1
1152,78,46,1
1153,78,188,1
1154,78,170,1
1155,78,205,1
1156,78,76,1
1157,78,405,1
1158,78,56,1
1159,78,155,1
1160,78,356,1
1161,78,415,1
1162,78,144,1
1163,78,376,1
1164,78,80,1
1165,78,178,1
1166,78,199,1
1167,78,196,1
1168,78,626,1
1169,78,585,1
1170,78,653,1
1171,78,674,1
1172,78,633,1
1173,78,681,1
1174,78,485,1
1175,78,531,1
1176,78,320,1
1177,78,410,1
1178,78,697,1
1179,78,452,1
1180,78,393,1
1181,78,374,1
1182,78,616,1
1183,78,694,1
1184,78,133,1
1185,78,488,1
1186,78,53,1
1187,78,259,1
1188,78,147,1
1189,78,578,1
1190,78,126,1
1191,78,457,1
1192,78,73,1
1193,78,61,1
1194,78,650,1
1195,78,25,1
1196,78,549,1
1197,78,621,1
1198,78,329,1
1199,78,623,1
1200,78,302,1
1201,78,426,1
1202,78,29,1
1203,78,214,1
1204,78,92,1
1205,78,87,1
1206,78,213,1
1207,78,660,1
1208,78,382,1
1209,78,536,1
1210,78,258,1
1211,78,161,1
1212,78,357,1
1213,78,106,1
1214,78,466,1
1215,78,469,1
1216,78,565,1
1217,78,529,1
1218,78,473,1
1219,78,389,1
1220,78,396,1
1221,78,403,1
1222,78,685,1
1223,78,284,1
1224,78,456,1
1225,78,618,1
1226,78,74,1
1227,78,158,1
1228,78,628,1
1229,78,693,1
1230,78,59,1
1231,78,596,1
1232,78,420,1
1233,78,304,1
1234,78,307,1
1235,78,645,1
1236,78,65,1
1237,78,434,1
1238,78,622,1
1239,78,100,1
1240,78,369,1
1241,78,269,1
1242,78,310,1
1243,78,662,1
1244,78,7,1
1245,78,322,1
1246,78,541,1
1247,78,424,1
1248,78,190,1
1249,78,280,1
1250,78,659,1
1251,78,261,1
1252,78,557,1
1253,78,105,1
1254,78,13,1
1255,78,691,1
1256,78,47,1
1257,78,2,1
1258,78,260,1
1259,78,703,1
1260,78,535,1
1261,78,235,1
1262,78,522,1
1263,78,150,1
1264,78,232,1
1265,78,219,1
1266,78,291,1
1267,78,228,1
1268,78,577,1
1269,78,224,1
1270,78,400,1
1271,78,613,1
1272,78,677,1
1273,78,524,1
1274,78,412,1
1275,78,636,1
1276,78,625,1
1277,78,458,1
1278,78,85,1
1279,78,137,1
1280,78,84,1
1281,78,655,1
1282,78,566,1
1283,78,591,1
1284,78,506,1
1285,78,463,1
1286,78,355,1
1287,78,422,1
1288,78,267,1
1289,78,51,1
1290,78,82,1
1291,78,637,1
1292,78,487,1
1293,78,593,1
1294,78,489,1
1295,78,79,1
1296,78,455,1
1297,78,237,1
1298,78,94,1
1299,78,600,1
1300,78,245,1
1301,78,165,1
1302,78,611,1
1303,78,615,1
1304,78,354,1
1305,78,337,1
