,TF,Target,Label
0,7,204,1
1,7,49,1
2,7,687,1
3,7,295,1
4,7,147,1
5,7,271,1
6,7,188,1
7,7,336,1
8,7,98,1
9,7,370,1
10,7,258,1
11,7,689,1
12,7,96,1
13,7,254,1
14,7,662,1
15,7,445,1
16,7,70,1
17,7,177,1
18,7,375,1
19,7,363,1
20,7,424,1
21,7,462,1
22,7,517,1
23,7,39,1
24,7,35,1
25,7,79,1
26,7,439,1
27,7,179,1
28,7,592,1
29,7,17,1
30,7,340,1
31,7,400,1
32,7,111,1
33,7,510,1
34,7,169,1
35,7,561,1
36,7,373,1
37,7,321,1
38,7,346,1
39,7,223,1
40,7,343,1
41,7,503,1
42,7,523,1
43,7,444,1
44,7,430,1
45,7,586,1
46,7,302,1
47,7,583,1
48,7,417,1
49,7,476,1
50,7,309,1
51,7,437,1
52,7,466,1
53,7,432,1
54,7,521,1
55,7,158,1
56,7,482,1
57,7,342,1
58,7,173,1
59,7,553,1
60,7,612,1
61,7,185,1
62,7,307,1
63,7,535,1
64,7,140,1
65,7,326,1
66,7,664,1
67,7,364,1
68,7,257,1
69,7,127,1
70,7,100,1
71,7,157,1
72,7,442,1
73,7,203,1
74,7,691,1
75,7,599,1
76,7,268,1
77,7,262,1
78,7,202,1
79,7,124,1
80,7,669,1
81,7,565,1
82,7,630,1
83,7,58,1
84,7,210,1
85,7,666,1
86,7,465,1
87,7,506,1
88,7,605,1
89,7,428,1
90,7,304,1
91,7,329,1
92,7,451,1
93,7,151,1
94,7,628,1
95,7,325,1
96,7,299,1
97,7,137,1
98,7,486,1
99,7,487,1
100,7,78,1
101,7,224,1
102,7,194,1
103,7,416,1
104,7,215,1
105,7,576,1
106,7,610,1
107,7,422,1
108,7,562,1
109,7,6,1
110,7,582,1
111,7,495,1
112,7,420,1
113,7,72,1
114,7,425,1
115,7,351,1
116,7,217,1
117,7,404,1
118,7,207,1
119,7,488,1
120,7,604,1
121,7,498,1
122,7,556,1
123,7,102,1
124,7,618,1
125,7,222,1
126,7,492,1
127,7,415,1
128,7,40,1
129,7,48,1
130,7,337,1
131,7,355,1
132,7,603,1
133,7,470,1
134,7,80,1
135,7,164,1
136,7,334,1
137,7,450,1
138,7,195,1
139,7,522,1
140,7,14,1
141,7,369,1
142,7,331,1
143,7,184,1
144,7,626,1
145,7,382,1
146,7,300,1
147,7,409,1
148,7,106,1
149,7,448,1
150,7,629,1
151,7,595,1
152,7,171,1
153,7,156,1
154,7,431,1
155,7,248,1
156,7,64,1
157,7,19,1
158,7,74,1
159,7,548,1
160,7,81,1
161,7,86,1
162,7,360,1
163,7,655,1
164,7,4,1
165,7,354,1
166,7,512,1
167,7,433,1
168,7,131,1
169,7,405,1
170,7,283,1
171,7,402,1
172,7,395,1
173,7,52,1
174,7,122,1
175,7,345,1
176,7,353,1
177,7,66,1
178,7,51,1
179,7,170,1
180,7,368,1
181,7,33,1
182,7,494,1
183,7,397,1
184,7,650,1
185,7,338,1
186,7,596,1
187,7,68,1
188,7,189,1
189,7,479,1
190,7,384,1
191,7,538,1
192,7,501,1
193,7,22,1
194,7,182,1
195,7,154,1
196,7,149,1
197,7,640,1
198,7,247,1
199,7,201,1
200,7,441,1
201,7,129,1
202,7,231,1
203,7,270,1
204,7,205,1
205,7,214,1
206,7,654,1
207,7,310,1
208,7,661,1
209,7,358,1
210,7,125,1
211,7,572,1
212,7,278,1
213,7,426,1
214,7,627,1
215,7,631,1
216,7,0,1
217,7,396,1
218,7,686,1
219,7,484,1
220,7,162,1
221,7,551,1
222,7,69,1
223,7,101,1
224,7,198,1
225,7,63,1
226,7,504,1
227,7,23,1
228,7,235,1
229,7,245,1
230,7,168,1
231,7,8,1
232,7,472,1
233,7,413,1
234,7,584,1
235,7,447,1
236,7,619,1
237,7,160,1
238,7,600,1
239,7,315,1
240,7,352,1
241,7,469,1
242,7,71,1
243,7,260,1
244,7,511,1
245,7,261,1
246,7,272,1
247,7,282,1
248,7,393,1
249,7,410,1
250,7,241,1
251,7,136,1
252,7,236,1
253,7,67,1
254,7,453,1
255,7,653,1
256,7,319,1
257,7,656,1
258,7,508,1
259,7,537,1
260,7,61,1
261,7,175,1
262,7,289,1
263,7,622,1
264,7,380,1
265,7,362,1
266,7,633,1
267,7,516,1
268,7,275,1
269,7,132,1
270,7,109,1
271,7,142,1
272,7,242,1
273,7,574,1
274,7,112,1
275,7,387,1
276,7,341,1
277,7,76,1
278,7,356,1
279,7,681,1
280,7,429,1
281,7,455,1
282,7,226,1
283,7,316,1
284,7,322,1
285,7,269,1
286,7,87,1
287,7,174,1
288,7,84,1
289,7,546,1
290,7,55,1
291,7,513,1
292,7,273,1
293,7,532,1
294,7,240,1
295,7,539,1
296,7,575,1
297,7,294,1
298,7,534,1
299,7,206,1
300,7,92,1
301,7,91,1
302,7,496,1
303,7,597,1
304,7,94,1
305,7,518,1
306,7,333,1
307,7,36,1
308,7,635,1
309,7,25,1
310,7,500,1
311,7,507,1
312,7,670,1
313,7,249,1
314,7,95,1
315,7,117,1
316,7,121,1
317,7,114,1
318,12,592,1
319,12,184,1
320,12,27,1
321,12,160,1
322,12,499,1
323,12,508,1
324,12,628,1
325,12,467,1
326,12,361,1
327,12,120,1
328,12,197,1
329,12,124,1
330,12,47,1
331,12,112,1
332,12,604,1
333,12,169,1
334,12,688,1
335,12,588,1
336,12,364,1
337,12,669,1
338,12,145,1
339,12,175,1
340,12,353,1
341,12,458,1
342,12,216,1
343,12,8,1
344,12,395,1
345,12,470,1
346,12,666,1
347,12,584,1
348,12,176,1
349,12,421,1
350,12,423,1
351,12,619,1
352,12,512,1
353,12,372,1
354,12,273,1
355,12,624,1
356,12,171,1
357,12,451,1
358,12,55,1
359,12,653,1
360,12,267,1
361,12,21,1
362,12,577,1
363,12,380,1
364,12,127,1
365,12,655,1
366,12,138,1
367,12,612,1
368,12,565,1
369,12,195,1
370,12,262,1
371,12,32,1
372,12,337,1
373,12,386,1
374,12,446,1
375,12,354,1
376,12,677,1
377,12,513,1
378,12,640,1
379,12,323,1
380,12,165,1
381,12,84,1
382,12,402,1
383,12,532,1
384,12,3,1
385,12,648,1
386,12,566,1
387,12,260,1
388,12,351,1
389,12,667,1
390,12,201,1
391,12,447,1
392,12,522,1
393,12,596,1
394,12,227,1
395,12,329,1
396,12,363,1
397,12,630,1
398,12,359,1
399,12,598,1
400,12,172,1
401,12,665,1
402,12,76,1
403,12,398,1
404,12,103,1
405,12,108,1
406,12,294,1
407,12,459,1
408,12,611,1
409,12,680,1
410,12,663,1
411,12,382,1
412,12,16,1
413,12,440,1
414,12,271,1
415,12,344,1
416,12,210,1
417,12,477,1
418,12,289,1
419,12,585,1
