src_idx,dst_idx,src_gene,dst_gene,score
759,597,0610009D07RIK,HSPA5,0.90648276
759,801,0610009D07RIK,MAPK1,0.9049944
759,112,0610009D07RIK,SDCBP,0.8911007
759,341,0610009D07RIK,FABP5,0.8911007
759,1047,0610009D07RIK,NPC2,0.8911007
759,259,0610009D07RIK,GUSB,0.8893921
759,66,0610009D07RIK,TUBB5,0.8839241
759,1199,0610009D07RIK,BIN1,0.87640464
759,706,0610009D07RIK,WHSC1L1,0.85945386
759,1174,0610009D07RIK,ARPC4,0.85217035
759,715,0610009D07RIK,TRF,0.8500862
759,1222,0610009D07RIK,AP2M1,0.8500862
759,109,0610009D07RIK,HMGB2,0.84984463
759,365,0610009D07RIK,RSU1,0.83283144
759,487,0610009D07RIK,TMSB4X,0.83283144
759,104,0610009D07RIK,FXR1,0.8250224
759,170,0610009D07RIK,PARK7,0.8209014
759,1276,0610009D07RIK,SOD1,0.8209014
759,498,0610009D07RIK,RPS6,0.81920224
759,359,0610009D07RIK,PA2G4,0.81857
759,1236,0610009D07RIK,HIST1H1C,0.8174211
759,578,0610009D07RIK,RPS27A,0.80907094
759,1124,0610009D07RIK,HCLS1,0.8078508
759,1045,0610009D07RIK,DNAJC19,0.8048963
759,467,0610009D07RIK,RPS24,0.80141675
759,806,0610009D07RIK,RPL11,0.80077046
759,447,0610009D07RIK,PARP1,0.7975749
759,1155,0610009D07RIK,GM2A,0.7970306
759,561,0610009D07RIK,ACLY,0.79600155
759,69,0610009D07RIK,ANXA2,0.7953179
759,932,0610009D07RIK,IQGAP1,0.7953179
759,939,0610009D07RIK,CTSA,0.7953179
759,1063,0610009D07RIK,PRDX6,0.7953179
759,1071,0610009D07RIK,TRAPPC1,0.7953179
759,1158,0610009D07RIK,LYZ1,0.7953179
759,792,0610009D07RIK,HSP90AB1,0.79493517
759,1248,0610009D07RIK,CREG1,0.79294884
759,227,0610009D07RIK,H1F0,0.7919754
759,809,0610009D07RIK,TRP53,0.79099965
759,125,0610009D07RIK,GGH,0.7876983
759,223,0610009D07RIK,DENND4A,0.7839712
759,737,0610009D07RIK,RPL7,0.783474
759,488,0610009D07RIK,NFE2L2,0.78336513
759,406,0610009D07RIK,YWHAE,0.7796778
759,994,0610009D07RIK,SEPT2,0.7796778
759,941,0610009D07RIK,EAR2,0.77702445
759,684,0610009D07RIK,FTH1,0.77650094
759,67,0610009D07RIK,EIF3K,0.77446353
759,85,0610009D07RIK,RNASET2A,0.77446353
759,209,0610009D07RIK,FTL1,0.77446353
877,597,0610031J06RIK,HSPA5,0.90648276
877,801,0610031J06RIK,MAPK1,0.8998358
877,112,0610031J06RIK,SDCBP,0.8911007
877,259,0610031J06RIK,GUSB,0.8911007
877,1047,0610031J06RIK,NPC2,0.8911007
877,66,0610031J06RIK,TUBB5,0.8839405
877,1199,0610031J06RIK,BIN1,0.86778235
877,341,0610031J06RIK,FABP5,0.8539833
877,109,0610031J06RIK,HMGB2,0.85185724
877,706,0610031J06RIK,WHSC1L1,0.85165536
877,715,0610031J06RIK,TRF,0.8507277
877,1174,0610031J06RIK,ARPC4,0.8500862
877,1222,0610031J06RIK,AP2M1,0.8500862
877,897,0610031J06RIK,MAPK3,0.8398321
877,365,0610031J06RIK,RSU1,0.83283144
877,487,0610031J06RIK,TMSB4X,0.83283144
877,728,0610031J06RIK,HSP90B1,0.8318324
877,104,0610031J06RIK,FXR1,0.8253437
877,170,0610031J06RIK,PARK7,0.8209014
877,1276,0610031J06RIK,SOD1,0.8209014
877,359,0610031J06RIK,PA2G4,0.81857
877,684,0610031J06RIK,FTH1,0.8182569
877,1236,0610031J06RIK,HIST1H1C,0.8174211
877,792,0610031J06RIK,HSP90AB1,0.8164033
877,1124,0610031J06RIK,HCLS1,0.81623936
877,227,0610031J06RIK,H1F0,0.81246144
877,1045,0610031J06RIK,DNAJC19,0.8048963
877,806,0610031J06RIK,RPL11,0.8008525
877,498,0610031J06RIK,RPS6,0.7996425
877,386,0610031J06RIK,CCT2,0.79826444
877,447,0610031J06RIK,PARP1,0.7975749
877,932,0610031J06RIK,IQGAP1,0.7963813
877,69,0610031J06RIK,ANXA2,0.7953179
877,939,0610031J06RIK,CTSA,0.7953179
877,941,0610031J06RIK,EAR2,0.7953179
877,1063,0610031J06RIK,PRDX6,0.7953179
877,1071,0610031J06RIK,TRAPPC1,0.7953179
877,1158,0610031J06RIK,LYZ1,0.7953179
877,1248,0610031J06RIK,CREG1,0.7950354
877,809,0610031J06RIK,TRP53,0.79099965
877,1247,0610031J06RIK,PEBP1,0.7909472
877,125,0610031J06RIK,GGH,0.7876983
877,223,0610031J06RIK,DENND4A,0.7839525
877,406,0610031J06RIK,YWHAE,0.7796778
877,994,0610031J06RIK,SEPT2,0.7796778
877,1155,0610031J06RIK,GM2A,0.77456546
877,923,0610031J06RIK,RPS16,0.77446896
877,85,0610031J06RIK,RNASET2A,0.77446353
877,209,0610031J06RIK,FTL1,0.77446353
877,367,0610031J06RIK,RPL27,0.77446353
1320,597,1100001G20RIK,HSPA5,0.90648276
1320,801,1100001G20RIK,MAPK1,0.8998358
1320,66,1100001G20RIK,TUBB5,0.8917397
1320,259,1100001G20RIK,GUSB,0.89114773
1320,112,1100001G20RIK,SDCBP,0.8911007
1320,341,1100001G20RIK,FABP5,0.8911007
1320,1047,1100001G20RIK,NPC2,0.8911007
1320,1199,1100001G20RIK,BIN1,0.8797357
1320,109,1100001G20RIK,HMGB2,0.85185724
1320,706,1100001G20RIK,WHSC1L1,0.85165536
1320,1174,1100001G20RIK,ARPC4,0.8500862
1320,1222,1100001G20RIK,AP2M1,0.8500845
1320,1236,1100001G20RIK,HIST1H1C,0.8445805
1320,715,1100001G20RIK,TRF,0.8380985
1320,365,1100001G20RIK,RSU1,0.83283144
1320,487,1100001G20RIK,TMSB4X,0.83283144
1320,104,1100001G20RIK,FXR1,0.8250224
1320,170,1100001G20RIK,PARK7,0.8209014
1320,1276,1100001G20RIK,SOD1,0.8209014
1320,498,1100001G20RIK,RPS6,0.81920224
1320,359,1100001G20RIK,PA2G4,0.81857
1320,792,1100001G20RIK,HSP90AB1,0.8164033
1320,1124,1100001G20RIK,HCLS1,0.81623936
1320,1045,1100001G20RIK,DNAJC19,0.8048963
1320,806,1100001G20RIK,RPL11,0.79838043
1320,447,1100001G20RIK,PARP1,0.7975749
1320,932,1100001G20RIK,IQGAP1,0.79588175
1320,939,1100001G20RIK,CTSA,0.7953179
1320,941,1100001G20RIK,EAR2,0.7953179
1320,1063,1100001G20RIK,PRDX6,0.7953179
1320,1071,1100001G20RIK,TRAPPC1,0.7953179
1320,1158,1100001G20RIK,LYZ1,0.7953179
1320,1248,1100001G20RIK,CREG1,0.7953179
1320,69,1100001G20RIK,ANXA2,0.79491675
1320,386,1100001G20RIK,CCT2,0.7946813
1320,227,1100001G20RIK,H1F0,0.7922671
1320,809,1100001G20RIK,TRP53,0.79099965
1320,125,1100001G20RIK,GGH,0.7876983
1320,561,1100001G20RIK,ACLY,0.7869548
1320,1152,1100001G20RIK,RPL12,0.7869548
1320,223,1100001G20RIK,DENND4A,0.7839525
1320,406,1100001G20RIK,YWHAE,0.7796778
1320,994,1100001G20RIK,SEPT2,0.7796778
1320,684,1100001G20RIK,FTH1,0.7766508
1320,924,1100001G20RIK,RPL35,0.7764408
1320,67,1100001G20RIK,EIF3K,0.77446353
1320,85,1100001G20RIK,RNASET2A,0.77446353
1320,209,1100001G20RIK,FTL1,0.77446353
1320,367,1100001G20RIK,RPL27,0.77446353
1320,467,1100001G20RIK,RPS24,0.77446353
1080,597,1110002B05RIK,HSPA5,0.90648276
1080,801,1110002B05RIK,MAPK1,0.8998358
1080,112,1110002B05RIK,SDCBP,0.8911007
1080,259,1110002B05RIK,GUSB,0.8911007
1080,341,1110002B05RIK,FABP5,0.8911007
1080,1047,1110002B05RIK,NPC2,0.8911007
1080,66,1110002B05RIK,TUBB5,0.8839241
1080,1199,1110002B05RIK,BIN1,0.87977886
1080,109,1110002B05RIK,HMGB2,0.85185724
1080,706,1110002B05RIK,WHSC1L1,0.85165536
1080,1174,1110002B05RIK,ARPC4,0.8500862
1080,1222,1110002B05RIK,AP2M1,0.8500862
1080,715,1110002B05RIK,TRF,0.84992945
1080,365,1110002B05RIK,RSU1,0.83283144
1080,487,1110002B05RIK,TMSB4X,0.83283144
1080,104,1110002B05RIK,FXR1,0.8250224
1080,170,1110002B05RIK,PARK7,0.8209014
1080,1276,1110002B05RIK,SOD1,0.8209014
1080,359,1110002B05RIK,PA2G4,0.8190133
1080,1236,1110002B05RIK,HIST1H1C,0.8174211
1080,792,1110002B05RIK,HSP90AB1,0.8164033
1080,1045,1110002B05RIK,DNAJC19,0.8048963
1080,924,1110002B05RIK,RPL35,0.80288595
1080,806,1110002B05RIK,RPL11,0.8008525
1080,1158,1110002B05RIK,LYZ1,0.79588175
1080,69,1110002B05RIK,ANXA2,0.7953179
1080,932,1110002B05RIK,IQGAP1,0.7953179
1080,941,1110002B05RIK,EAR2,0.7953179
1080,1063,1110002B05RIK,PRDX6,0.7953179
1080,939,1110002B05RIK,CTSA,0.79528075
1080,1071,1110002B05RIK,TRAPPC1,0.7950354
1080,227,1110002B05RIK,H1F0,0.7926761
1080,386,1110002B05RIK,CCT2,0.79164875
1080,809,1110002B05RIK,TRP53,0.79099965
1080,125,1110002B05RIK,GGH,0.7876983
1080,223,1110002B05RIK,DENND4A,0.78326905
1080,406,1110002B05RIK,YWHAE,0.7796778
1080,994,1110002B05RIK,SEPT2,0.7796778
1080,340,1110002B05RIK,CD44,0.77784956
1080,684,1110002B05RIK,FTH1,0.7766508
1080,1197,1110002B05RIK,RPL21,0.7755277
1080,67,1110002B05RIK,EIF3K,0.77446353
1080,85,1110002B05RIK,RNASET2A,0.77446353
1080,209,1110002B05RIK,FTL1,0.77446353
1080,367,1110002B05RIK,RPL27,0.77446353
1080,467,1110002B05RIK,RPS24,0.77446353
1080,501,1110002B05RIK,RPL9,0.77446353
1080,552,1110002B05RIK,RPL10,0.77446353
1080,561,1110002B05RIK,ACLY,0.77446353
1080,923,1110002B05RIK,RPS16,0.77446353
742,597,1110004F10RIK,HSPA5,0.90648276
742,801,1110004F10RIK,MAPK1,0.8998358
742,112,1110004F10RIK,SDCBP,0.8911007
742,341,1110004F10RIK,FABP5,0.8911007
742,1047,1110004F10RIK,NPC2,0.8911007
742,66,1110004F10RIK,TUBB5,0.89056903
742,259,1110004F10RIK,GUSB,0.8905208
742,1199,1110004F10RIK,BIN1,0.87977886
742,109,1110004F10RIK,HMGB2,0.85185724
742,706,1110004F10RIK,WHSC1L1,0.8516538
742,715,1110004F10RIK,TRF,0.8500862
742,1174,1110004F10RIK,ARPC4,0.8500862
742,1222,1110004F10RIK,AP2M1,0.8500862
742,552,1110004F10RIK,RPL10,0.84276634
742,1124,1110004F10RIK,HCLS1,0.840133
742,487,1110004F10RIK,TMSB4X,0.83283144
742,365,1110004F10RIK,RSU1,0.8328041
742,67,1110004F10RIK,EIF3K,0.83203304
742,561,1110004F10RIK,ACLY,0.83203304
742,574,1110004F10RIK,ILK,0.83049595
742,104,1110004F10RIK,FXR1,0.8250224
742,170,1110004F10RIK,PARK7,0.8209014
742,1276,1110004F10RIK,SOD1,0.8209014
742,359,1110004F10RIK,PA2G4,0.81857
742,1236,1110004F10RIK,HIST1H1C,0.8174211
742,792,1110004F10RIK,HSP90AB1,0.8164033
742,498,1110004F10RIK,RPS6,0.815348
742,578,1110004F10RIK,RPS27A,0.8089969
742,1045,1110004F10RIK,DNAJC19,0.8048963
742,806,1110004F10RIK,RPL11,0.8008525
742,447,1110004F10RIK,PARP1,0.7975749
742,69,1110004F10RIK,ANXA2,0.7953179
742,932,1110004F10RIK,IQGAP1,0.7953179
742,939,1110004F10RIK,CTSA,0.7953179
742,941,1110004F10RIK,EAR2,0.7953179
742,1063,1110004F10RIK,PRDX6,0.7953179
742,1071,1110004F10RIK,TRAPPC1,0.7953179
742,1158,1110004F10RIK,LYZ1,0.7953179
742,1248,1110004F10RIK,CREG1,0.7953179
742,216,1110004F10RIK,NR3C1,0.79311615
742,227,1110004F10RIK,H1F0,0.7922671
742,332,1110004F10RIK,LYZ2,0.7918362
742,386,1110004F10RIK,CCT2,0.79164875
742,809,1110004F10RIK,TRP53,0.79099965
742,125,1110004F10RIK,GGH,0.7876983
742,223,1110004F10RIK,DENND4A,0.7839525
742,994,1110004F10RIK,SEPT2,0.7796778
742,684,1110004F10RIK,FTH1,0.7766508
742,924,1110004F10RIK,RPL35,0.77446896
742,85,1110004F10RIK,RNASET2A,0.77446353
594,597,1110007C09RIK,HSPA5,0.90648276
594,801,1110007C09RIK,MAPK1,0.8998358
594,112,1110007C09RIK,SDCBP,0.8911128
594,259,1110007C09RIK,GUSB,0.8911007
594,341,1110007C09RIK,FABP5,0.8911007
594,1047,1110007C09RIK,NPC2,0.8911007
594,66,1110007C09RIK,TUBB5,0.8839241
594,1199,1110007C09RIK,BIN1,0.87977886
594,170,1110007C09RIK,PARK7,0.86669505
594,1222,1110007C09RIK,AP2M1,0.86134034
594,109,1110007C09RIK,HMGB2,0.85185724
594,706,1110007C09RIK,WHSC1L1,0.85165536
594,715,1110007C09RIK,TRF,0.8500862
594,365,1110007C09RIK,RSU1,0.83283144
594,487,1110007C09RIK,TMSB4X,0.83283144
594,1152,1110007C09RIK,RPL12,0.83203304
594,104,1110007C09RIK,FXR1,0.8250224
594,1276,1110007C09RIK,SOD1,0.8214391
594,1283,1110007C09RIK,UBC,0.82000566
594,498,1110007C09RIK,RPS6,0.81920224
594,359,1110007C09RIK,PA2G4,0.81857
594,1236,1110007C09RIK,HIST1H1C,0.8174211
594,1124,1110007C09RIK,HCLS1,0.81671065
594,1174,1110007C09RIK,ARPC4,0.8155729
594,792,1110007C09RIK,HSP90AB1,0.8150686
594,1045,1110007C09RIK,DNAJC19,0.8048963
594,85,1110007C09RIK,RNASET2A,0.80288595
594,923,1110007C09RIK,RPS16,0.80141675
594,806,1110007C09RIK,RPL11,0.8008525
594,447,1110007C09RIK,PARP1,0.7975749
594,69,1110007C09RIK,ANXA2,0.7953179
594,932,1110007C09RIK,IQGAP1,0.7953179
594,939,1110007C09RIK,CTSA,0.7953179
594,941,1110007C09RIK,EAR2,0.7953179
594,1063,1110007C09RIK,PRDX6,0.7953179
594,1071,1110007C09RIK,TRAPPC1,0.7953179
594,1248,1110007C09RIK,CREG1,0.7953179
594,227,1110007C09RIK,H1F0,0.7922671
594,386,1110007C09RIK,CCT2,0.79164875
594,809,1110007C09RIK,TRP53,0.79099965
594,125,1110007C09RIK,GGH,0.7876983
594,223,1110007C09RIK,DENND4A,0.7839525
594,406,1110007C09RIK,YWHAE,0.7796778
594,994,1110007C09RIK,SEPT2,0.7796778
594,737,1110007C09RIK,RPL7,0.7774677
594,684,1110007C09RIK,FTH1,0.7766508
594,501,1110007C09RIK,RPL9,0.77662116
594,467,1110007C09RIK,RPS24,0.7755277
594,67,1110007C09RIK,EIF3K,0.77446353
594,209,1110007C09RIK,FTL1,0.77446353
637,597,1500003O03RIK,HSPA5,0.90648276
637,801,1500003O03RIK,MAPK1,0.8974686
637,341,1500003O03RIK,FABP5,0.8911007
637,1047,1500003O03RIK,NPC2,0.8911007
637,112,1500003O03RIK,SDCBP,0.89046097
637,259,1500003O03RIK,GUSB,0.88634944
637,66,1500003O03RIK,TUBB5,0.8839241
637,1199,1500003O03RIK,BIN1,0.87977886
637,109,1500003O03RIK,HMGB2,0.85185724
637,706,1500003O03RIK,WHSC1L1,0.85165536
637,715,1500003O03RIK,TRF,0.8500862
637,1174,1500003O03RIK,ARPC4,0.8500862
