src_idx,dst_idx,src_gene,dst_gene,score
645,0,SNRPD1,SRSF1,0.99901557
567,652,POLR2I,POLR2E,0.9989581
134,191,SUPT5H,TAF9,0.9989561
645,716,SNRPD1,GTF2B,0.9989503
816,586,POLR2D,POLR2G,0.9989273
782,667,POLR2B,SNRPG,0.99891806
667,200,SNRPG,PCBP2,0.9988746
308,134,ELL2,SUPT5H,0.99885845
179,720,RDBP,UQCR11,0.99878865
672,713,TAF6,TCEB3,0.99869746
567,713,POLR2I,TCEB3,0.9986827
672,0,TAF6,SRSF1,0.99867225
174,713,GTF2F1,TCEB3,0.9986694
567,446,POLR2I,NME2,0.99866927
782,713,POLR2B,TCEB3,0.9986652
567,0,POLR2I,SRSF1,0.9986645
716,713,GTF2B,TCEB3,0.99866414
228,713,POLR2K,TCEB3,0.998662
652,713,POLR2E,TCEB3,0.99866104
672,68,TAF6,ZNRD1,0.9986546
146,713,SRSF9,TCEB3,0.9986534
151,713,POLR2J,TCEB3,0.9986528
816,713,POLR2D,TCEB3,0.99864906
652,0,POLR2E,SRSF1,0.9986468
228,0,POLR2K,SRSF1,0.99864525
208,713,SRSF3,TCEB3,0.9986399
667,713,SNRPG,TCEB3,0.9986393
125,713,TARBP2,TCEB3,0.9986381
191,0,TAF9,SRSF1,0.9986374
782,0,POLR2B,SRSF1,0.9986363
146,0,SRSF9,SRSF1,0.9986357
645,713,SNRPD1,TCEB3,0.998635
184,0,SRSF6,SRSF1,0.99863416
816,0,POLR2D,SRSF1,0.9986324
517,0,POLR3K,SRSF1,0.99863213
667,0,SNRPG,SRSF1,0.99863106
125,0,TARBP2,SRSF1,0.99862635
329,713,GTF2A1,TCEB3,0.9986224
716,0,GTF2B,SRSF1,0.9986204
586,0,POLR2G,SRSF1,0.9986193
184,713,SRSF6,TCEB3,0.9986161
200,816,PCBP2,POLR2D,0.9986155
174,0,GTF2F1,SRSF1,0.9986098
587,0,TCEB1,SRSF1,0.9986093
247,713,TCEA1,TCEB3,0.9986093
179,713,RDBP,TCEB3,0.99860483
191,713,TAF9,TCEB3,0.9986029
716,329,GTF2B,GTF2A1,0.998601
0,713,SRSF1,TCEB3,0.9986009
813,713,TAF7,TCEB3,0.9986002
