src_idx,dst_idx,src_gene,dst_gene,score
506,357,PRIM1,SYK,0.9683926
145,530,HMGB2,IKZF1,0.96697223
506,530,PRIM1,IKZF1,0.96526295
96,530,SLBP,IKZF1,0.965131
257,145,UHRF1,HMGB2,0.9646063
506,213,PRIM1,MCM4,0.9645159
96,213,SLBP,MCM4,0.96451426
257,213,UHRF1,MCM4,0.964278
257,506,UHRF1,PRIM1,0.9642517
131,257,CKS1B,UHRF1,0.96423477
145,320,HMGB2,MYC,0.9641827
131,96,CKS1B,SLBP,0.9641422
131,506,CKS1B,PRIM1,0.9641422
131,320,CKS1B,MYC,0.96372885
257,320,UHRF1,MYC,0.9635238
257,324,UHRF1,REL,0.9634738
131,145,CKS1B,HMGB2,0.9634635
145,506,HMGB2,PRIM1,0.96345645
145,96,HMGB2,SLBP,0.96344846
506,145,PRIM1,HMGB2,0.963381
96,145,SLBP,HMGB2,0.963381
145,257,HMGB2,UHRF1,0.96338
506,416,PRIM1,GATA2,0.9632222
257,416,UHRF1,GATA2,0.96317023
506,459,PRIM1,IRF8,0.96313506
96,459,SLBP,IRF8,0.96313506
145,213,HMGB2,MCM4,0.9630996
145,324,HMGB2,REL,0.9630158
131,213,CKS1B,MCM4,0.9629973
506,257,PRIM1,UHRF1,0.9629826
96,257,SLBP,UHRF1,0.96291167
506,68,PRIM1,MKI67,0.96290195
131,426,CKS1B,NDN,0.9628888
96,68,SLBP,MKI67,0.96287626
257,459,UHRF1,IRF8,0.96273804
257,131,UHRF1,CKS1B,0.96266645
96,131,SLBP,CKS1B,0.96264136
506,131,PRIM1,CKS1B,0.96264136
131,530,CKS1B,IKZF1,0.96261406
213,357,MCM4,SYK,0.96250683
251,131,NR3C2,CKS1B,0.96248925
257,68,UHRF1,MKI67,0.96241164
131,324,CKS1B,REL,0.96235293
216,357,MCM7,SYK,0.96220684
145,416,HMGB2,GATA2,0.96215403
213,530,MCM4,IKZF1,0.9620129
233,530,NOTCH1,IKZF1,0.96193993
145,459,HMGB2,IRF8,0.96193135
506,96,PRIM1,SLBP,0.96183056
96,506,SLBP,PRIM1,0.96183056
