src_idx,dst_idx,src_gene,dst_gene,score
1100,740,SNORA68,NR2F6,0.9641112
48,568,GM44429,BRWD1,0.9632524
422,765,GM24494,RBFOX2,0.9617473
1100,238,SNORA68,CTNNB1,0.9615029
1100,121,SNORA68,NCOA3,0.9610908
7,262,GM13597,FXR1,0.96079963
39,487,GM8355,MPHOSPH8,0.9605524
401,487,MIR7063,MPHOSPH8,0.9605235
1095,487,GM10184,MPHOSPH8,0.9605235
1103,487,MT-TF,MPHOSPH8,0.9604554
555,487,SNORD70,MPHOSPH8,0.96017224
1006,1005,GM37746,SMARCAD1,0.95976585
1009,1005,RHOX5,SMARCAD1,0.95976585
407,621,MIR1949,ILK,0.9596059
830,487,GM25057,MPHOSPH8,0.95934755
710,487,TDGF1-PS1,MPHOSPH8,0.95934755
1100,487,SNORA68,MPHOSPH8,0.95934755
632,487,MIR669J,MPHOSPH8,0.95927525
1006,473,GM37746,LAMC1,0.9590911
683,668,MIR7005,VSIR,0.9586269
108,253,GM26092,HNRNPAB,0.958507
107,253,GM15181,HNRNPAB,0.9584874
1098,740,GM44330,NR2F6,0.95841384
455,83,GM26431,POLR3B,0.9579681
710,562,TDGF1-PS1,PDK1,0.95779556
455,726,GM26431,SMARCA5,0.9577944
229,399,GM42429,MAN1A2,0.9576524
227,399,MIR669A-1,MAN1A2,0.9576524
710,438,TDGF1-PS1,TEAD1,0.9573184
830,438,GM25057,TEAD1,0.95730686
898,75,MIR466B-6,KAT2B,0.9572776
1049,75,GM44335,KAT2B,0.957277
184,487,GM25787,MPHOSPH8,0.95721936
830,508,GM25057,PLAGL2,0.9571336
455,487,GM26431,MPHOSPH8,0.9569187
830,75,GM25057,KAT2B,0.95690674
1100,521,SNORA68,MAML1,0.9568955
830,668,GM25057,VSIR,0.95683
907,480,GM24564,CNOT7,0.95677966
904,480,MIR466B-4,CNOT7,0.95677966
710,1014,TDGF1-PS1,ETV6,0.95657873
830,459,GM25057,NCOR1,0.9565572
830,1005,GM25057,SMARCAD1,0.95647836
710,1005,TDGF1-PS1,SMARCAD1,0.95647836
1100,1005,SNORA68,SMARCAD1,0.95647836
632,1005,MIR669J,SMARCAD1,0.9563943
376,42,GM4202,FOXJ3,0.9563837
632,796,MIR669J,SNAPC3,0.95632136
396,75,SNORA73A,KAT2B,0.95626956
422,199,GM24494,MBD2,0.9562204
