src_idx,dst_idx,src_gene,dst_gene,score
43,320,TFAP2A,DNAJC2,0.9597641
43,736,TFAP2A,BRWD1,0.95950633
43,302,TFAP2A,CCPG1,0.95929027
43,426,TFAP2A,ARL4A,0.95907116
43,672,TFAP2A,PPM1H,0.95868415
43,637,TFAP2A,HLA-DRB1,0.9586011
43,674,TFAP2A,DYNC2LI1,0.9586011
43,127,TFAP2A,TFB2M,0.9584069
43,163,TFAP2A,SIRT1,0.95822346
43,204,TFAP2A,CREB3L2,0.9580374
43,8,TFAP2A,SMARCD1,0.9580118
43,413,TFAP2A,TEX10,0.9580118
43,819,TFAP2A,POLR2F,0.95794636
43,697,TFAP2A,SMG6,0.957919
43,415,TFAP2A,ZIC2,0.95785975
43,78,TFAP2A,NRP2,0.9578522
43,0,TFAP2A,KIF21A,0.9574999
43,494,TFAP2A,RNF19A,0.95736325
43,30,TFAP2A,TMEM64,0.95719206
43,718,TFAP2A,ECI2,0.9571121
43,813,TFAP2A,CREB3L4,0.9570888
43,563,TFAP2A,NFKBIA,0.95700413
43,896,TFAP2A,POLR2H,0.9568848
43,605,TFAP2A,CAMK2D,0.9567488
43,565,TFAP2A,GABRB3,0.95664364
43,840,TFAP2A,TRAF6,0.956623
43,485,TFAP2A,REL,0.95661604
43,869,TFAP2A,HMGN2,0.95653015
43,61,TFAP2A,MRPL1,0.95641065
43,91,TFAP2A,POLR2A,0.9562481
43,336,TFAP2A,PAWR,0.956228
43,1,TFAP2A,DPH2,0.9562033
43,293,TFAP2A,DNA2,0.9562033
43,648,TFAP2A,PDE3B,0.9558664
43,145,TFAP2A,SORL1,0.9558653
43,514,TFAP2A,UTP18,0.9558136
43,131,TFAP2A,TTC27,0.95575345
43,621,TFAP2A,ZNF146,0.95571315
43,95,TFAP2A,ESRP1,0.95569825
43,68,TFAP2A,HNRNPD,0.9556716
43,665,TFAP2A,DNMT1,0.95555955
43,384,TFAP2A,CCNE2,0.95554686
43,823,TFAP2A,NR2C1,0.95552105
43,885,TFAP2A,GDAP1,0.95547783
43,49,TFAP2A,TP53,0.955374
43,641,TFAP2A,CDC7,0.95536184
43,146,TFAP2A,CNKSR3,0.9553404
43,87,TFAP2A,CHAF1A,0.95533395
43,77,TFAP2A,SH3BGRL,0.9552875
43,488,TFAP2A,STIM2,0.95524335
