src_idx,dst_idx,src_gene,dst_gene,score
498,258,GTF2F2,EFTUD2,0.99887604
200,682,DDX54,NVL,0.9987122
579,493,WBP11,HNRNPR,0.9986754
579,1255,WBP11,SRSF2,0.9986739
579,404,WBP11,BCAS2,0.9986721
579,1326,WBP11,HNRNPUL1,0.9986634
579,435,WBP11,PPIL1,0.99865204
498,224,GTF2F2,SRSF10,0.9986505
579,458,WBP11,HNRNPK,0.99862874
1121,435,SF3B3,PPIL1,0.9986167
404,493,BCAS2,HNRNPR,0.9986143
1121,224,SF3B3,SRSF10,0.9986131
945,682,CEBPZ,NVL,0.9985935
1294,1355,POLR1B,WDR3,0.9985891
579,817,WBP11,HNRNPH2,0.99858177
1121,1255,SF3B3,SRSF2,0.99857664
579,224,WBP11,SRSF10,0.99857605
224,458,SRSF10,HNRNPK,0.99856526
404,1326,BCAS2,HNRNPUL1,0.9985642
200,248,DDX54,UTP18,0.9985592
579,918,WBP11,RBMX,0.9985569
579,357,WBP11,SRSF6,0.9985476
1121,404,SF3B3,BCAS2,0.99854726
579,883,WBP11,RNPS1,0.99854577
498,798,GTF2F2,SNRNP25,0.99854386
1121,817,SF3B3,HNRNPH2,0.998543
945,866,CEBPZ,GMPS,0.9985397
1050,211,PHGDH,PAPOLA,0.9985353
1121,1326,SF3B3,HNRNPUL1,0.9985268
404,274,BCAS2,CPSF3,0.99852556
1121,458,SF3B3,HNRNPK,0.9985216
1121,579,SF3B3,WBP11,0.99852127
420,1068,WDR75,SDAD1,0.99851817
1121,947,SF3B3,USP39,0.99851114
200,1353,DDX54,BRIX1,0.99851066
381,627,POLR2B,POLR2I,0.9984994
579,1121,WBP11,SF3B3,0.9984981
200,377,DDX54,NIP7,0.9984925
258,947,EFTUD2,USP39,0.9984908
579,947,WBP11,USP39,0.9984775
404,918,BCAS2,RBMX,0.9984756
1053,682,WDR43,NVL,0.9984742
404,1255,BCAS2,SRSF2,0.99847406
224,1326,SRSF10,HNRNPUL1,0.99847394
579,1206,WBP11,SNRPB,0.998473
224,435,SRSF10,PPIL1,0.99846774
258,1121,EFTUD2,SF3B3,0.9984676
1326,493,HNRNPUL1,HNRNPR,0.99845994
404,883,BCAS2,RNPS1,0.9984597
816,381,POLR2G,POLR2B,0.99845743
