src_idx,dst_idx,src_gene,dst_gene,score
2,147,SMAD2,TUBE1,0.45793998
2,853,SMAD2,PAM,0.440014
2,452,SMAD2,KAT6A,0.43662423
2,912,SMAD2,TYRO3,0.43598533
2,1408,SMAD2,USP44,0.43205965
2,471,SMAD2,NEDD9,0.43125015
2,1056,SMAD2,CDK6,0.4303246
2,1345,SMAD2,ETV4,0.4297073
2,833,SMAD2,RPA2,0.42718804
2,209,SMAD2,BCAS2,0.4250452
2,42,SMAD2,NIN,0.42377785
2,23,SMAD2,ARHGAP28,0.42236912
2,698,SMAD2,SUPT7L,0.42130852
2,1298,SMAD2,EARS2,0.42045867
2,121,SMAD2,MAPRE2,0.41864178
2,1211,SMAD2,POLR1B,0.41734168
2,531,SMAD2,KLF6,0.41587037
2,849,SMAD2,NXF1,0.41497123
2,1082,SMAD2,PAIP2B,0.41494605
2,122,SMAD2,E2F7,0.41387087
2,793,SMAD2,UBL7,0.41172144
2,1229,SMAD2,MIA3,0.41078237
2,554,SMAD2,CER1,0.40995735
2,1353,SMAD2,HEATR1,0.40511173
2,318,SMAD2,CDCA7,0.405013
2,1322,SMAD2,DKK1,0.404837
2,386,SMAD2,XPO5,0.40411097
2,844,SMAD2,HIST1H1B,0.40283486
2,403,SMAD2,PLAGL1,0.40236223
2,128,SMAD2,FAM126B,0.40096825
2,1320,SMAD2,LRIG3,0.39992455
2,68,SMAD2,RAI14,0.39843377
2,393,SMAD2,LAP3,0.39754906
2,570,SMAD2,TMEM237,0.39702094
2,1197,SMAD2,TMF1,0.3964073
2,897,SMAD2,SRSF1,0.39467815
2,1049,SMAD2,DEPDC1B,0.39417875
2,458,SMAD2,ETV3,0.39416447
2,357,SMAD2,ILF3,0.3927327
2,1285,SMAD2,THAP9,0.3915327
2,493,SMAD2,AFF1,0.39001325
2,410,SMAD2,TRAF6,0.38964975
2,1173,SMAD2,KLHL12,0.3896293
2,373,SMAD2,TMEM39A,0.3889667
2,273,SMAD2,VPS13C,0.38888243
2,1266,SMAD2,TRIAP1,0.3877836
2,230,SMAD2,TNC,0.38655782
2,228,SMAD2,SLA2,0.38651493
2,1393,SMAD2,SFRP2,0.38562775
2,105,SMAD2,SYT1,0.38255188
2,90,SMAD2,PCNA,0.382009
2,574,SMAD2,MORC4,0.38007933
2,391,SMAD2,WDHD1,0.37656936
2,93,SMAD2,HESX1,0.37550297
2,1121,SMAD2,DUSP4,0.37535265
2,528,SMAD2,NOC3L,0.37520948
2,551,SMAD2,ANXA3,0.37339625
2,1385,SMAD2,POLB,0.3732158
2,598,SMAD2,PDE4D,0.3717286
2,1294,SMAD2,RABGAP1L,0.37151426
2,1335,SMAD2,RBM14,0.3714303
2,1149,SMAD2,SNAPC3,0.3705389
2,257,SMAD2,TCF7L1,0.36982307
2,543,SMAD2,TMEM131,0.36861026
2,1301,SMAD2,PRICKLE1,0.36851075
2,989,SMAD2,MXI1,0.3682586
2,24,SMAD2,TJP2,0.36783093
2,1007,SMAD2,REV3L,0.36702135
