src_idx,dst_idx,src_gene,dst_gene,score
481,97,2610307P16RIK,MYC,0.71429557
481,246,2610307P16RIK,KLF6,0.7129645
481,497,2610307P16RIK,ATP8B4,0.7050335
481,135,2610307P16RIK,SLBP,0.7024939
481,400,2610307P16RIK,ANKRD44,0.6989498
481,174,2610307P16RIK,PPCDC,0.6968352
481,182,2610307P16RIK,STK17B,0.6968352
481,79,2610307P16RIK,MGAT1,0.6968269
481,219,2610307P16RIK,STARD4,0.6968269
481,327,2610307P16RIK,PRIM1,0.69620126
481,262,2610307P16RIK,SSH2,0.6954627
481,123,2610307P16RIK,PAFAH2,0.69452506
481,119,2610307P16RIK,PAG1,0.69140035
481,556,2610307P16RIK,ITGB7,0.69134706
481,405,2610307P16RIK,GIMAP8,0.6907008
481,169,2610307P16RIK,MCM4,0.68909115
481,354,2610307P16RIK,PPP1R15A,0.68898845
481,47,2610307P16RIK,LONP2,0.6889375
481,102,2610307P16RIK,FUT8,0.68876463
481,24,2610307P16RIK,DYNLL1,0.68683684
481,339,2610307P16RIK,KCTD12,0.68360114
481,525,2610307P16RIK,TXNIP,0.68265104
481,284,2610307P16RIK,ANXA5,0.68166316
481,198,2610307P16RIK,CMAH,0.68025756
481,287,2610307P16RIK,CSF3R,0.6799753
481,217,2610307P16RIK,MYCT1,0.6777093
481,260,2610307P16RIK,RHOF,0.67638147
481,197,2610307P16RIK,POLA2,0.67586786
481,147,2610307P16RIK,ERP29,0.67325574
481,293,2610307P16RIK,MAML3,0.6691954
481,224,2610307P16RIK,PLSCR4,0.66735506
481,214,2610307P16RIK,FCHO2,0.6656084
481,145,2610307P16RIK,SPI1,0.652831
481,115,2610307P16RIK,LTB,0.6508146
481,376,2610307P16RIK,SLC39A13,0.64911985
481,323,2610307P16RIK,SELPLG,0.6477805
481,180,2610307P16RIK,RGS2,0.6451739
481,455,2610307P16RIK,SNAP23,0.64132816
481,441,2610307P16RIK,MCM7,0.63946605
481,404,2610307P16RIK,NHP2,0.6386761
481,283,2610307P16RIK,SAT1,0.63860404
