src_idx,dst_idx,src_gene,dst_gene,score
389,821,ABCA1,GPR83,0.0007395169
188,17,ABLIM1,SERPINE2,0.0008702434
843,475,ACOX3,POU3F1,0.0008511162
662,284,ACTC1,LMO2,0.0035370104
841,166,ADAMTS3,DLC1,0.0007023862
712,166,AEBP1,DLC1,0.00080803555
479,17,AES,SERPINE2,0.0013259212
585,821,AFF1,GPR83,0.0011307278
462,166,AFF4,DLC1,0.00077023305
453,166,AGL,DLC1,0.0009125111
544,470,AGPAT5,ST3GAL6,0.012857737
759,166,AIP,DLC1,0.0011526116
314,219,AIRE,HMGA1,0.08650799
481,17,AK4,SERPINE2,0.001639219
727,17,AKAP2,SERPINE2,0.0005545756
432,470,ALCAM,ST3GAL6,0.0044297823
559,166,ALG6,DLC1,0.0009624069
645,432,ALPK2,ALCAM,0.007879319
704,138,ALS2CR8,HESX1,0.08192035
844,166,ALYREF,DLC1,0.0010739394
100,138,AMIGO2,HESX1,0.08182498
636,166,AMN1,DLC1,0.0006719006
601,470,ANGPT2,ST3GAL6,0.0025320407
244,166,ANKMY2,DLC1,0.00072802714
901,470,ANKRD1,ST3GAL6,0.0062113507
577,166,ANKRD13C,DLC1,0.00095313624
752,432,ANKRD26,ALCAM,0.030130109
55,166,ANKRD28,DLC1,0.0021477062
46,166,ANKRD50,DLC1,0.00074845296
178,166,ANKRD6,DLC1,0.00078400935
634,166,ANKZF1,DLC1,0.0007272173
770,166,ANXA3,DLC1,0.0012293134
690,166,APBB1,DLC1,0.001064633
102,166,APBB2,DLC1,0.0006758644
252,670,APC,TGFB1,0.0011647058
888,166,APEX1,DLC1,0.0026766467
181,387,APLNR,CEP85L,0.08249985
425,166,APOBEC3C,DLC1,0.0010739394
112,601,APOBEC3G,ANGPT2,0.09081272
361,17,AR,SERPINE2,0.001113619
229,17,ARFGAP3,SERPINE2,0.0009106337
671,470,ARHGAP28,ST3GAL6,0.0021955026
292,470,ARHGAP29,ST3GAL6,0.0025679132
210,166,ARHGAP42,DLC1,0.0019607327
889,166,ARID3A,DLC1,0.00071409234
395,17,ARID3B,SERPINE2,0.0010677284
92,166,ARID4B,DLC1,0.00079294026
743,670,ARID5B,TGFB1,0.0009840385
426,166,ARL4A,DLC1,0.0013504243
282,3,ARL4D,NKX3-1,0.00075055857
291,166,ARNT2,DLC1,0.0008263875
66,138,ASB4,HESX1,0.08182498
776,166,ASB9,DLC1,0.0010739394
529,166,ASH2L,DLC1,0.0010963498
248,166,ASNS,DLC1,0.0008368842
683,166,ASS1,DLC1,0.0010739394
312,470,ASXL1,ST3GAL6,0.0034173373
879,166,ATF6,DLC1,0.0007752403
800,166,ATG4C,DLC1,0.0009078701
881,470,ATP11B,ST3GAL6,0.0046542883
411,166,ATP2B4,DLC1,0.000821326
283,3,ATRX,NKX3-1,0.0011892148
321,470,B3GNT5,ST3GAL6,0.0010847006
857,166,B4GALT4,DLC1,0.0006989227
825,166,BAG3,DLC1,0.0010739394
450,166,BAMBI,DLC1,0.0007556825
714,166,BARX2,DLC1,0.00078897795
741,17,BCAR3,SERPINE2,0.0008341033
297,645,BCL11A,ALPK2,0.14801751
782,166,BCL11B,DLC1,0.0008156368
117,166,BCLAF1,DLC1,0.0008683156
27,470,BHLHE40,ST3GAL6,0.006321142
226,17,BLM,SERPINE2,0.00066195446
107,470,BMP2,ST3GAL6,0.0063303257
50,470,BMP4,ST3GAL6,0.0015221889
833,470,BMPER,ST3GAL6,0.006336637
635,166,BMPR1A,DLC1,0.0006342261
250,166,BNIP3,DLC1,0.00078897795
736,166,BRWD1,DLC1,0.0007219862
97,470,BTBD10,ST3GAL6,0.0029594093
98,17,BTF3,SERPINE2,0.0011543806
32,166,BTG2,DLC1,0.0010402392
602,166,BUB1B,DLC1,0.00087581103
118,138,C11orf46,HESX1,0.08182498
783,138,C11orf82,HESX1,0.08182498
745,138,C12orf23,HESX1,0.08182498
202,166,C3orf14,DLC1,0.00060506194
65,470,C4orf46,ST3GAL6,0.0013914243
604,166,CA14,DLC1,0.00080101314
721,166,CA2,DLC1,0.0007420689
440,470,CALB1,ST3GAL6,0.0015259869
156,166,CALCOCO1,DLC1,0.0008741286
605,166,CAMK2D,DLC1,0.00074576103
693,166,CAP2,DLC1,0.0006291593
706,166,CASD1,DLC1,0.0008422225
658,470,CBFA2T2,ST3GAL6,0.001315788
491,166,CBR1,DLC1,0.00060431735
694,166,CBX3,DLC1,0.0010899066
276,166,CCDC138,DLC1,0.0007223502
903,166,CCDC141,DLC1,0.0007395486
709,166,CCDC80,DLC1,0.00091934827
257,138,CCDC81,HESX1,0.08182498
527,166,CCDC82,DLC1,0.00075688894
309,17,CCKBR,SERPINE2,0.00062182505
668,166,CCNA2,DLC1,0.0009838752
281,3,CCNB2,NKX3-1,0.0008927601
719,378,CCND1,FLRT2,0.0005797695
384,166,CCNE2,DLC1,0.0010252247
302,166,CCPG1,DLC1,0.0009141301
238,138,CD200,HESX1,0.04906466
14,138,CD48,HESX1,0.08182498
679,166,CD9,DLC1,0.0007819731
31,166,CDC20,DLC1,0.0014423996
641,166,CDC7,DLC1,0.0016873732
18,470,CDCA2,ST3GAL6,0.0040118764
667,166,CDCA7L,DLC1,0.0006966664
786,17,CDCA8,SERPINE2,0.0010912052
213,470,CDH11,ST3GAL6,0.0035970395
160,166,CDK6,DLC1,0.001155374
435,166,CEBPZ,DLC1,0.0010946201
272,470,CENPK,ST3GAL6,0.0071215904
838,166,CEP290,DLC1,0.0007956534
737,166,CEP55,DLC1,0.0008037711
387,470,CEP85L,ST3GAL6,0.008425816
433,166,CER1,DLC1,0.0010097817
87,166,CHAF1A,DLC1,0.0011240226
9,166,CHEK2,DLC1,0.0009961891
15,470,CHL1,ST3GAL6,0.0064236973
832,138,CIITA,HESX1,0.08182498
772,166,CITED2,DLC1,0.0010517471
591,166,CLDN10,DLC1,0.0008158001
572,470,CLDN11,ST3GAL6,0.0045300224
390,166,CLGN,DLC1,0.0014267286
41,17,CNBP,SERPINE2,0.0007360507
146,166,CNKSR3,DLC1,0.0009445448
414,166,CNTRL,DLC1,0.0015067138
849,166,COBLL1,DLC1,0.0005945618
438,166,COL1A2,DLC1,0.0008229794
135,166,COL4A1,DLC1,0.0013000353
391,166,COL4A6,DLC1,0.0010781058
828,166,COL5A1,DLC1,0.00078897795
506,166,COL5A2,DLC1,0.0007880042
383,630,COLEC12,DMBX1,0.011748298
169,166,COMMD10,DLC1,0.0010739394
540,166,CPE,DLC1,0.001291152
867,470,CPVL,ST3GAL6,0.0016088539
221,166,CRABP2,DLC1,0.00081807154
204,166,CREB3L2,DLC1,0.0006984706
813,166,CREB3L4,DLC1,0.001056931
39,383,CRHBP,COLEC12,0.010994759
318,166,CRX,DLC1,0.00072823773
