src_idx,dst_idx,src_gene,dst_gene,score
342,352,AK3,MYC,0.9952177
343,352,FIGNL1,MYC,0.9951492
221,117,TTF1,BUB3,0.99478465
342,117,AK3,BUB3,0.99478394
198,117,FTSJ3,BUB3,0.9947819
389,117,CDC7,BUB3,0.99460727
343,117,FIGNL1,BUB3,0.99455076
110,117,CCNB2,BUB3,0.9945028
650,117,MCM5,BUB3,0.99444324
389,352,CDC7,MYC,0.9943387
650,352,MCM5,MYC,0.9942497
263,220,PRIM2,TIPIN,0.9942046
110,352,CCNB2,MYC,0.99420327
699,117,AURKA,BUB3,0.99419576
471,117,TPX2,BUB3,0.99418277
471,352,TPX2,MYC,0.9941696
372,117,PRIM1,BUB3,0.99412763
258,117,PBK,BUB3,0.99400395
15,230,MCM6,MCM4,0.9940036
221,352,TTF1,MYC,0.99400085
258,352,PBK,MYC,0.9939819
372,352,PRIM1,MYC,0.9939731
343,566,FIGNL1,ZKSCAN17,0.9939393
198,352,FTSJ3,MYC,0.99393255
699,352,AURKA,MYC,0.9939272
253,352,UHRF1,MYC,0.9938532
347,185,TK1,CCNB1,0.9938467
220,117,TIPIN,BUB3,0.9937909
230,352,MCM4,MYC,0.9937611
253,117,UHRF1,BUB3,0.9937059
620,406,HMGB2,MYCN,0.99370193
548,406,CENPA,MYCN,0.9936702
565,406,ORC5,MYCN,0.9936411
155,117,ORC6,BUB3,0.9935881
675,352,MKI67,MYC,0.9935854
155,352,ORC6,MYC,0.9935622
153,352,CDC20,MYC,0.9935323
512,352,SPC25,MYC,0.9935323
190,687,MIS18BP1,UBE2C,0.99352175
220,352,TIPIN,MYC,0.9934876
675,117,MKI67,BUB3,0.9934454
230,117,MCM4,BUB3,0.9934354
157,352,CDC45,MYC,0.99339736
326,117,TOP2A,BUB3,0.9933763
293,352,MCM2,MYC,0.99337363
221,659,TTF1,BYSL,0.9933462
95,117,BUB1B,BUB3,0.99333847
198,659,FTSJ3,BYSL,0.99333054
342,659,AK3,BYSL,0.99332076
186,687,RRM1,UBE2C,0.99331313
157,117,CDC45,BUB3,0.9933107
512,117,SPC25,BUB3,0.99329007
153,117,CDC20,BUB3,0.99329007
15,650,MCM6,MCM5,0.9932724
213,352,AURKB,MYC,0.993236
490,372,POLD1,PRIM1,0.9931804
524,117,ORC2,BUB3,0.9931767
95,352,BUB1B,MYC,0.9931298
667,406,KIF22,MYCN,0.9931259
185,117,CCNB1,BUB3,0.9930783
667,117,KIF22,BUB3,0.9930682
699,659,AURKA,BYSL,0.9930059
343,659,FIGNL1,BYSL,0.99296886
185,352,CCNB1,MYC,0.9928757
326,352,TOP2A,MYC,0.99285537
220,659,TIPIN,BYSL,0.9928464
213,117,AURKB,BUB3,0.99283385
524,352,ORC2,MYC,0.992766
293,117,MCM2,BUB3,0.9927362
155,659,ORC6,BYSL,0.992722
15,566,MCM6,ZKSCAN17,0.99268746
389,566,CDC7,ZKSCAN17,0.9926764
258,566,PBK,ZKSCAN17,0.99259734
15,110,MCM6,CCNB2,0.99259007
548,117,CENPA,BUB3,0.9925402
372,659,PRIM1,BYSL,0.9925252
347,352,TK1,MYC,0.9925056
157,659,CDC45,BYSL,0.9924696
263,153,PRIM2,CDC20,0.9924452
620,117,HMGB2,BUB3,0.9924271
263,566,PRIM2,ZKSCAN17,0.99240315
326,659,TOP2A,BYSL,0.9923894
253,659,UHRF1,BYSL,0.9923436
185,659,CCNB1,BYSL,0.992328
650,659,MCM5,BYSL,0.99232167
667,352,KIF22,MYC,0.99231064
326,406,TOP2A,MYCN,0.9922988
524,659,ORC2,BYSL,0.9922571
185,406,CCNB1,MYCN,0.99222
95,659,BUB1B,BYSL,0.99221534
524,406,ORC2,MYCN,0.99220264
186,352,RRM1,MYC,0.9921881
490,566,POLD1,ZKSCAN17,0.9921835
190,566,MIS18BP1,ZKSCAN17,0.99214375
483,406,NUP85,MYCN,0.9921101
31,406,CDT1,MYCN,0.9920919
186,566,RRM1,ZKSCAN17,0.99209106
347,117,TK1,BUB3,0.9920626
389,659,CDC7,BYSL,0.99203944
650,566,MCM5,ZKSCAN17,0.9919916
675,566,MKI67,ZKSCAN17,0.99198467
442,566,RRM2,ZKSCAN17,0.99197876
153,566,CDC20,ZKSCAN17,0.9919469
512,566,SPC25,ZKSCAN17,0.9919469
620,352,HMGB2,MYC,0.99191684
341,352,NUP107,MYC,0.9919166
389,274,CDC7,MIS12,0.99191225
442,352,RRM2,MYC,0.991846
471,566,TPX2,ZKSCAN17,0.99183005
620,659,HMGB2,BYSL,0.99180037
221,566,TTF1,ZKSCAN17,0.9917862
565,117,ORC5,BUB3,0.9917497
347,343,TK1,FIGNL1,0.9917372
342,566,AK3,ZKSCAN17,0.9916625
213,566,AURKB,ZKSCAN17,0.99165595
198,566,FTSJ3,ZKSCAN17,0.99165183
110,274,CCNB2,MIS12,0.9916345
230,566,MCM4,ZKSCAN17,0.9916328
471,659,TPX2,BYSL,0.99161375
186,117,RRM1,BUB3,0.99159086
482,352,MCM7,MYC,0.991572
213,675,AURKB,MKI67,0.9914517
548,352,CENPA,MYC,0.9914231
258,274,PBK,MIS12,0.99141085
232,352,LIG1,MYC,0.9913988
372,566,PRIM1,ZKSCAN17,0.9913565
490,352,POLD1,MYC,0.9913447
263,442,PRIM2,RRM2,0.9913263
293,566,MCM2,ZKSCAN17,0.99131864
548,659,CENPA,BYSL,0.99127823
82,687,MCM3,UBE2C,0.9912487
15,687,MCM6,UBE2C,0.9912236
442,117,RRM2,BUB3,0.99114287
