src_idx,dst_idx,src_gene,dst_gene,score
205,497,EZH2,GLIS3,0.9764348
205,364,EZH2,ERBB4,0.9763593
205,778,EZH2,GATA6,0.9763593
205,946,EZH2,CDX2,0.9763593
205,758,EZH2,JAZF1,0.9763593
205,389,EZH2,RARG,0.9749093
205,724,EZH2,BIN1,0.9729235
205,378,EZH2,TRERF1,0.96288204
205,672,EZH2,TCF7L1,0.94866747
205,110,EZH2,BMP2,0.94548666
205,908,EZH2,SOX4,0.9369419
205,922,EZH2,TCF4,0.9314323
205,274,EZH2,TUBB6,0.9294096
205,549,EZH2,SALL2,0.9145809
674,100,NR2F2,RBPJ,0.8938993
674,937,NR2F2,CENPU,0.8913647
205,462,EZH2,SULF2,0.88991797
407,141,STC1,THAP1,0.8844599
410,141,KDELR3,THAP1,0.88445395
668,100,NANOG,RBPJ,0.8800409
39,100,CREB1,RBPJ,0.87902606
27,420,FLRT2,KAT7,0.87899077
674,464,NR2F2,FAM13A,0.87880963
674,875,NR2F2,ASXL1,0.87837154
607,100,JUND,RBPJ,0.8760633
674,877,NR2F2,ANG,0.87440765
674,113,NR2F2,CXXC1,0.87401044
39,141,CREB1,THAP1,0.8732708
607,937,JUND,CENPU,0.87274474
607,141,JUND,THAP1,0.8710603
674,623,NR2F2,RRM1,0.87023497
607,875,JUND,ASXL1,0.870046
181,620,SCGB3A2,ECD,0.8699129
556,875,HSPE1.MOB4,ASXL1,0.86913854
39,875,CREB1,ASXL1,0.86762714
674,620,NR2F2,ECD,0.8671917
172,420,GULP1,KAT7,0.8655363
262,937,ZNF208,CENPU,0.8653395
686,937,SEC14L2,CENPU,0.86214477
674,657,NR2F2,PTMA,0.8603576
39,657,CREB1,PTMA,0.85995305
39,620,CREB1,ECD,0.85927194
39,113,CREB1,CXXC1,0.8584392
321,141,GNRH2,THAP1,0.85788894
751,100,SLC51A,RBPJ,0.8577547
674,257,NR2F2,PHF5A,0.85774475
674,731,NR2F2,MCM4,0.8576761
674,420,NR2F2,KAT7,0.8571386
751,141,SLC51A,THAP1,0.85683024
10,100,SMARCC1,RBPJ,0.8566964
