src_idx,dst_idx,src_gene,dst_gene,score
677,12,1700017B05RIK,MYC,0.0039350037
677,97,1700017B05RIK,STAT3,0.0038101133
677,483,1700017B05RIK,IKZF1,0.00376008
677,274,1700017B05RIK,ESR1,0.0035944001
677,233,1700017B05RIK,HDAC2,0.0035498363
677,178,1700017B05RIK,SPI1,0.003524624
677,612,1700017B05RIK,JUN,0.003403885
677,508,1700017B05RIK,ETS1,0.0033809494
677,104,1700017B05RIK,GFI1,0.0031729075
677,94,1700017B05RIK,CBFB,0.0030408506
677,438,1700017B05RIK,USP10,0.0029672734
677,529,1700017B05RIK,HCFC1,0.0029347606
677,252,1700017B05RIK,SRSF1,0.0029268027
677,218,1700017B05RIK,JARID2,0.0029019765
677,185,1700017B05RIK,BATF2,0.00290127
677,674,1700017B05RIK,RAD51,0.0028966444
677,307,1700017B05RIK,TMX3,0.0028955704
677,56,1700017B05RIK,HAUS2,0.0028931731
677,313,1700017B05RIK,CUL4A,0.0028892306
677,288,1700017B05RIK,PLAG1,0.002871456
677,389,1700017B05RIK,FZR1,0.0028645925
677,511,1700017B05RIK,RAD51AP1,0.0028545598
677,154,1700017B05RIK,SERPINB9,0.0028500885
677,530,1700017B05RIK,ZFP397,0.0028481104
677,403,1700017B05RIK,CLCN4,0.0028374188
677,345,1700017B05RIK,PJA2,0.0028356963
677,348,1700017B05RIK,DNAJC11,0.0028351638
677,32,1700017B05RIK,TCP11L2,0.0028351408
677,98,1700017B05RIK,NFAT5,0.0028259014
677,486,1700017B05RIK,RFESD,0.0028129646
677,375,1700017B05RIK,KLF6,0.0028106624
677,662,1700017B05RIK,ASB8,0.0028066426
677,468,1700017B05RIK,LTB,0.0028050626
677,66,1700017B05RIK,CDC20,0.0028047345
677,190,1700017B05RIK,STK25,0.0028019806
677,341,1700017B05RIK,DEK,0.0027906997
677,395,1700017B05RIK,PSEN2,0.0027899912
677,458,1700017B05RIK,CTSE,0.0027886066
677,426,1700017B05RIK,ABCB8,0.0027885798
677,209,1700017B05RIK,ANXA5,0.002787172
677,259,1700017B05RIK,CYB5R3,0.0027838503
677,573,1700017B05RIK,MAU2,0.0027769012
677,629,1700017B05RIK,CAST,0.0027752141
677,465,1700017B05RIK,PICALM,0.002771746
677,697,1700017B05RIK,HSPH1,0.002771403
677,68,1700017B05RIK,OASL2,0.0027610483
