src_idx,dst_idx,src_gene,dst_gene,score
456,70,DKC1,POLR2J,0.9871471
100,337,POLR2H,POLR2I,0.98708296
456,37,DKC1,COPS2,0.98667866
456,785,DKC1,ERCC8,0.9865781
456,275,DKC1,NFIB,0.98622316
456,416,DKC1,NAA15,0.9861448
100,743,POLR2H,DDB2,0.9858606
100,416,POLR2H,NAA15,0.9857841
456,56,DKC1,LAMB1,0.98551744
456,107,DKC1,RRM2,0.9853638
456,951,DKC1,DNAJC2,0.985357
100,951,POLR2H,DNAJC2,0.9853335
100,275,POLR2H,NFIB,0.98525894
456,254,DKC1,KHDRBS1,0.9851869
456,343,DKC1,PA2G4,0.9850617
100,107,POLR2H,RRM2,0.98503023
100,432,POLR2H,GTF3C1,0.9849753
100,456,POLR2H,DKC1,0.9849358
456,971,DKC1,BARD1,0.9848941
100,254,POLR2H,KHDRBS1,0.9848875
100,1009,POLR2H,POLR3F,0.9848769
100,343,POLR2H,PA2G4,0.9848705
100,574,POLR2H,POLR1A,0.98482555
456,25,DKC1,POLR3B,0.98481315
100,179,POLR2H,CEBPZ,0.98478496
100,843,POLR2H,POLR1B,0.98478323
456,179,DKC1,CEBPZ,0.98477364
456,993,DKC1,POLR3D,0.9847601
100,736,POLR2H,TAF5,0.98470473
456,630,DKC1,SNAPC3,0.98470426
100,177,POLR2H,POLR2B,0.9847013
100,993,POLR2H,POLR3D,0.9846913
456,432,DKC1,GTF3C1,0.9846882
100,552,POLR2H,TCEA1,0.9846821
100,627,POLR2H,POLR2E,0.98467445
100,728,POLR2H,GTF2H4,0.98458266
456,1009,DKC1,POLR3F,0.98458266
456,574,DKC1,POLR1A,0.9845658
100,70,POLR2H,POLR2J,0.98454225
456,843,DKC1,POLR1B,0.9845328
100,56,POLR2H,LAMB1,0.9845248
100,37,POLR2H,COPS2,0.98450696
100,785,POLR2H,ERCC8,0.9844825
100,278,POLR2H,TAF6,0.9844177
456,177,DKC1,POLR2B,0.98440707
100,791,POLR2H,ERCC3,0.9844051
100,25,POLR2H,POLR3B,0.98438156
100,730,POLR2H,GTF2H3,0.98438096
100,965,POLR2H,NME2,0.9843768
456,627,DKC1,POLR2E,0.98436314
