src_idx,dst_idx,src_gene,dst_gene,score
276,299,DUS1L,GATA2,0.9925149
320,622,WDR43,MEIS1,0.9916939
1102,622,TBL3,MEIS1,0.9916865
77,622,GNS,MEIS1,0.9916865
804,622,NMD3,MEIS1,0.9916865
793,622,PNO1,MEIS1,0.99168265
498,622,BYSL,MEIS1,0.99168056
320,299,WDR43,GATA2,0.991569
804,299,NMD3,GATA2,0.991565
1102,299,TBL3,GATA2,0.9915468
435,299,TEX10,GATA2,0.9915468
77,299,GNS,GATA2,0.9915398
498,299,BYSL,GATA2,0.991532
793,299,PNO1,GATA2,0.9915304
498,502,BYSL,HDAC2,0.99141085
77,502,GNS,HDAC2,0.99140865
1102,502,TBL3,HDAC2,0.99140817
276,502,DUS1L,HDAC2,0.99140817
804,502,NMD3,HDAC2,0.99140817
320,502,WDR43,HDAC2,0.99140817
793,502,PNO1,HDAC2,0.9914051
804,481,NMD3,CBX5,0.9910902
138,442,HIF3A,LYN,0.9910862
138,1014,HIF3A,SYK,0.9910754
435,481,TEX10,CBX5,0.99103934
1102,481,TBL3,CBX5,0.99102837
276,481,DUS1L,CBX5,0.99102837
320,481,WDR43,CBX5,0.99102837
498,481,BYSL,CBX5,0.991024
338,622,NOP2,MEIS1,0.99100435
435,774,TEX10,EYA2,0.99089384
804,774,NMD3,EYA2,0.99088776
1102,774,TBL3,EYA2,0.99088776
276,774,DUS1L,EYA2,0.99088776
793,774,PNO1,EYA2,0.99088764
32,299,CTSG,GATA2,0.99088544
77,774,GNS,EYA2,0.9908853
498,774,BYSL,EYA2,0.9908835
530,299,PRKCD,GATA2,0.9908688
128,299,APBB1,GATA2,0.9908386
804,578,NMD3,ARID2,0.9907985
4,299,PLAC8,GATA2,0.9907979
435,502,TEX10,HDAC2,0.9907828
435,796,TEX10,RELB,0.9907787
1102,796,TBL3,RELB,0.9907708
804,796,NMD3,RELB,0.9907708
320,796,WDR43,RELB,0.9907708
276,796,DUS1L,RELB,0.9907678
793,796,PNO1,RELB,0.9907665
498,796,BYSL,RELB,0.9907657
