src_idx,dst_idx,src_gene,dst_gene,score
186,445,2610307P16RIK,IL1R1,0.8671943
483,506,2810468N07RIK,PRIM1,0.9560391
431,497,4833407H14RIK,ARRDC4,0.8657866
147,286,5430427O19RIK,PF4,0.86596596
297,445,9030619P08RIK,IL1R1,0.8689632
503,445,9530082P21RIK,IL1R1,0.8664114
139,286,ABCG2,PF4,0.8657866
315,445,ABCG3,IL1R1,0.8912056
278,56,ABHD17B,RNF38,0.8670748
337,56,AC174780.1,RNF38,0.8657866
150,286,ACAP1,PF4,0.86596596
390,56,ADAM17,RNF38,0.8487585
428,497,ADGRG3,ARRDC4,0.8657866
331,286,ADGRL4,PF4,0.86576664
373,236,ADSSL1,AMPD2,0.86594015
226,56,AFDN,RNF38,0.8657866
173,56,AFF3,RNF38,0.86589974
98,497,AI504432,ARRDC4,0.8659182
134,286,AKNA,PF4,0.8657866
327,286,ALDH1A1,PF4,0.8661016
236,320,AMPD2,MYC,0.94085515
361,145,ANGPT1,HMGB2,0.9371353
473,56,ANKRD33B,RNF38,0.8665092
93,497,ANKRD44,ARRDC4,0.86583656
151,286,ANXA2,PF4,0.86596596
408,56,ANXA5,RNF38,0.8689147
309,530,AP1S2,IKZF1,0.9382501
261,56,APLP2,RNF38,0.8657866
398,459,APOE,IRF8,0.919457
196,25,APP,UNC93B1,0.86594015
133,286,ARHGAP15,PF4,0.8657866
333,286,ARHGAP18,PF4,0.8657866
74,56,ARHGAP27,RNF38,0.8657866
273,56,ARHGEF18,RNF38,0.8710566
384,497,ARHGEF39,ARRDC4,0.8658218
400,279,ARID5A,HNRNPAB,0.86594015
264,286,ARL11,PF4,0.8657866
221,56,ARPP21,RNF38,0.8657866
497,459,ARRDC4,IRF8,0.95134014
262,56,ART4,RNF38,0.8657866
114,445,ATP8B4,IL1R1,0.8659843
441,56,BC035044,RNF38,0.8658926
379,459,BCL2,IRF8,0.9327883
97,497,BDH2,ARRDC4,0.8659182
479,56,BGN,RNF38,0.8657866
310,56,BLNK,RNF38,0.8657866
456,445,BPIFC,IL1R1,0.8657866
486,56,BTG2,RNF38,0.8657866
524,56,BTLA,RNF38,0.8657866
288,56,C030034L19RIK,RNF38,0.8657866
125,56,C130089K02RIK,RNF38,0.8961126
215,286,C1RL,PF4,0.8665092
34,445,C230085N15RIK,IL1R1,0.8657866
169,530,CADPS2,IKZF1,0.91871303
386,497,CAMK1D,ARRDC4,0.8658218
266,286,CAPG,PF4,0.8657866
171,56,CASP12,RNF38,0.91365945
382,96,CAV2,SLBP,0.94957507
66,459,CBFB,IRF8,0.94854486
312,379,CBX7,BCL2,0.9078514
526,56,CCDC112,RNF38,0.8657866
484,56,CCL3,RNF38,0.8657866
354,56,CCL9,RNF38,0.86553675
466,459,CCNG2,IRF8,0.9285648
401,213,CCR7,MCM4,0.9321648
451,286,CCT2,PF4,0.8658534
149,286,CD244A,PF4,0.86596596
55,56,CD33,RNF38,0.8657866
153,286,CD34,PF4,0.86596596
525,530,CD44,IKZF1,0.93464875
241,445,CD48,IL1R1,0.8658926
250,56,CD52,RNF38,0.8657866
355,56,CD53,RNF38,0.8657866
172,56,CD55,RNF38,0.8657866
509,357,CD63,SYK,0.9380903
423,497,CD63-PS,ARRDC4,0.8670748
128,56,CD69,RNF38,0.8657866
512,554,CD7,POLA2,0.8755202
334,267,CD74,SLC2A3,0.93327343
247,56,CD81,RNF38,0.86593443
119,286,CD9,PF4,0.86583656
182,56,CD93,RNF38,0.8657866
450,286,CDK17,PF4,0.8658534
482,56,CDK18,RNF38,0.8657866
88,497,CDK19,ARRDC4,0.86583656
39,459,CDK6,IRF8,0.9164039
548,56,CDKN1C,RNF38,0.8657866
60,320,CDT1,MYC,0.9570349
70,56,CERS4,RNF38,0.8659198
328,286,CFP,PF4,0.8658248
419,497,CHRNB1,ARRDC4,0.8670748
370,236,CIPC,AMPD2,0.86594015
35,445,CISH,IL1R1,0.8657866
131,257,CKS1B,UHRF1,0.96423477
205,56,CLEC12A,RNF38,0.8664769
556,286,CLIP3,PF4,0.8659511
460,445,CMAH,IL1R1,0.8657866
402,279,CNN3,HNRNPAB,0.86594015
