src_idx,dst_idx,src_gene,dst_gene,score
601,835,1110038B12RIK,GCLM,0.9779051
984,370,1810032O08RIK,DCP1A,0.9792321
816,835,2200002D01RIK,GCLM,0.9779051
263,835,2410141K09RIK,GCLM,0.9779051
877,835,2810025M15RIK,GCLM,0.9779051
282,93,4930402H24RIK,CNOT7,0.9770248
989,835,5031439G07RIK,GCLM,0.97784746
229,93,AARS,CNOT7,0.9791905
427,1086,AATF,POLR1E,0.9863027
924,835,ABCC5,GCLM,0.9779051
1466,835,ABHD5,GCLM,0.9779051
1579,646,ABT1,SSB,0.99296993
156,835,ABTB1,GCLM,0.9779051
393,1342,ACADM,DDIT3,0.97761005
1532,835,ACP6,GCLM,0.9778717
142,82,ACTG1,EHMT2,0.9841965
299,1085,ACTL6A,TRRAP,0.97849494
343,93,ADAM15,CNOT7,0.9810053
1456,93,ADAM19,CNOT7,0.97916085
212,835,ADAM23,GCLM,0.9779051
981,93,ADAMTS9,CNOT7,0.9770248
880,835,ADGRE5,GCLM,0.9797133
333,1342,AES,DDIT3,0.97792506
1461,1071,AF357399,HSPA5,0.97581893
486,576,AFF1,POLR2I,0.99201524
246,1515,AGAP3,BTG2,0.9771951
446,835,AGPAT4,GCLM,0.9779011
339,93,AHCY,CNOT7,0.9770179
437,961,AHNAK,SP1,0.9821975
434,835,AI506816,GCLM,0.9768882
94,835,AIP,GCLM,0.9779051
1163,835,AIRE,GCLM,0.9779051
756,835,AKAP12,GCLM,0.9779051
1194,835,AKR1B3,GCLM,0.9779198
430,93,AKR1B8,CNOT7,0.9770248
360,754,AKT1,CDC5L,0.947411
256,1188,ALDH2,MAPK3,0.9470022
1225,835,ALG13,GCLM,0.9779051
760,209,ALPL,SMAD4,0.9301762
1493,835,AMFR,GCLM,0.9779051
964,1261,AMOT,TRP53,0.933279
803,1261,AMOTL2,TRP53,0.933458
1057,126,AMPD2,PURA,0.9941896
367,93,ANK,CNOT7,0.9791905
309,773,ANKRD49,POLE4,0.9863815
1042,835,ANKRD54,GCLM,0.9779051
152,835,ANKRD6,GCLM,0.9779051
1087,835,ANKS1,GCLM,0.9779051
666,351,ANP32A,CNOT8,0.9744262
408,1261,ANXA2,TRP53,0.97486
714,61,ANXA5,MDM2,0.94374835
787,835,AP1AR,GCLM,0.9779051
1005,300,APAF1,HDAC1,0.97357154
1221,927,APBB1,KEAP1,0.9520512
774,833,APEX1,MCM5,0.98372215
1122,803,APLP1,AMOTL2,0.90784895
