src_idx,dst_idx,src_gene,dst_gene,score
1375,1439,A1CF,ING3,0.9445333
1375,1280,A1CF,DR1,0.94313866
1375,142,A1CF,ADNP,0.939465
1375,230,A1CF,VPS72,0.92917985
1375,789,A1CF,NPM1,0.92541945
1375,671,A1CF,CHD8,0.9236984
1375,1134,A1CF,ZNF638,0.9211584
1375,700,A1CF,TCERG1,0.9147037
1375,431,A1CF,HIBCH,0.9126084
1375,571,A1CF,ANP32E,0.91247797
1375,308,A1CF,YEATS4,0.91088414
1375,77,A1CF,RUVBL2,0.9107838
1375,1114,A1CF,ACTL6A,0.90584886
1375,884,A1CF,PSME3,0.90357435
1375,1396,A1CF,NTHL1,0.9022523
1375,1436,A1CF,CREG1,0.90138644
1375,242,A1CF,EXOSC1,0.8998737
1375,607,A1CF,MYC,0.89987105
1375,189,A1CF,EXOSC8,0.8997159
1375,998,A1CF,AIMP2,0.89886355
1375,288,A1CF,TEX10,0.89852375
1375,793,A1CF,RUVBL1,0.89806205
1375,61,A1CF,DPCD,0.89797205
1375,482,A1CF,NUP35,0.8971805
1375,1212,A1CF,GGH,0.89675635
1375,87,A1CF,XPO5,0.89510596
1375,688,A1CF,POP5,0.89510596
1375,566,A1CF,BPTF,0.8947836
1375,22,A1CF,HSPA14,0.8936678
1375,800,A1CF,OBFC1,0.89335936
1375,1015,A1CF,HMGN5,0.8925693
1375,491,A1CF,TP53,0.889115
1375,121,A1CF,APEX1,0.8851051
1375,519,A1CF,LTA4H,0.88044244
1375,774,A1CF,NEIL2,0.8774362
1375,1287,A1CF,PAWR,0.8766579
1375,132,A1CF,PTMA,0.8734964
1375,761,A1CF,TXNDC9,0.8734964
1375,733,A1CF,MBIP,0.8734435
1375,716,A1CF,MRPS12,0.87341774
1375,584,A1CF,MRRF,0.87340283
1375,597,A1CF,DDX20,0.8707437
1375,970,A1CF,HCFC1,0.86863184
1375,920,A1CF,NFYB,0.865763
1375,425,A1CF,DROSHA,0.8653179
1375,437,A1CF,RFXANK,0.86369663
1375,56,A1CF,SIRT1,0.86343163
1375,1305,A1CF,FBL,0.86261773
1375,1260,A1CF,SMARCC1,0.8594198
1375,877,A1CF,PPP2R1B,0.857745
769,341,AAAS,SRSF1,0.98094785
769,883,AAAS,RNPS1,0.9808425
769,589,AAAS,SRSF3,0.9794419
769,918,AAAS,RBMX,0.9791148
769,435,AAAS,PPIL1,0.9790826
769,493,AAAS,HNRNPR,0.97878027
769,224,AAAS,SRSF10,0.9780141
769,464,AAAS,ELAVL2,0.97791356
769,441,AAAS,SRRM1,0.977377
769,579,AAAS,WBP11,0.97725415
769,1326,AAAS,HNRNPUL1,0.9769349
769,817,AAAS,HNRNPH2,0.97685474
769,30,AAAS,DDX39A,0.97656995
769,1176,AAAS,TARDBP,0.97636795
769,1255,AAAS,SRSF2,0.9763499
769,1121,AAAS,SF3B3,0.97567284
769,357,AAAS,SRSF6,0.9755096
769,730,AAAS,SSB,0.9754235
769,1256,AAAS,MATR3,0.97529787
769,947,AAAS,USP39,0.9751109
769,165,AAAS,THOC1,0.97508866
769,5,AAAS,SNRPD1,0.9746261
769,770,AAAS,DDX5,0.9745321
769,458,AAAS,HNRNPK,0.97433573
769,211,AAAS,PAPOLA,0.97430724
769,565,AAAS,PLRG1,0.97392696
769,1361,AAAS,HNRNPD,0.9730012
769,318,AAAS,LSM10,0.97251874
769,360,AAAS,NUP54,0.97215706
769,1193,AAAS,ISY1,0.9719211
769,280,AAAS,KHDRBS1,0.9716039
769,1424,AAAS,PHF5A,0.97111523
769,762,AAAS,HNRNPH3,0.9710942
769,146,AAAS,ILF3,0.97076964
769,383,AAAS,U2AF1,0.9700744
769,1050,AAAS,PHGDH,0.96998334
769,404,AAAS,BCAS2,0.9692533
769,1320,AAAS,NUP93,0.9690372
769,73,AAAS,CPSF6,0.96842426
769,258,AAAS,EFTUD2,0.96722937
769,903,AAAS,GEMIN2,0.9662573
769,1356,AAAS,HNRNPAB,0.962574
769,274,AAAS,CPSF3,0.96197623
769,930,AAAS,SF3A3,0.96175504
769,1163,AAAS,NUP37,0.9587087
769,583,AAAS,GEMIN7,0.9585763
769,356,AAAS,NAA15,0.9563438
769,195,AAAS,NONO,0.9562565
769,1206,AAAS,SNRPB,0.95618355
769,1117,AAAS,POLR3D,0.95419186
417,142,AAMP,ADNP,0.939465
417,1439,AAMP,ING3,0.9349702
417,1280,AAMP,DR1,0.9326001
417,230,AAMP,VPS72,0.92917985
417,789,AAMP,NPM1,0.92541945
417,671,AAMP,CHD8,0.923813
417,431,AAMP,HIBCH,0.91481936
417,700,AAMP,TCERG1,0.91465324
