src_idx,dst_idx,src_gene,dst_gene,score
431,437,1700017B05RIK,MYB,0.85902715
558,437,2610035D17RIK,MYB,0.8590416
25,437,4833439L19RIK,MYB,0.8934723
257,161,ABCB8,JARID2,0.8497203
466,437,ABCG2,MYB,0.8672958
120,437,ABHD17B,MYB,0.857732
485,437,ABL1,MYB,0.93412054
66,437,ACAA2,MYB,0.8590416
335,437,ACOT9,MYB,0.8590416
369,437,ACOX1,MYB,0.91863346
123,437,ADA,MYB,0.8590416
244,437,ADGRG3,MYB,0.8590416
215,437,ADO,MYB,0.9168216
158,437,ADSSL1,MYB,0.8590416
192,210,AFAP1L1,PNO1,0.9317279
519,437,AGPS,MYB,0.8590416
141,554,AHCYL1,CDT1,0.9793417
616,437,AKAP8L,MYB,0.8934723
314,437,AKNA,MYB,0.8590416
539,437,ALAS1,MYB,0.8538945
211,437,ALDH9A1,MYB,0.8590416
470,437,ANXA1,MYB,0.8590416
492,430,ANXA2,SEH1L,0.85256034
140,437,ANXA3,MYB,0.8590416
103,437,ANXA5,MYB,0.8590416
469,437,AP3S1,MYB,0.8590257
445,554,APBB1,CDT1,0.9793479
128,437,APLP2,MYB,0.85908353
374,437,APOE,MYB,0.8590416
401,437,ARHGEF18,MYB,0.8585993
459,437,ARHGEF39,MYB,0.8590416
532,437,ARID3B,MYB,0.8590416
563,437,ARID5A,MYB,0.8590416
106,437,ARL11,MYB,0.8590416
173,437,ARL6IP6,MYB,0.85910106
379,437,ARL8B,MYB,0.8541913
8,536,ATAD1,SPI1,0.93289834
376,536,ATF7,SPI1,0.92834723
110,437,ATG12,MYB,0.8590416
598,437,ATP11C,MYB,0.85797614
90,437,ATP13A1,MYB,0.8672958
41,437,ATP6AP1,MYB,0.8590416
523,437,ATP6AP2,MYB,0.8590416
476,430,ATP8B4,SEH1L,0.85251296
279,33,AURKB,CSTF2,0.9927752
509,437,B230219D22RIK,MYB,0.8590416
372,437,BACE1,MYB,0.8590416
89,437,BATF2,MYB,0.8590416
573,437,BC005561,MYB,0.8590416
403,437,BC035044,MYB,0.8540136
475,536,BCL2,SPI1,0.89382267
247,437,BID,MYB,0.89344627
31,437,BTAF1,MYB,0.85906935
6,82,BTG2,RB1,0.9914786
104,437,BTK,MYB,0.91863346
577,437,CAD,MYB,0.8590416
288,437,CALCRL,MYB,0.8590416
4,437,CASP1,MYB,0.85891086
223,437,CASP12,MYB,0.8590416
416,437,CASP4,MYB,0.8590416
353,437,CBFB,MYB,0.8590416
525,437,CBX7,MYB,0.9186414
75,437,CCDC137,MYB,0.8590416
501,430,CCDC50,SEH1L,0.85256034
543,82,CCL4,RB1,0.9914786
555,161,CCL9,JARID2,0.85302407
361,33,CCNB2,CSTF2,0.9927108
22,437,CD300A,MYB,0.86617476
321,437,CD48,MYB,0.857732
236,437,CD52,MYB,0.8590257
151,437,CD53,MYB,0.8590416
415,437,CD69,MYB,0.8678748
255,210,CD74,PNO1,0.9421295
147,430,CD82,SEH1L,0.85256034
425,430,CD9,SEH1L,0.8525678
411,33,CDC45,CSTF2,0.9926674
604,82,CDC6,RB1,0.9884213
407,33,CDC7,CSTF2,0.99264365
565,437,CDCA4,MYB,0.8590416
23,554,CDCA8,CDT1,0.96483207
554,82,CDT1,RB1,0.9913879
414,292,CENPK,HDAC7,0.9364055
20,82,CERK,RB1,0.9914786
330,437,CERS4,MYB,0.8590416
382,437,CFP,MYB,0.8541272
594,437,CHORDC1,MYB,0.8590416
227,437,CHRNB1,MYB,0.8882071
208,210,CISH,PNO1,0.9447322
434,437,CKAP5,MYB,0.85902715
491,430,CLEC12A,SEH1L,0.85247344
285,437,CLN5,MYB,0.8590416
317,437,CLPTM1L,MYB,0.85905844
179,437,CNIH1,MYB,0.85892123
233,437,CNRIP1,MYB,0.8590416
408,437,COLGALT1,MYB,0.85930943
163,437,COPB1,MYB,0.8590416
55,437,COQ8A,MYB,0.8590416
265,437,CPA3,MYB,0.8590416
550,259,CREB5,NUP107,0.93368405
542,437,CSAD,MYB,0.8539189
127,437,CSF2RB,MYB,0.8590416
