src_idx,dst_idx,src_gene,dst_gene,score
79,1083,STAT3,ABL1,0.97958905
819,1083,BTG2,ABL1,0.9792443
1118,1083,IRF8,ABL1,0.97900486
483,1083,CASP1,ABL1,0.97896934
582,1083,SPI1,ABL1,0.97893333
592,1083,RUNX1T1,ABL1,0.97886217
1157,1083,GFI1,ABL1,0.9787219
426,1083,LRRFIP1,ABL1,0.9786905
27,1083,IKZF1,ABL1,0.9783076
438,914,CDK19,NUP155,0.9783
239,914,MED22,NUP155,0.97829574
408,1083,PRKAA1,ABL1,0.9782402
136,914,IL15,NUP155,0.9782135
1153,914,BATF2,NUP155,0.9782135
483,914,CASP1,NUP155,0.97820604
1037,1083,FOS,ABL1,0.9781345
819,670,BTG2,HDAC7,0.9780734
239,670,MED22,HDAC7,0.97805655
1101,1083,NR4A1,ABL1,0.9780201
1153,56,BATF2,NDC1,0.9780125
1198,1083,EGR1,ABL1,0.9779638
1111,914,RORA,NUP155,0.9778527
1153,1083,BATF2,ABL1,0.9777849
483,56,CASP1,NDC1,0.9777035
1153,317,BATF2,NUP88,0.9776723
136,317,IL15,NUP88,0.9776723
79,914,STAT3,NUP155,0.9776629
1111,1083,RORA,ABL1,0.97762966
438,1083,CDK19,ABL1,0.977599
239,1083,MED22,ABL1,0.9775959
136,56,IL15,NDC1,0.97759426
819,335,BTG2,HDAC9,0.9775933
1101,670,NR4A1,HDAC7,0.97755164
79,670,STAT3,HDAC7,0.97750217
483,317,CASP1,NUP88,0.9774606
311,1083,NFATC1,ABL1,0.9774451
483,670,CASP1,HDAC7,0.9774041
136,1083,IL15,ABL1,0.97736025
609,1083,RUNX2,ABL1,0.97722965
438,317,CDK19,NUP88,0.9772235
438,56,CDK19,NDC1,0.9772235
239,56,MED22,NDC1,0.977221
239,317,MED22,NUP88,0.977221
438,670,CDK19,HDAC7,0.977112
1153,670,BATF2,HDAC7,0.9770628
136,670,IL15,HDAC7,0.9770628
101,1083,ABCG2,ABL1,0.9768902
233,1083,TCF12,ABL1,0.9768545
363,914,TMEM173,NUP155,0.976839
1118,670,IRF8,HDAC7,0.97683334
