src_idx,dst_idx,src_gene,dst_gene,score
205,146,2200002D01RIK,CNOT7,0.75093997
205,1038,2200002D01RIK,NFYA,0.73176837
205,823,2200002D01RIK,BARX1,0.72954553
205,5,2200002D01RIK,NFYB,0.72816736
205,1015,2200002D01RIK,CNOT3,0.72556585
205,821,2200002D01RIK,ZIC3,0.70274645
205,697,2200002D01RIK,DDX58,0.67886496
205,751,2200002D01RIK,DCP1A,0.6746948
205,377,2200002D01RIK,FOXO3,0.66119397
205,104,2200002D01RIK,BACH2,0.6544391
205,149,2200002D01RIK,ATF6,0.6492683
205,496,2200002D01RIK,CNOT8,0.64902467
205,1089,2200002D01RIK,SMURF2,0.64845467
205,969,2200002D01RIK,IKBKB,0.6483428
205,222,2200002D01RIK,MYC,0.6479288
205,75,2200002D01RIK,DAB2,0.6472039
205,833,2200002D01RIK,TSG101,0.64697415
205,721,2200002D01RIK,ZFP446,0.6460792
205,151,2200002D01RIK,SRF,0.6455919
205,80,2200002D01RIK,STAT5A,0.64348984
205,878,2200002D01RIK,HTT,0.6431445
205,486,2200002D01RIK,FOXO1,0.6424139
205,196,2200002D01RIK,TRIM25,0.64128786
205,446,2200002D01RIK,CNOT2,0.64060855
205,556,2200002D01RIK,IRF1,0.6394651
205,1010,2200002D01RIK,STAT4,0.6374839
205,1098,2200002D01RIK,CNOT6,0.63736314
205,401,2200002D01RIK,USF1,0.63639414
205,298,2200002D01RIK,GRIN1,0.63582826
205,1100,2200002D01RIK,MEF2A,0.6356318
205,450,2200002D01RIK,EGR1,0.6319398
205,306,2200002D01RIK,FXR2,0.6315857
205,602,2200002D01RIK,RELA,0.62988085
205,713,2200002D01RIK,GTF2A1L,0.6287832
205,634,2200002D01RIK,KLF4,0.62762487
205,443,2200002D01RIK,POU2F1,0.6275649
205,1080,2200002D01RIK,E2F1,0.62674505
205,342,2200002D01RIK,EBF1,0.6247686
205,1092,2200002D01RIK,POU5F1,0.6241317
205,31,2200002D01RIK,NFIC,0.6231209
205,482,2200002D01RIK,SOX7,0.62224525
205,864,2200002D01RIK,MYD88,0.62207526
205,905,2200002D01RIK,GM24330,0.6219744
205,336,2200002D01RIK,RPL15-PS3,0.6214627
205,119,2200002D01RIK,IRF3,0.62052023
205,561,2200002D01RIK,TXNIP,0.6193847
205,873,2200002D01RIK,FGF3,0.61887294
205,698,2200002D01RIK,LDB1,0.6185099
205,264,2200002D01RIK,TFAP2C,0.6179772
205,491,2200002D01RIK,LMO4,0.61769253
934,146,2410141K09RIK,CNOT7,0.7509409
934,1038,2410141K09RIK,NFYA,0.73176837
934,823,2410141K09RIK,BARX1,0.72954553
934,5,2410141K09RIK,NFYB,0.72816736
934,1015,2410141K09RIK,CNOT3,0.72556585
934,751,2410141K09RIK,DCP1A,0.7079539
934,821,2410141K09RIK,ZIC3,0.68887967
934,104,2410141K09RIK,BACH2,0.6828075
934,697,2410141K09RIK,DDX58,0.679332
934,377,2410141K09RIK,FOXO3,0.66119397
934,149,2410141K09RIK,ATF6,0.6492683
934,496,2410141K09RIK,CNOT8,0.6488018
934,1089,2410141K09RIK,SMURF2,0.64845467
934,222,2410141K09RIK,MYC,0.6479288
934,75,2410141K09RIK,DAB2,0.6472039
934,833,2410141K09RIK,TSG101,0.64714724
934,721,2410141K09RIK,ZFP446,0.6460792
934,151,2410141K09RIK,SRF,0.64573836
934,80,2410141K09RIK,STAT5A,0.64348984
934,878,2410141K09RIK,HTT,0.6431445
934,486,2410141K09RIK,FOXO1,0.6424139
934,446,2410141K09RIK,CNOT2,0.64060855
934,556,2410141K09RIK,IRF1,0.6396953
934,1010,2410141K09RIK,STAT4,0.6374839
934,1098,2410141K09RIK,CNOT6,0.63736314
934,969,2410141K09RIK,IKBKB,0.6358377
934,298,2410141K09RIK,GRIN1,0.63582826
934,106,2410141K09RIK,PAX6,0.63576776
934,306,2410141K09RIK,FXR2,0.63164634
934,602,2410141K09RIK,RELA,0.62988085
934,401,2410141K09RIK,USF1,0.6288178
934,713,2410141K09RIK,GTF2A1L,0.6287832
934,634,2410141K09RIK,KLF4,0.62762487
934,443,2410141K09RIK,POU2F1,0.62762034
934,1080,2410141K09RIK,E2F1,0.62674505
934,450,2410141K09RIK,EGR1,0.6259087
934,342,2410141K09RIK,EBF1,0.6247686
934,1092,2410141K09RIK,POU5F1,0.6241317
934,406,2410141K09RIK,MAGED1,0.62354916
934,31,2410141K09RIK,NFIC,0.6231209
934,482,2410141K09RIK,SOX7,0.6221694
934,864,2410141K09RIK,MYD88,0.62207526
934,45,2410141K09RIK,SSR3,0.6219744
934,308,2410141K09RIK,GM22281,0.6219744
934,928,2410141K09RIK,SLC7A6,0.6219744
934,1093,2410141K09RIK,PMM1,0.6219744
934,698,2410141K09RIK,LDB1,0.61951095
934,561,2410141K09RIK,TXNIP,0.6193423
934,873,2410141K09RIK,FGF3,0.61887294
934,119,2410141K09RIK,IRF3,0.6181734
101,1080,2810025M15RIK,E2F1,0.9616871
101,1092,2810025M15RIK,POU5F1,0.96114826
101,878,2810025M15RIK,HTT,0.9497432
101,828,2810025M15RIK,ESRRB,0.94488025
101,12,2810025M15RIK,EWSR1,0.93538517
101,222,2810025M15RIK,MYC,0.9250139
101,732,2810025M15RIK,TRP53,0.9140118
101,546,2810025M15RIK,CDKN1A,0.90596586
101,151,2810025M15RIK,SRF,0.8925407
101,1103,2810025M15RIK,POU4F2,0.89169014
101,564,2810025M15RIK,HNF1B,0.8816113
101,1109,2810025M15RIK,NDN,0.875993
101,1063,2810025M15RIK,CTCF,0.8737318
101,703,2810025M15RIK,NANOG,0.87293303
101,298,2810025M15RIK,GRIN1,0.87148166
101,88,2810025M15RIK,CCND1,0.87131304
101,634,2810025M15RIK,KLF4,0.8689087
101,72,2810025M15RIK,MDM2,0.86645657
101,909,2810025M15RIK,MYCN,0.84908104
101,106,2810025M15RIK,PAX6,0.82231385
101,377,2810025M15RIK,FOXO3,0.8208259
101,792,2810025M15RIK,MEIS1,0.8197841
101,450,2810025M15RIK,EGR1,0.8165525
101,1050,2810025M15RIK,RNF2,0.80488014
101,781,2810025M15RIK,TFCP2L1,0.8027973
101,764,2810025M15RIK,PATZ1,0.79708314
101,821,2810025M15RIK,ZIC3,0.7963116
101,841,2810025M15RIK,RB1,0.7899904
101,1100,2810025M15RIK,MEF2A,0.7852158
101,264,2810025M15RIK,TFAP2C,0.7806017
101,1075,2810025M15RIK,ETS1,0.7801805
101,846,2810025M15RIK,RARA,0.76963454
101,401,2810025M15RIK,USF1,0.7642923
101,227,2810025M15RIK,VEZF1,0.761975
101,455,2810025M15RIK,TGFB1,0.75678605
101,80,2810025M15RIK,STAT5A,0.74421996
101,109,2810025M15RIK,SSBP4,0.73185235
101,833,2810025M15RIK,TSG101,0.72719985
101,206,2810025M15RIK,GATA3,0.71142876
101,698,2810025M15RIK,LDB1,0.7109822
101,1113,2810025M15RIK,NFKBIA,0.71066105
101,356,2810025M15RIK,ZFP42,0.7094115
101,722,2810025M15RIK,PIAS1,0.7081774
101,410,2810025M15RIK,NCOA6,0.70660233
101,936,2810025M15RIK,KLF3,0.7065821
101,806,2810025M15RIK,PIAS2,0.7032743
101,335,2810025M15RIK,FOXJ2,0.7017018
101,549,2810025M15RIK,FOXA2,0.69105595
101,490,2810025M15RIK,SMAD3,0.68663377
101,769,2810025M15RIK,NR3C1,0.6795305
644,821,AATF,ZIC3,0.8874536
644,1080,AATF,E2F1,0.8797522
644,12,AATF,EWSR1,0.86412543
644,222,AATF,MYC,0.840873
644,732,AATF,TRP53,0.83499163
644,1092,AATF,POU5F1,0.83473086
644,443,AATF,POU2F1,0.83296996
644,878,AATF,HTT,0.8325008
644,106,AATF,PAX6,0.8305749
644,909,AATF,MYCN,0.8292357
644,828,AATF,ESRRB,0.80198705
644,72,AATF,MDM2,0.785949
644,171,AATF,RFXAP,0.78590566
644,936,AATF,KLF3,0.7776603
644,401,AATF,USF1,0.77115875
644,979,AATF,LDHB,0.76990575
644,792,AATF,MEIS1,0.769339
644,1038,AATF,NFYA,0.7657652
644,377,AATF,FOXO3,0.76294017
644,1109,AATF,NDN,0.76010156
644,1063,AATF,CTCF,0.75672835
644,261,AATF,PCBD1,0.749751
644,882,AATF,TRP53BP1,0.74464095
644,406,AATF,MAGED1,0.744504
644,298,AATF,GRIN1,0.7393666
644,634,AATF,KLF4,0.73708165
644,5,AATF,NFYB,0.72979975
644,833,AATF,TSG101,0.7284865
