src_idx,dst_idx,src_gene,dst_gene,score
150,569,SPI1,METAP1,0.99387425
150,554,SPI1,HELLS,0.99385417
150,325,SPI1,MYCT1,0.99373406
150,288,SPI1,TYMS,0.99361813
150,592,SPI1,MAML3,0.9934789
150,480,SPI1,ATF7,0.9934598
150,71,SPI1,SESN1,0.9933036
150,541,SPI1,HK3,0.99328727
150,176,SPI1,ITSN1,0.9932574
150,593,SPI1,CTLA2A,0.9932145
150,594,SPI1,FIGNL1,0.9931879
150,66,SPI1,DNM1L,0.99315554
150,181,SPI1,HDGF,0.99315286
150,62,SPI1,CALCRL,0.99312735
150,621,SPI1,MCM7,0.99311864
150,417,SPI1,DHFR,0.993093
150,528,SPI1,TMEM43,0.99303234
150,205,SPI1,TACC3,0.99300754
150,117,SPI1,SRSF1,0.99300283
150,291,SPI1,HDAC7,0.9929783
150,45,SPI1,PTGR1,0.9929397
150,516,SPI1,RAD51,0.9929281
150,611,SPI1,TMEM229B,0.9929119
150,505,SPI1,MIS18BP1,0.9929086
150,428,SPI1,SETD2,0.9928826
150,81,SPI1,SCARB1,0.9928069
150,546,SPI1,MTFR1,0.9927695
150,620,SPI1,RPP40,0.9927644
150,190,SPI1,RCC1,0.9927471
150,526,SPI1,DNAJC11,0.9927248
150,437,SPI1,DHX33,0.9927065
150,596,SPI1,DNAJC5,0.9926858
150,294,SPI1,CCL9,0.9926817
150,252,SPI1,TFG,0.9926594
150,359,SPI1,INPP5B,0.9926374
150,369,SPI1,RANGAP1,0.9925995
150,244,SPI1,ICAM1,0.99259067
150,155,SPI1,ATP6AP1,0.9925673
150,25,SPI1,VAV3,0.9925647
150,328,SPI1,CSF2RB,0.9925485
150,35,SPI1,MYO5A,0.99254465
150,247,SPI1,FCGR2B,0.9925398
547,126,VPS16,SLC18A2,0.9925305
150,0,SPI1,NFAT5,0.99252534
150,420,SPI1,TMEM173,0.99246925
150,24,SPI1,CLPTM1L,0.9924224
613,81,GM4759,SCARB1,0.99241614
150,544,SPI1,KCTD12,0.9923971
150,274,SPI1,FGL2,0.99239
150,485,SPI1,RGS1,0.9923799
