src_idx,dst_idx,src_gene,dst_gene,score
145,97,SPI1,MYC,0.98167485
145,408,SPI1,IKZF1,0.981091
145,216,SPI1,KAZALD1,0.9796892
145,294,SPI1,TINAGL1,0.97943074
145,287,SPI1,CSF3R,0.9778438
145,253,SPI1,CBFB,0.97760564
145,138,SPI1,P2RY14,0.9771583
145,404,SPI1,NHP2,0.9766831
145,19,SPI1,UBASH3A,0.9766594
145,337,SPI1,RAG2,0.97657305
145,225,SPI1,CDT1,0.97640616
145,84,SPI1,SLC39A6,0.97639513
145,367,SPI1,SATB1,0.9763665
145,7,SPI1,AKNA,0.9763081
145,488,SPI1,RNF38,0.976265
145,555,SPI1,CKS1B,0.9761277
145,449,SPI1,RAMP1,0.9761026
145,237,SPI1,GNG11,0.9760883
145,161,SPI1,ELOVL5,0.9760602
145,73,SPI1,UHRF1,0.9760584
145,440,SPI1,AP1S2,0.9760584
145,499,SPI1,GSTT1,0.97605467
145,396,SPI1,IFI27,0.97595096
145,426,SPI1,NWD1,0.97587216
145,91,SPI1,ITSN1,0.97581726
145,486,SPI1,SLC9A9,0.97580826
145,335,SPI1,SLC22A3,0.975804
145,465,SPI1,CAMK1D,0.97579634
145,552,SPI1,TLR7,0.97575516
145,261,SPI1,TMEM14C,0.9757455
145,548,SPI1,IFI209,0.9757437
145,66,SPI1,CCR7,0.97574073
145,535,SPI1,NLRC3,0.97573483
145,372,SPI1,DUSP6,0.97572607
145,179,SPI1,CD63,0.97570735
145,438,SPI1,ZNRF2,0.9757
145,420,SPI1,GBP2,0.9757
145,283,SPI1,SAT1,0.9756998
145,365,SPI1,SPNS3,0.9756402
145,228,SPI1,CCL9,0.97560525
145,274,SPI1,SLC44A2,0.97554535
145,344,SPI1,CCT2,0.9755341
145,353,SPI1,RNF13,0.9754926
145,492,SPI1,DTL,0.9754868
145,92,SPI1,TRIM59,0.9754444
145,12,SPI1,MCM5,0.9754024
145,554,SPI1,CTSH,0.9753997
145,278,SPI1,GMNN,0.9753831
145,407,SPI1,GDF3,0.9753794
145,137,SPI1,ZBTB20,0.9753763
