src_idx,dst_idx,src_gene,dst_gene,score
719,472,CTCF,TCF7L2,0.8262154
719,582,CTCF,M6PR,0.81589305
719,627,CTCF,RPS26,0.8157513
719,194,CTCF,NDUFB7,0.81261754
719,467,CTCF,RPL32,0.81257516
719,569,CTCF,NDUFB10,0.81257516
719,274,CTCF,DNMT3A,0.81257516
719,677,CTCF,COX6A1,0.81257516
719,287,CTCF,NAA20,0.81257516
719,152,CTCF,SNRPD1,0.81257516
719,163,CTCF,PPP1CA,0.81257516
719,263,CTCF,MRPL33,0.81257516
719,305,CTCF,DUSP1,0.81257516
719,311,CTCF,ATP5F1,0.81257516
719,171,CTCF,USF2,0.81257516
719,321,CTCF,MCM5,0.81257516
719,568,CTCF,H3F3B,0.81257516
719,254,CTCF,CD36,0.81257516
719,491,CTCF,TUBA1A,0.81257516
719,469,CTCF,ABCG1,0.81257516
719,692,CTCF,ATP5G2,0.81257516
719,230,CTCF,NDUFC1,0.81257516
719,228,CTCF,MRPL20,0.81257516
719,707,CTCF,RPS19,0.81257516
719,721,CTCF,HMG20A,0.81257516
719,150,CTCF,POLR2H,0.81257516
719,729,CTCF,RPL36,0.81257516
719,209,CTCF,MDM2,0.81257516
719,750,CTCF,EIF5B,0.81257516
719,793,CTCF,RPL10A,0.81257516
719,552,CTCF,RPLP0,0.81257516
719,551,CTCF,H2-AB1,0.81257516
719,542,CTCF,KRTCAP2,0.81257516
719,644,CTCF,SLC25A5,0.81257516
719,478,CTCF,ANXA5,0.81257516
719,16,CTCF,AKT1,0.81257516
719,183,CTCF,CENPB,0.81257516
719,55,CTCF,RPL11,0.81257516
719,615,CTCF,AA467197,0.81257516
719,594,CTCF,RPL35,0.81257516
719,416,CTCF,DAB2,0.81257516
719,344,CTCF,JUP,0.81257516
719,9,CTCF,RPS14,0.81257516
719,610,CTCF,DPEP2,0.81257516
719,33,CTCF,KLF4,0.81257516
719,177,CTCF,POLR2C,0.81257516
719,240,CTCF,ILF3,0.8125719
719,326,CTCF,ZYX,0.8125573
719,59,CTCF,TOX4,0.8125501
719,315,CTCF,NDUFA6,0.8125501
