src_idx,dst_idx,src_gene,dst_gene,score
1032,173,2200002D01RIK,OTX2,0.0062104175
1032,178,2200002D01RIK,NANOG,0.006170892
1032,51,2200002D01RIK,SIN3A,0.0061697373
1032,252,2200002D01RIK,UTF1,0.0061507965
1032,148,2200002D01RIK,TCF12,0.006144556
1032,175,2200002D01RIK,SUZ12,0.0059898873
1032,235,2200002D01RIK,MEN1,0.005846961
1032,181,2200002D01RIK,PRDM14,0.005467467
1032,213,2200002D01RIK,MATR3,0.0054663313
1032,487,2200002D01RIK,MPHOSPH8,0.005400273
1032,93,2200002D01RIK,EED,0.0053535146
1032,187,2200002D01RIK,SFI1,0.0053139795
1032,730,2200002D01RIK,MED12,0.0052732388
1032,273,2200002D01RIK,HEXIM1,0.005215923
1032,299,2200002D01RIK,POU5F1,0.005196514
1032,758,2200002D01RIK,ZFP42,0.005188546
1032,761,2200002D01RIK,EP300,0.0051848157
1032,439,2200002D01RIK,ZFP281,0.0051789437
1032,1118,2200002D01RIK,GABBR1,0.0051707076
1032,911,2200002D01RIK,E2F1,0.0051622675
1032,538,2200002D01RIK,SMAD2,0.005162223
1032,773,2200002D01RIK,DR1,0.0051472187
1032,575,2200002D01RIK,RNF2,0.0051389574
1032,815,2200002D01RIK,ESRRB,0.005132224
1032,835,2200002D01RIK,BTAF1,0.0051262546
1032,957,2200002D01RIK,KLF4,0.005106614
1032,431,2200002D01RIK,NRF1,0.00510526
1032,544,2200002D01RIK,SMARCA4,0.0050977333
1032,1016,2200002D01RIK,UBE2C,0.005082059
1032,862,2200002D01RIK,EZH2,0.0050378293
1032,177,2200002D01RIK,MLLT1,0.005016966
1032,899,2200002D01RIK,ZFP57,0.0050163614
1032,42,2200002D01RIK,FOXJ3,0.005012888
1032,110,2200002D01RIK,SIRT1,0.0049737077
1032,171,2200002D01RIK,RUVBL2,0.004955699
1032,495,2200002D01RIK,JARID2,0.004935362
1032,246,2200002D01RIK,SRM,0.004895028
1032,489,2200002D01RIK,CTCF,0.004874305
1032,151,2200002D01RIK,KDM5B,0.00484724
1032,326,2200002D01RIK,CBX7,0.0048301294
1032,3,2200002D01RIK,MED4,0.0047994084
1032,946,2200002D01RIK,MYC,0.0047792625
1032,73,2200002D01RIK,KAT6B,0.00477471
1032,752,2200002D01RIK,MTF2,0.0047738357
1032,186,2200002D01RIK,XBP1,0.004756168
1032,559,2200002D01RIK,RIF1,0.0047446075
