src_idx,dst_idx,src_gene,dst_gene,score
590,463,MAML3,SLBP,0.9987834
128,189,ADAM17,POLA2,0.9987834
128,463,ADAM17,SLBP,0.9987834
590,189,MAML3,POLA2,0.99878067
128,340,ADAM17,TOP2A,0.9987727
590,546,MAML3,UHRF1,0.9987727
128,546,ADAM17,UHRF1,0.9987727
590,340,MAML3,TOP2A,0.9987727
590,621,MAML3,PLK2,0.99875605
128,499,ADAM17,TIPIN,0.99875605
590,499,MAML3,TIPIN,0.99875605
128,571,ADAM17,DTL,0.9987472
590,519,MAML3,GMNN,0.9987472
590,571,MAML3,DTL,0.9987472
128,519,ADAM17,GMNN,0.9987452
442,400,H1F0,MCM4,0.9987412
517,463,CDK6,SLBP,0.9987379
128,621,ADAM17,PLK2,0.99873585
593,400,ANXA5,MCM4,0.9987342
128,332,ADAM17,CDT1,0.99873406
442,189,H1F0,POLA2,0.99872977
442,463,H1F0,SLBP,0.9987286
517,189,CDK6,POLA2,0.9987264
593,463,ANXA5,SLBP,0.9987264
593,189,ANXA5,POLA2,0.9987263
590,332,MAML3,CDT1,0.99872583
442,333,H1F0,NR3C2,0.99872357
590,580,MAML3,MKI67,0.9987225
128,580,ADAM17,MKI67,0.99872214
593,546,ANXA5,UHRF1,0.9987218
517,340,CDK6,TOP2A,0.99872166
517,546,CDK6,UHRF1,0.9987214
593,340,ANXA5,TOP2A,0.9987214
590,368,MAML3,MCM5,0.9987213
128,368,ADAM17,MCM5,0.9987213
593,332,ANXA5,CDT1,0.99871945
517,499,CDK6,TIPIN,0.99871886
517,332,CDK6,CDT1,0.9987184
593,499,ANXA5,TIPIN,0.9987178
517,621,CDK6,PLK2,0.9987178
593,621,ANXA5,PLK2,0.9987178
590,229,MAML3,MCM7,0.9987173
442,519,H1F0,GMNN,0.99871564
442,571,H1F0,DTL,0.99871564
517,571,CDK6,DTL,0.99871504
517,519,CDK6,GMNN,0.99871504
593,571,ANXA5,DTL,0.99871504
590,333,MAML3,NR3C2,0.9987143
128,333,ADAM17,NR3C2,0.9987143
593,580,ANXA5,MKI67,0.99871397
593,229,ANXA5,MCM7,0.9987129
517,229,CDK6,MCM7,0.99871206
442,546,H1F0,UHRF1,0.9987109
442,229,H1F0,MCM7,0.9987081
593,368,ANXA5,MCM5,0.9987079
517,368,CDK6,MCM5,0.99870753
442,332,H1F0,CDT1,0.9987054
442,621,H1F0,PLK2,0.9987018
442,368,H1F0,MCM5,0.9986981
128,229,ADAM17,MCM7,0.9986846
517,333,CDK6,NR3C2,0.99868006
593,333,ANXA5,NR3C2,0.99868006
442,340,H1F0,TOP2A,0.99867487
517,400,CDK6,MCM4,0.998672
691,546,ESR1,UHRF1,0.9986708
517,580,CDK6,MKI67,0.9986638
442,580,H1F0,MKI67,0.9986505
128,494,ADAM17,PGR,0.99864465
590,494,MAML3,PGR,0.99864465
590,691,MAML3,ESR1,0.9986374
128,691,ADAM17,ESR1,0.9986374
40,189,H2AFY,POLA2,0.9986268
40,463,H2AFY,SLBP,0.9986268
40,340,H2AFY,TOP2A,0.99862385
40,546,H2AFY,UHRF1,0.9986237
40,400,H2AFY,MCM4,0.99862325
691,333,ESR1,NR3C2,0.9986186
580,340,MKI67,TOP2A,0.9986162
40,621,H2AFY,PLK2,0.9986143
40,499,H2AFY,TIPIN,0.99861336
40,332,H2AFY,CDT1,0.9986118
109,189,HMGB2,POLA2,0.9986092
109,463,HMGB2,SLBP,0.99860877
109,400,HMGB2,MCM4,0.9986065
109,340,HMGB2,TOP2A,0.998606
109,546,HMGB2,UHRF1,0.99860114
40,519,H2AFY,GMNN,0.99859744
109,571,HMGB2,DTL,0.99859565
109,499,HMGB2,TIPIN,0.9985946
109,332,HMGB2,CDT1,0.99859387
128,109,ADAM17,HMGB2,0.9985922
590,109,MAML3,HMGB2,0.99858934
40,368,H2AFY,MCM5,0.998587
40,229,H2AFY,MCM7,0.9985831
590,400,MAML3,MCM4,0.9985821
