src_idx,dst_idx,src_gene,dst_gene,score
613,271,GM4759,TIMM29,0.9396573
531,49,ESAM,SERPINB9,0.93746924
536,209,SLA,KPNA3,0.93742883
534,209,MILR1,KPNA3,0.93742883
52,288,NEAT1,TYMS,0.93592566
52,91,NEAT1,UMPS,0.9358578
204,79,STARD7,DEK,0.9354898
204,271,STARD7,TIMM29,0.9352171
531,333,ESAM,GIMAP1,0.9348419
531,566,ESAM,NADK,0.93456864
531,417,ESAM,DHFR,0.9343498
265,288,IGKC,TYMS,0.93420917
531,545,ESAM,ALAS1,0.9341733
613,545,GM4759,ALAS1,0.93397814
385,545,TRP53I11,ALAS1,0.93397814
483,545,F630028O10RIK,ALAS1,0.93397814
460,545,MAGED1,ALAS1,0.93397814
534,545,MILR1,ALAS1,0.93397814
547,545,VPS16,ALAS1,0.93397814
265,545,IGKC,ALAS1,0.93397814
204,545,STARD7,ALAS1,0.93397814
429,545,GT(ROSA)26SOR,ALAS1,0.93397814
52,545,NEAT1,ALAS1,0.93397814
536,545,SLA,ALAS1,0.93397814
606,545,2610035D17RIK,ALAS1,0.93397814
289,545,IGHM,ALAS1,0.93397814
568,545,GIMAP1OS,ALAS1,0.93394166
159,545,TIE1,ALAS1,0.9338925
298,545,SPO11,ALAS1,0.93379986
536,296,SLA,PLAG1,0.9330315
534,296,MILR1,PLAG1,0.9330315
483,296,F630028O10RIK,PLAG1,0.9330315
289,167,IGHM,TBC1D9B,0.93287814
460,79,MAGED1,DEK,0.93255115
298,79,SPO11,DEK,0.9322098
613,79,GM4759,DEK,0.93218297
385,79,TRP53I11,DEK,0.93218297
265,79,IGKC,DEK,0.93218297
52,79,NEAT1,DEK,0.93218297
483,79,F630028O10RIK,DEK,0.93218297
534,79,MILR1,DEK,0.93218297
547,79,VPS16,DEK,0.93218297
606,79,2610035D17RIK,DEK,0.93218297
289,79,IGHM,DEK,0.93218297
568,79,GIMAP1OS,DEK,0.93218297
536,79,SLA,DEK,0.93218297
159,79,TIE1,DEK,0.9320863
154,545,AFAP1L1,ALAS1,0.93167233
606,68,2610035D17RIK,CKAP5,0.93105465
385,95,TRP53I11,PCMTD1,0.9308891
460,518,MAGED1,CNIH1,0.930813
159,253,TIE1,SEH1L,0.930532
483,164,F630028O10RIK,FAM76B,0.93041307
613,164,GM4759,FAM76B,0.93041307
429,164,GT(ROSA)26SOR,FAM76B,0.93041307
289,164,IGHM,FAM76B,0.93041307
52,164,NEAT1,FAM76B,0.93041307
568,164,GIMAP1OS,FAM76B,0.93041307
536,164,SLA,FAM76B,0.93041307
534,164,MILR1,FAM76B,0.93041307
460,164,MAGED1,FAM76B,0.93041307
606,164,2610035D17RIK,FAM76B,0.93041307
298,164,SPO11,FAM76B,0.93041307
265,164,IGKC,FAM76B,0.93041307
204,164,STARD7,FAM76B,0.93041307
547,164,VPS16,FAM76B,0.93041307
429,79,GT(ROSA)26SOR,DEK,0.9303486
52,327,NEAT1,COLGALT1,0.9296296
265,327,IGKC,COLGALT1,0.9296296
204,327,STARD7,COLGALT1,0.9296296
606,327,2610035D17RIK,COLGALT1,0.9296296
531,327,ESAM,COLGALT1,0.9296296
289,327,IGHM,COLGALT1,0.9296296
568,327,GIMAP1OS,COLGALT1,0.9296296
385,327,TRP53I11,COLGALT1,0.9296296
547,327,VPS16,COLGALT1,0.9296296
460,327,MAGED1,COLGALT1,0.9296296
483,327,F630028O10RIK,COLGALT1,0.9296296
613,327,GM4759,COLGALT1,0.92960924
298,486,SPO11,GMNN,0.9294427
265,190,IGKC,RCC1,0.9293905
460,48,MAGED1,LTB,0.9293796
483,48,F630028O10RIK,LTB,0.9293417
606,48,2610035D17RIK,LTB,0.9293417
531,48,ESAM,LTB,0.9293417
298,48,SPO11,LTB,0.9293417
265,48,IGKC,LTB,0.9293417
568,48,GIMAP1OS,LTB,0.9293417
547,48,VPS16,LTB,0.9293417
52,48,NEAT1,LTB,0.9293417
204,48,STARD7,LTB,0.9293417
613,48,GM4759,LTB,0.9293417
385,48,TRP53I11,LTB,0.9293417
289,48,IGHM,LTB,0.9293417
159,48,TIE1,LTB,0.9292619
534,48,MILR1,LTB,0.92920434
536,48,SLA,LTB,0.92920434
568,190,GIMAP1OS,RCC1,0.92920035
568,486,GIMAP1OS,GMNN,0.9291924
534,486,MILR1,GMNN,0.9291924
429,486,GT(ROSA)26SOR,GMNN,0.9291924
204,486,STARD7,GMNN,0.9291924
613,486,GM4759,GMNN,0.9291924
460,486,MAGED1,GMNN,0.9291924
385,486,TRP53I11,GMNN,0.9291924
265,486,IGKC,GMNN,0.9291924
