src_idx,dst_idx,src_gene,dst_gene,score
695,400,1100001G20RIK,TUBA1A,0.84538287
695,583,1100001G20RIK,RPLP1,0.8433421
695,300,1100001G20RIK,EWSR1,0.84113675
695,620,1100001G20RIK,AES,0.8397106
695,613,1100001G20RIK,RPL10A,0.83966607
695,127,1100001G20RIK,BOLA2,0.8394969
695,201,1100001G20RIK,YBX1,0.83594793
695,112,1100001G20RIK,RPL18A,0.83512294
695,734,1100001G20RIK,NDUFA2,0.83427763
695,235,1100001G20RIK,ATP5G3,0.83230966
695,689,1100001G20RIK,MATR3,0.8314282
695,604,1100001G20RIK,CALR,0.8297254
695,254,1100001G20RIK,SEC11C,0.82941747
695,416,1100001G20RIK,ASS1,0.82938415
695,50,1100001G20RIK,SRSF2,0.82938254
695,192,1100001G20RIK,LASS5,0.82938254
695,266,1100001G20RIK,CRIP1,0.82938254
695,298,1100001G20RIK,S100A10,0.82938254
695,431,1100001G20RIK,ACTR2,0.82938254
695,795,1100001G20RIK,TPM4,0.82938254
695,664,1100001G20RIK,RPS17,0.82861483
695,229,1100001G20RIK,RPL11,0.82611084
695,532,1100001G20RIK,RFC1,0.82289135
695,89,1100001G20RIK,MALAT1,0.8212551
695,188,1100001G20RIK,CFL1,0.8212551
695,504,1100001G20RIK,DSTN,0.8212551
695,565,1100001G20RIK,PTP4A2,0.8212551
695,773,1100001G20RIK,GPX4,0.8212551
695,17,1100001G20RIK,RPS5,0.82125497
695,763,1100001G20RIK,NDUFC1,0.8204555
695,720,1100001G20RIK,UQCR11,0.82035667
695,21,1100001G20RIK,ELF2,0.82034224
695,40,1100001G20RIK,PSMA3,0.82034224
695,193,1100001G20RIK,ANXA1,0.82034224
695,222,1100001G20RIK,RPS10,0.82034224
695,321,1100001G20RIK,RPL9,0.82034224
695,334,1100001G20RIK,ARL8B,0.82034224
695,355,1100001G20RIK,WHSC1L1,0.82034224
695,361,1100001G20RIK,SLC25A5,0.82034224
695,377,1100001G20RIK,ATP5F1,0.82034224
695,384,1100001G20RIK,RPS28,0.82034224
695,394,1100001G20RIK,H2-T23,0.82034224
695,421,1100001G20RIK,RPS19,0.82034224
695,452,1100001G20RIK,RFX7,0.82034224
695,457,1100001G20RIK,VAMP8,0.82034224
695,489,1100001G20RIK,ALOX5AP,0.82034224
695,506,1100001G20RIK,RPL32,0.82034224
695,523,1100001G20RIK,RNH1,0.82034224
695,609,1100001G20RIK,RAB32,0.82034224
695,698,1100001G20RIK,FABP5,0.82034224
458,86,1500032L24RIK,RELA,0.9601633
458,240,1500032L24RIK,POLR2A,0.95769
458,557,1500032L24RIK,REL,0.95613146
458,777,1500032L24RIK,MAPK14,0.9552312
458,136,1500032L24RIK,MED1,0.95284474
458,330,1500032L24RIK,VDR,0.9524331
458,769,1500032L24RIK,SMAD2,0.95208555
458,301,1500032L24RIK,TRP53,0.9494649
458,529,1500032L24RIK,MAPK1,0.9459241
458,210,1500032L24RIK,TCF7L2,0.9458845
458,253,1500032L24RIK,ID3,0.9445338
458,353,1500032L24RIK,JUN,0.9421464
458,399,1500032L24RIK,PPP1CA,0.94163066
458,432,1500032L24RIK,TNFAIP3,0.9411116
458,300,1500032L24RIK,EWSR1,0.9408765
458,544,1500032L24RIK,NR3C1,0.9390457
458,774,1500032L24RIK,NCOA3,0.93574846
458,761,1500032L24RIK,NFE2L2,0.9356635
458,393,1500032L24RIK,RBPJ,0.92624927
458,320,1500032L24RIK,TNF,0.92516255
458,605,1500032L24RIK,GTF2I,0.92338485
458,717,1500032L24RIK,MAPK3,0.9223381
458,160,1500032L24RIK,UBC,0.9217041
458,718,1500032L24RIK,DUSP1,0.919498
458,453,1500032L24RIK,NFKBIZ,0.9186178
458,441,1500032L24RIK,RUNX1,0.9157953
458,34,1500032L24RIK,TGIF1,0.91574913
458,43,1500032L24RIK,SMAD4,0.9107089
458,618,1500032L24RIK,IRF5,0.9105279
458,603,1500032L24RIK,STAT1,0.90949076
458,439,1500032L24RIK,ATF2,0.90910923
458,401,1500032L24RIK,HHEX,0.90900093
458,211,1500032L24RIK,BAZ1A,0.9084287
458,810,1500032L24RIK,RNF4,0.9077307
458,650,1500032L24RIK,SMARCC2,0.9061953
458,641,1500032L24RIK,EGR1,0.9058878
458,319,1500032L24RIK,CHD4,0.90588665
458,270,1500032L24RIK,ARID1A,0.90496105
458,525,1500032L24RIK,HIF1A,0.9039094
458,495,1500032L24RIK,NFKB1,0.903294
458,109,1500032L24RIK,FABP4,0.90273947
458,290,1500032L24RIK,MYD88,0.90102667
458,741,1500032L24RIK,CREB3,0.89574194
458,198,1500032L24RIK,CREBBP,0.8929947
458,765,1500032L24RIK,IRF4,0.8928723
458,745,1500032L24RIK,FOS,0.8920576
458,24,1500032L24RIK,MBD2,0.8915296
458,509,1500032L24RIK,PARP1,0.8901303
458,729,1500032L24RIK,CDKN1A,0.88969034
458,497,1500032L24RIK,NFKBIA,0.88954115
231,300,1600029D21RIK,EWSR1,0.84113675
231,201,1600029D21RIK,YBX1,0.83594793
231,112,1600029D21RIK,RPL18A,0.83507895
231,583,1600029D21RIK,RPLP1,0.83507895
231,235,1600029D21RIK,ATP5G3,0.83231115
231,689,1600029D21RIK,MATR3,0.83230966
231,734,1600029D21RIK,NDUFA2,0.8315694
231,400,1600029D21RIK,TUBA1A,0.8299102
231,266,1600029D21RIK,CRIP1,0.82941747
231,23,1600029D21RIK,GSTM1,0.82938254
231,50,1600029D21RIK,SRSF2,0.82938254
231,192,1600029D21RIK,LASS5,0.82938254
231,298,1600029D21RIK,S100A10,0.82938254
231,416,1600029D21RIK,ASS1,0.82938254
231,431,1600029D21RIK,ACTR2,0.82938254
231,532,1600029D21RIK,RFC1,0.82938254
231,604,1600029D21RIK,CALR,0.82938254
231,795,1600029D21RIK,TPM4,0.82938254
231,613,1600029D21RIK,RPL10A,0.8287556
231,664,1600029D21RIK,RPS17,0.82861483
231,523,1600029D21RIK,RNH1,0.8279676
231,254,1600029D21RIK,SEC11C,0.8263118
231,489,1600029D21RIK,ALOX5AP,0.8218209
231,89,1600029D21RIK,MALAT1,0.8212551
231,188,1600029D21RIK,CFL1,0.8212551
231,504,1600029D21RIK,DSTN,0.8212551
231,620,1600029D21RIK,AES,0.8212551
231,773,1600029D21RIK,GPX4,0.8212551
231,17,1600029D21RIK,RPS5,0.82125497
231,565,1600029D21RIK,PTP4A2,0.82120866
231,377,1600029D21RIK,ATP5F1,0.8206109
231,127,1600029D21RIK,BOLA2,0.82047063
231,321,1600029D21RIK,RPL9,0.82047063
231,506,1600029D21RIK,RPL32,0.8203874
231,40,1600029D21RIK,PSMA3,0.82035035
231,334,1600029D21RIK,ARL8B,0.82035035
231,21,1600029D21RIK,ELF2,0.82034224
231,138,1600029D21RIK,NDUFB10,0.82034224
231,193,1600029D21RIK,ANXA1,0.82034224
231,222,1600029D21RIK,RPS10,0.82034224
231,229,1600029D21RIK,RPL11,0.82034224
231,250,1600029D21RIK,EMP3,0.82034224
231,355,1600029D21RIK,WHSC1L1,0.82034224
231,361,1600029D21RIK,SLC25A5,0.82034224
231,384,1600029D21RIK,RPS28,0.82034224
231,394,1600029D21RIK,H2-T23,0.82034224
231,421,1600029D21RIK,RPS19,0.82034224
231,452,1600029D21RIK,RFX7,0.82034224
231,609,1600029D21RIK,RAB32,0.82034224
231,698,1600029D21RIK,FABP5,0.82034224
747,300,1810006K21RIK,EWSR1,0.8411357
747,790,1810006K21RIK,PRDX1,0.8365867
747,201,1810006K21RIK,YBX1,0.83591264
747,40,1810006K21RIK,PSMA3,0.8356942
747,112,1810006K21RIK,RPL18A,0.8350269
747,583,1810006K21RIK,RPLP1,0.8350269
747,689,1810006K21RIK,MATR3,0.8322725
747,235,1810006K21RIK,ATP5G3,0.8319018
747,734,1810006K21RIK,NDUFA2,0.8314784
747,23,1810006K21RIK,GSTM1,0.8293175
747,50,1810006K21RIK,SRSF2,0.8293175
747,192,1810006K21RIK,LASS5,0.8293175
747,254,1810006K21RIK,SEC11C,0.8293175
747,266,1810006K21RIK,CRIP1,0.8293175
747,400,1810006K21RIK,TUBA1A,0.8293175
747,416,1810006K21RIK,ASS1,0.8293175
747,431,1810006K21RIK,ACTR2,0.8293175
747,532,1810006K21RIK,RFC1,0.8293175
747,604,1810006K21RIK,CALR,0.8293175
747,795,1810006K21RIK,TPM4,0.8293175
747,613,1810006K21RIK,RPL10A,0.828686
747,664,1810006K21RIK,RPS17,0.82858026
747,321,1810006K21RIK,RPL9,0.82602894
747,435,1810006K21RIK,COX5A,0.8225159
747,17,1810006K21RIK,RPS5,0.82117313
747,89,1810006K21RIK,MALAT1,0.82117313
747,188,1810006K21RIK,CFL1,0.82117313
747,504,1810006K21RIK,DSTN,0.82117313
747,565,1810006K21RIK,PTP4A2,0.82117313
