src_idx,dst_idx,src_gene,dst_gene,score
46,624,ABCA1,FOXJ2,0.8016408
543,624,ABLIM1,FOXJ2,0.8172782
359,896,ACOX3,TFAP4,0.6425906
555,896,ACTC1,TFAP4,0.6569443
308,624,ADAMTS3,FOXJ2,0.8401289
136,624,AEBP1,FOXJ2,0.8401257
425,624,AES,FOXJ2,0.7946596
678,896,AFF1,TFAP4,0.64260703
538,624,AFF4,FOXJ2,0.6421601
838,896,AGL,TFAP4,0.64260703
727,624,AGPAT5,FOXJ2,0.8193185
842,624,AIP,FOXJ2,0.8265575
177,624,AIRE,FOXJ2,0.8525493
647,624,AK4,FOXJ2,0.8044904
469,624,AKAP2,FOXJ2,0.8497472
763,624,ALCAM,FOXJ2,0.8378091
97,624,ALG6,FOXJ2,0.8198981
782,896,ALPK2,TFAP4,0.64260703
486,896,ALS2CR8,TFAP4,0.6872242
175,624,ALYREF,FOXJ2,0.77764773
440,624,AMIGO2,FOXJ2,0.82237095
72,624,AMN1,FOXJ2,0.8044904
599,624,ANGPT2,FOXJ2,0.819236
491,896,ANKMY2,TFAP4,0.64260703
150,896,ANKRD1,TFAP4,0.8193883
802,896,ANKRD13C,TFAP4,0.64260703
859,624,ANKRD26,FOXJ2,0.80667037
336,624,ANKRD28,FOXJ2,0.80739635
714,624,ANKRD50,FOXJ2,0.80667037
253,624,ANKRD6,FOXJ2,0.7825774
636,896,ANKZF1,TFAP4,0.64260703
271,624,ANXA3,FOXJ2,0.8230191
463,624,APBB1,FOXJ2,0.83844846
906,624,APBB2,FOXJ2,0.83645046
848,624,APC,FOXJ2,0.79754734
829,624,APEX1,FOXJ2,0.82387596
182,624,APLNR,FOXJ2,0.8249921
294,896,APOBEC3C,TFAP4,0.64260703
364,624,APOBEC3G,FOXJ2,0.6582844
121,624,AR,FOXJ2,0.8295088
453,896,ARFGAP3,TFAP4,0.64260703
7,896,ARHGAP28,TFAP4,0.64260703
717,896,ARHGAP29,TFAP4,0.64260703
292,896,ARHGAP42,TFAP4,0.64260703
800,624,ARID3A,FOXJ2,0.8246319
704,896,ARID3B,TFAP4,0.64260703
694,624,ARID4B,FOXJ2,0.8425528
199,624,ARID5B,FOXJ2,0.7501064
434,624,ARL4A,FOXJ2,0.8029624
756,624,ARL4D,FOXJ2,0.6426683
146,896,ARNT2,TFAP4,0.81904274
180,896,ASB4,TFAP4,0.64260703
92,624,ASB9,FOXJ2,0.8236445
692,896,ASH2L,TFAP4,0.6404898
764,624,ASNS,FOXJ2,0.83740187
166,624,ASS1,FOXJ2,0.82784647
393,624,ASXL1,FOXJ2,0.8066879
539,624,ATF6,FOXJ2,0.64851844
499,896,ATG4C,TFAP4,0.6426878
854,624,ATP11B,FOXJ2,0.80667037
355,624,ATP2B4,FOXJ2,0.8250587
732,624,ATRX,FOXJ2,0.8454157
572,896,B3GNT5,TFAP4,0.642372
98,624,B4GALT4,FOXJ2,0.81634504
574,624,BAG3,FOXJ2,0.82237095
302,896,BAMBI,TFAP4,0.8159312
639,624,BARX2,FOXJ2,0.6622139
88,624,BCAR3,FOXJ2,0.82591647
206,624,BCL11A,FOXJ2,0.84593076
510,896,BCL11B,TFAP4,0.64260703
224,624,BCLAF1,FOXJ2,0.6432958
273,624,BHLHE40,FOXJ2,0.7870164
660,624,BLM,FOXJ2,0.8439559
269,624,BMP2,FOXJ2,0.83701223
720,896,BMP4,TFAP4,0.64260703
657,624,BMPER,FOXJ2,0.80885965
200,624,BMPR1A,FOXJ2,0.830063
387,624,BNIP3,FOXJ2,0.8044904
885,624,BRWD1,FOXJ2,0.8134535
853,896,BTBD10,TFAP4,0.64260703
642,385,BTF3,CUX1,0.7910495
20,624,BTG2,FOXJ2,0.82107747
719,624,BUB1B,FOXJ2,0.84459203
352,896,C11orf46,TFAP4,0.64260703
810,896,C11orf82,TFAP4,0.64260703
656,624,C12orf23,FOXJ2,0.81478655
731,896,C3orf14,TFAP4,0.6430168
1,896,C4orf46,TFAP4,0.6425564
733,624,CA14,FOXJ2,0.842419
863,624,CA2,FOXJ2,0.85731894
226,896,CALB1,TFAP4,0.6425906
370,624,CALCOCO1,FOXJ2,0.82501054
516,624,CAMK2D,FOXJ2,0.8240027
36,896,CAP2,TFAP4,0.64260703
787,624,CASD1,FOXJ2,0.81478655
300,624,CBFA2T2,FOXJ2,0.84360063
546,624,CBR1,FOXJ2,0.66137487
80,624,CBX3,FOXJ2,0.84594566
653,896,CCDC138,TFAP4,0.6425564
598,624,CCDC141,FOXJ2,0.84374785
551,896,CCDC80,TFAP4,0.64260703
557,896,CCDC81,TFAP4,0.6569443
588,624,CCDC82,FOXJ2,0.814864
446,624,CCKBR,FOXJ2,0.8083572
266,624,CCNA2,FOXJ2,0.8412711
793,624,CCNB2,FOXJ2,0.84871334
795,624,CCND1,FOXJ2,0.8452275
241,624,CCNE2,FOXJ2,0.8329527
315,896,CCPG1,TFAP4,0.64260703
201,896,CD200,TFAP4,0.64260703
395,896,CD48,TFAP4,0.64262193
392,624,CD9,FOXJ2,0.80667037
351,624,CDC20,FOXJ2,0.81101745
116,624,CDC7,FOXJ2,0.8465712
493,624,CDCA2,FOXJ2,0.8386638
28,624,CDCA7L,FOXJ2,0.82237095
324,896,CDCA8,TFAP4,0.64260703
893,624,CDH11,FOXJ2,0.8098882
190,624,CDK6,FOXJ2,0.82772034
184,624,CEBPZ,FOXJ2,0.8496565
725,896,CENPK,TFAP4,0.64260703
122,896,CEP290,TFAP4,0.64260703
232,624,CEP55,FOXJ2,0.82284075
134,624,CEP85L,FOXJ2,0.8476857
321,896,CER1,TFAP4,0.64260703
865,624,CHAF1A,FOXJ2,0.8490943
884,624,CHEK2,FOXJ2,0.82646394
15,624,CHL1,FOXJ2,0.80803466
366,624,CIITA,FOXJ2,0.8495461
566,624,CITED2,FOXJ2,0.8462658
314,624,CLDN10,FOXJ2,0.8249921
672,896,CLDN11,TFAP4,0.6425564
368,624,CLGN,FOXJ2,0.6775948
286,896,CNBP,TFAP4,0.64260703
617,624,CNKSR3,FOXJ2,0.82918864
715,896,CNTRL,TFAP4,0.6425564
11,624,COBLL1,FOXJ2,0.65780336
807,624,COL1A2,FOXJ2,0.7165428
723,624,COL4A1,FOXJ2,0.7085871
603,624,COL4A6,FOXJ2,0.8523687
831,624,COL5A1,FOXJ2,0.8101423
67,896,COL5A2,TFAP4,0.6427689
601,624,COLEC12,FOXJ2,0.6459571
316,896,COMMD10,TFAP4,0.64260703
277,624,CPE,FOXJ2,0.8247834
133,896,CPVL,TFAP4,0.64260703
662,624,CRABP2,FOXJ2,0.81259954
222,624,CREB3L2,FOXJ2,0.78377706
367,624,CREB3L4,FOXJ2,0.8001268
191,624,CRHBP,FOXJ2,0.84818804
748,896,CRX,TFAP4,0.6535212
841,624,CSDE1,FOXJ2,0.85487115
439,624,CSRP2,FOXJ2,0.818787
40,624,CTBP1,FOXJ2,0.80711824
377,624,CTNNB1,FOXJ2,0.79565704
318,624,CTSK,FOXJ2,0.8111354
258,624,CUL1,FOXJ2,0.82842326
385,624,CUX1,FOXJ2,0.73764974
850,896,CXXC1,TFAP4,0.64260703
752,896,CYP1B1,TFAP4,0.8101995
58,378,CYP26A1,MITF,0.85224783
760,624,DAAM1,FOXJ2,0.83281755
615,624,DAB2,FOXJ2,0.8179852
361,624,DACH1,FOXJ2,0.8497472
27,624,DAXX,FOXJ2,0.83469063
22,896,DCAF6,TFAP4,0.8120915
880,624,DCLK1,FOXJ2,0.80885965
658,624,DDAH1,FOXJ2,0.82237095
13,624,DDHD2,FOXJ2,0.82237095
905,626,DDX54,LMO2,0.8530524
875,896,DECR1,TFAP4,0.82006043
328,896,DEDD2,TFAP4,0.6427661
801,624,DEK,FOXJ2,0.85926634
229,624,DEPDC1B,FOXJ2,0.84818745
