src_idx,dst_idx,src_gene,dst_gene,score
940,1057,AADAT,EGLN1,0.93735695
1066,657,AARS,PSMD9,0.92959857
1013,1033,ABCA1,EWSR1,0.9951611
1326,612,ABLIM1,TP53,0.95212555
1234,1052,ACAD8,REL,0.93235874
1335,612,ACBD3,TP53,0.935694
1273,657,ACBD6,PSMD9,0.92845225
1014,36,ACOX3,AR,0.9387002
1251,1072,ACSS3,TLR7,0.9179504
1208,609,ACTC1,BMP4,0.97286206
222,968,ACTL6A,PURA,0.99440444
434,657,ADAMTS3,PSMD9,0.92959857
794,657,ADD2,PSMD9,0.92959857
1283,512,ADSS,TFAP2A,0.9895577
597,657,AEBP1,PSMD9,0.92959857
534,32,AES,EGF,0.97832674
403,1033,AFF1,EWSR1,0.99581355
1182,1033,AFF4,EWSR1,0.99851006
721,1052,AGL,REL,0.93362474
627,769,AGPAT5,HIF1A,0.9281899
27,657,AHNAK,PSMD9,0.92956436
758,462,AHSA2,IRF1,0.93183357
1109,769,AIF1L,HIF1A,0.9281899
1198,657,AIP,PSMD9,0.92959857
857,1186,AIRE,COMMD3,0.9390251
703,657,AK4,PSMD9,0.929562
836,769,AKAP1,HIF1A,0.9282437
52,834,AKAP2,TRAF6,0.9312467
81,769,ALCAM,HIF1A,0.93418247
1107,769,ALDH18A1,HIF1A,0.93420285
832,657,ALDH2,PSMD9,0.92946815
724,1033,ALDOC,EWSR1,0.9965963
478,462,ALG6,IRF1,0.93183357
921,657,ALPK2,PSMD9,0.9295099
1334,657,ALS2CR8,PSMD9,0.9292862
853,346,ALYREF,SNRPD1,0.99731463
31,657,AMIGO2,PSMD9,0.92959857
1111,657,AMN1,PSMD9,0.94340235
238,657,ANGPT2,PSMD9,0.9290647
259,657,ANKMY2,PSMD9,0.92959857
983,512,ANKRD1,TFAP2A,0.99366945
80,657,ANKRD13A,PSMD9,0.92959857
701,657,ANKRD13C,PSMD9,0.92954046
1193,657,ANKRD18B,PSMD9,0.9323027
1263,657,ANKRD26,PSMD9,0.92959857
1244,657,ANKRD28,PSMD9,0.92959857
1010,769,ANKRD44,HIF1A,0.9340774
114,657,ANKRD50,PSMD9,0.92959857
652,657,ANKRD6,PSMD9,0.92959857
1049,657,ANKZF1,PSMD9,0.9296112
231,612,ANXA3,TP53,0.9190172
496,657,AP1M2,PSMD9,0.92959857
899,512,APBB1,TFAP2A,0.9865021
809,657,APBB2,PSMD9,0.92959857
253,36,APC,AR,0.9910211
456,968,APEX1,PURA,0.9938938
96,600,APLNR,SRC,0.9347544
324,1364,APOBEC3C,POLR2K,0.99877816
1091,657,APOBEC3G,PSMD9,0.92959857
36,612,AR,TP53,0.9804419
92,462,ARFGAP3,IRF1,0.9527636
200,612,ARHGAP28,TP53,0.95840144
1094,657,ARHGAP29,PSMD9,0.92959857
781,657,ARHGAP42,PSMD9,0.92949706
777,612,ARID3A,TP53,0.9897077
575,769,ARID3B,HIF1A,0.9281102
372,47,ARID4B,RFC3,0.9920036
553,657,ARID5B,PSMD9,0.92959857
1145,36,ARL4A,AR,0.91625994
912,657,ARL4D,PSMD9,0.92959857
1,612,ARMC4,TP53,0.9282888
856,512,ARNT2,TFAP2A,0.99235064
1341,462,ARRB1,IRF1,0.9853795
1007,361,ARSE,MAPK10,0.9731915
261,79,ASB4,HIF3A,0.9914415
135,1240,ASB9,COMMD10,0.9944366
848,879,ASH2L,SOX2,0.99733514
638,657,ASNS,PSMD9,0.92959857
99,769,ASS1,HIF1A,0.9283192
1254,1027,ASXL1,POLR2A,0.99710435
589,657,ATF6,PSMD9,0.92959857
479,462,ATG4C,IRF1,0.93183357
232,385,ATP11B,DNMT3A,0.98667985
180,512,ATP11C,TFAP2A,0.99254495
63,769,ATP2B4,HIF1A,0.9348605
394,1052,ATRNL1,REL,0.9357844
505,47,ATRX,RFC3,0.9909875
1248,753,AURKB,DNAJC9,0.9956424
175,657,B3GNT5,PSMD9,0.92959857
91,657,B4GALT4,PSMD9,0.92959857
60,657,BAG3,PSMD9,0.92959857
254,361,BAMBI,MAPK10,0.9779153
464,657,BARX2,PSMD9,0.92959857
887,612,BBIP1,TP53,0.93075323
541,1052,BBS2,REL,0.9466148
471,462,BBS4,IRF1,0.9317411
481,657,BCAR3,PSMD9,0.93017024
357,1364,BCAS2,POLR2K,0.99874216
774,36,BCAT2,AR,0.9387002
996,695,BCL11A,MBIP,0.99451727
85,879,BCL11B,SOX2,0.99246407
386,600,BCLAF1,SRC,0.9347544
1400,657,BEND3,PSMD9,0.9295901
749,657,BET1,PSMD9,0.929562
1173,609,BEX2,BMP4,0.97775227
984,657,BHLHB9,PSMD9,0.93017024
849,1052,BHLHE40,REL,0.9893054
410,292,BLM,MCM7,0.99528897
202,660,BMP2,SMAD5,0.9723059
609,660,BMP4,SMAD5,0.9770184
905,609,BMPER,BMP4,0.9703542
44,660,BMPR1A,SMAD5,0.97248423
398,612,BNIP3,TP53,0.98860604
