src_idx,dst_idx,src_gene,dst_gene,score
70,1372,TFAP2A,HCFC1,0.97588944
70,1033,TFAP2A,DLGAP5,0.97583187
70,1150,TFAP2A,ITCH,0.97377914
70,832,TFAP2A,QPCT,0.97377914
70,512,TFAP2A,RBBP8,0.9737265
70,1236,TFAP2A,ZNF488,0.97337985
70,447,TFAP2A,PELI2,0.9718079
70,1343,TFAP2A,ITGA6,0.971675
70,85,TFAP2A,TBX20,0.9716161
70,839,TFAP2A,PRPS2,0.97161496
70,910,TFAP2A,TMLHE,0.97161496
70,184,TFAP2A,GPC3,0.97161496
70,200,TFAP2A,B3GNT5,0.97161496
70,1093,TFAP2A,LIMD1,0.97161496
70,1096,TFAP2A,INPP4A,0.97161496
70,690,TFAP2A,FREM1,0.97161496
70,838,TFAP2A,SFRP1,0.97161496
70,236,TFAP2A,FZD5,0.97161496
70,239,TFAP2A,ARMC4,0.97161496
70,1312,TFAP2A,NFIB,0.97161496
70,252,TFAP2A,STK3,0.97161496
70,259,TFAP2A,STX17,0.97161496
70,281,TFAP2A,LMO3,0.97161496
70,718,TFAP2A,UNC5C,0.97161496
70,1275,TFAP2A,SOX3,0.97161496
70,129,TFAP2A,UBTF,0.97161496
70,145,TFAP2A,COL11A1,0.97161496
70,1113,TFAP2A,APOBEC3C,0.97161496
70,863,TFAP2A,FUT8,0.97161496
70,13,TFAP2A,IGDCC4,0.97161496
70,900,TFAP2A,BNIP3,0.97161496
70,1209,TFAP2A,MCM6,0.97161496
70,1226,TFAP2A,STXBP5,0.97161496
70,856,TFAP2A,IAH1,0.97161496
70,1112,TFAP2A,RSPO3,0.97161496
70,908,TFAP2A,DPF2,0.97161496
70,1203,TFAP2A,PABPC4L,0.97161496
70,671,TFAP2A,MME,0.97161496
70,99,TFAP2A,ZNF471,0.97161496
70,101,TFAP2A,CDH11,0.97161496
70,675,TFAP2A,TRAF5,0.97161496
70,124,TFAP2A,SLC16A2,0.97161496
70,302,TFAP2A,FZD7,0.97161496
70,882,TFAP2A,MAGEH1,0.97161496
70,337,TFAP2A,CHL1,0.97161496
70,965,TFAP2A,BMP2,0.97161496
70,1026,TFAP2A,NXT2,0.97161496
70,1360,TFAP2A,KIF11,0.97161496
70,736,TFAP2A,ZNF93,0.97161496
70,1356,TFAP2A,NLRP2,0.97161496
