src_idx,dst_idx,src_gene,dst_gene,score
134,189,CD44,POLA2,0.9877275
134,571,CD44,DTL,0.9875152
134,148,CD44,GATA2,0.98744524
134,499,CD44,TIPIN,0.98732865
593,571,ANXA5,DTL,0.98719925
134,690,CD44,IKZF1,0.98712265
593,499,ANXA5,TIPIN,0.98705775
134,332,CD44,CDT1,0.9870396
134,463,CD44,SLBP,0.987009
134,617,CD44,RUNX1T1,0.98699737
134,245,CD44,CD53,0.98699147
134,674,CD44,ITGB2,0.98699147
134,651,CD44,MPO,0.98699147
134,607,CD44,FLT3,0.98699147
134,115,CD44,ITGAM,0.98699147
593,148,ANXA5,GATA2,0.98698354
134,195,CD44,PLEK,0.9869544
593,189,ANXA5,POLA2,0.98667693
593,332,ANXA5,CDT1,0.9866716
593,463,ANXA5,SLBP,0.98664385
593,550,ANXA5,PRIM1,0.98664385
134,517,CD44,CDK6,0.98657703
134,436,CD44,IRF8,0.9865443
134,229,CD44,MCM7,0.98654073
593,690,ANXA5,IKZF1,0.9865139
593,651,ANXA5,MPO,0.9864672
593,674,ANXA5,ITGB2,0.9864672
593,195,ANXA5,PLEK,0.9864672
593,607,ANXA5,FLT3,0.9864672
593,115,ANXA5,ITGAM,0.9864616
593,245,ANXA5,CD53,0.98645884
134,109,CD44,HMGB2,0.9864088
134,550,CD44,PRIM1,0.98639864
134,593,CD44,ANXA5,0.9862829
134,519,CD44,GMNN,0.98626685
134,133,CD44,NCAPD2,0.98626685
134,40,CD44,H2AFY,0.9861665
134,208,CD44,MLLT3,0.98611635
593,134,ANXA5,CD44,0.9860955
134,583,CD44,HOXA9,0.98599887
593,436,ANXA5,IRF8,0.98596245
593,133,ANXA5,NCAPD2,0.9859244
593,517,ANXA5,CDK6,0.985912
134,400,CD44,MCM4,0.98591113
436,332,IRF8,CDT1,0.9858349
580,189,MKI67,POLA2,0.9857503
580,332,MKI67,CDT1,0.9857503
593,208,ANXA5,MLLT3,0.98567295
235,332,OTUB2,CDT1,0.9856296
235,189,OTUB2,POLA2,0.9856296
