src_idx,dst_idx,src_gene,dst_gene,score
396,121,ID3,AR,0.84114414
189,609,FBXO5,NR3C1,0.840533
163,609,GABRB2,NR3C1,0.84010834
568,609,MLLT6,NR3C1,0.83916724
163,121,GABRB2,AR,0.8372036
396,35,ID3,FOXP1,0.8371673
391,609,RIOK1,NR3C1,0.8368286
69,609,IRF1,NR3C1,0.8359257
568,121,MLLT6,AR,0.8358894
391,121,RIOK1,AR,0.83341706
163,35,GABRB2,FOXP1,0.8333999
189,330,FBXO5,TP53,0.8333405
163,330,GABRB2,TP53,0.83308536
69,121,IRF1,AR,0.8330331
30,609,NHLH2,NR3C1,0.83231777
568,35,MLLT6,FOXP1,0.83217674
568,330,MLLT6,TP53,0.83155096
872,609,FEZ1,NR3C1,0.8314181
553,609,POU2F1,NR3C1,0.83046675
348,609,GRPR,NR3C1,0.8300502
391,35,RIOK1,FOXP1,0.8296464
69,330,IRF1,TP53,0.8291091
391,330,RIOK1,TP53,0.8289879
30,121,NHLH2,AR,0.828958
69,35,IRF1,FOXP1,0.82877594
585,609,NFYB,NR3C1,0.82851535
565,121,LMO3,AR,0.82807946
872,121,FEZ1,AR,0.8276532
553,121,POU2F1,AR,0.82721037
834,609,POLR2D,NR3C1,0.8262534
396,330,ID3,TP53,0.8259029
494,609,GATA3,NR3C1,0.82578003
396,455,ID3,MCM3,0.82521486
30,35,NHLH2,FOXP1,0.8251654
330,609,TP53,NR3C1,0.8250459
348,121,GRPR,AR,0.82503885
801,609,DEK,NR3C1,0.8248265
163,896,GABRB2,TFAP4,0.8247452
585,121,NFYB,AR,0.8246429
565,609,LMO3,NR3C1,0.82454634
30,330,NHLH2,TP53,0.82453436
163,544,GABRB2,TLE1,0.8244142
565,330,LMO3,TP53,0.82394356
565,35,LMO3,FOXP1,0.82378656
540,609,MSANTD3-TMEFF1,NR3C1,0.8237337
189,544,FBXO5,TLE1,0.82372034
588,609,CCDC82,NR3C1,0.82369906
671,609,LRAT,NR3C1,0.8236594
598,609,CCDC141,NR3C1,0.8236335
189,896,FBXO5,TFAP4,0.8236199
