src_idx,dst_idx,src_gene,dst_gene,score
506,357,PRIM1,SYK,0.9683926
145,530,HMGB2,IKZF1,0.96697223
506,530,PRIM1,IKZF1,0.96526295
96,530,SLBP,IKZF1,0.965131
257,145,UHRF1,HMGB2,0.9646063
506,213,PRIM1,MCM4,0.9645159
96,213,SLBP,MCM4,0.96451426
257,213,UHRF1,MCM4,0.964278
257,506,UHRF1,PRIM1,0.9642517
131,257,CKS1B,UHRF1,0.96423477
145,320,HMGB2,MYC,0.9641827
131,96,CKS1B,SLBP,0.9641422
131,506,CKS1B,PRIM1,0.9641422
131,320,CKS1B,MYC,0.96372885
257,320,UHRF1,MYC,0.9635238
257,324,UHRF1,REL,0.9634738
131,145,CKS1B,HMGB2,0.9634635
145,506,HMGB2,PRIM1,0.96345645
145,96,HMGB2,SLBP,0.96344846
506,145,PRIM1,HMGB2,0.963381
96,145,SLBP,HMGB2,0.963381
145,257,HMGB2,UHRF1,0.96338
506,416,PRIM1,GATA2,0.9632222
257,416,UHRF1,GATA2,0.96317023
506,459,PRIM1,IRF8,0.96313506
96,459,SLBP,IRF8,0.96313506
145,213,HMGB2,MCM4,0.9630996
145,324,HMGB2,REL,0.9630158
131,213,CKS1B,MCM4,0.9629973
506,257,PRIM1,UHRF1,0.9629826
96,257,SLBP,UHRF1,0.96291167
506,68,PRIM1,MKI67,0.96290195
131,426,CKS1B,NDN,0.9628888
96,68,SLBP,MKI67,0.96287626
257,459,UHRF1,IRF8,0.96273804
257,131,UHRF1,CKS1B,0.96266645
96,131,SLBP,CKS1B,0.96264136
506,131,PRIM1,CKS1B,0.96264136
131,530,CKS1B,IKZF1,0.96261406
213,357,MCM4,SYK,0.96250683
251,131,NR3C2,CKS1B,0.96248925
257,68,UHRF1,MKI67,0.96241164
131,324,CKS1B,REL,0.96235293
216,357,MCM7,SYK,0.96220684
145,416,HMGB2,GATA2,0.96215403
213,530,MCM4,IKZF1,0.9620129
233,530,NOTCH1,IKZF1,0.96193993
145,459,HMGB2,IRF8,0.96193135
506,96,PRIM1,SLBP,0.96183056
96,506,SLBP,PRIM1,0.96183056
145,131,HMGB2,CKS1B,0.96165293
506,216,PRIM1,MCM7,0.961624
96,216,SLBP,MCM7,0.961624
131,357,CKS1B,SYK,0.96150994
216,506,MCM7,PRIM1,0.9614499
506,233,PRIM1,NOTCH1,0.9612722
145,68,HMGB2,MKI67,0.96125025
131,233,CKS1B,NOTCH1,0.96116436
131,416,CKS1B,GATA2,0.9609893
257,530,UHRF1,IKZF1,0.9609593
131,68,CKS1B,MKI67,0.9609403
233,459,NOTCH1,IRF8,0.96091026
96,320,SLBP,MYC,0.9608926
506,320,PRIM1,MYC,0.9608926
216,530,MCM7,IKZF1,0.9607913
216,145,MCM7,HMGB2,0.9607848
96,324,SLBP,REL,0.9607648
506,324,PRIM1,REL,0.9607648
216,257,MCM7,UHRF1,0.9607641
213,506,MCM4,PRIM1,0.96066856
96,379,SLBP,BCL2,0.96055526
506,379,PRIM1,BCL2,0.96055526
96,416,SLBP,GATA2,0.9603138
216,213,MCM7,MCM4,0.9602293
96,42,SLBP,DACH1,0.960222
506,42,PRIM1,DACH1,0.960222
96,357,SLBP,SYK,0.960222
213,145,MCM4,HMGB2,0.9601906
213,257,MCM4,UHRF1,0.9601272
68,145,MKI67,HMGB2,0.9599205
257,216,UHRF1,MCM7,0.9598812
257,42,UHRF1,DACH1,0.9597772
213,459,MCM4,IRF8,0.9597266
257,357,UHRF1,SYK,0.9596915
426,416,NDN,GATA2,0.95965225
68,96,MKI67,SLBP,0.95956177
506,60,PRIM1,CDT1,0.95951205
96,60,SLBP,CDT1,0.95951205
68,506,MKI67,PRIM1,0.9595096
426,145,NDN,HMGB2,0.9594417
68,530,MKI67,IKZF1,0.95935196
131,459,CKS1B,IRF8,0.9593274
96,351,SLBP,PIRB,0.95918435
506,351,PRIM1,PIRB,0.95918435
145,42,HMGB2,DACH1,0.9590921
145,357,HMGB2,SYK,0.9590921
506,525,PRIM1,CD44,0.959064
96,525,SLBP,CD44,0.959064
257,379,UHRF1,BCL2,0.9590147
426,257,NDN,UHRF1,0.9589912
251,530,NR3C2,IKZF1,0.95897883
68,324,MKI67,REL,0.95891964
68,257,MKI67,UHRF1,0.9587594
213,416,MCM4,GATA2,0.9587393
426,506,NDN,PRIM1,0.9587007
251,416,NR3C2,GATA2,0.95866156
216,131,MCM7,CKS1B,0.95855904
426,357,NDN,SYK,0.9584811
68,213,MKI67,MCM4,0.95821786
96,550,SLBP,SPI1,0.95810217
426,96,NDN,SLBP,0.9580783
213,131,MCM4,CKS1B,0.95807755
257,233,UHRF1,NOTCH1,0.95807534
216,68,MCM7,MKI67,0.95805085
145,379,HMGB2,BCL2,0.9578658
257,442,UHRF1,HLF,0.95786214
257,466,UHRF1,CCNG2,0.95786214
257,39,UHRF1,CDK6,0.95786214
213,68,MCM4,MKI67,0.9577703
131,42,CKS1B,DACH1,0.9576437
216,324,MCM7,REL,0.9575664
145,216,HMGB2,MCM7,0.9574973
257,426,UHRF1,NDN,0.95748156
216,416,MCM7,GATA2,0.95743555
506,531,PRIM1,FLT3,0.9573764
96,531,SLBP,FLT3,0.9573711
213,324,MCM4,REL,0.95735216
103,459,EMP1,IRF8,0.95732063
426,131,NDN,CKS1B,0.9571986
506,442,PRIM1,HLF,0.95711136
506,466,PRIM1,CCNG2,0.9571109
96,39,SLBP,CDK6,0.9571109
96,442,SLBP,HLF,0.9571109
251,459,NR3C2,IRF8,0.9570899
145,426,HMGB2,NDN,0.9570816
257,267,UHRF1,SLC2A3,0.95707256
60,320,CDT1,MYC,0.9570349
233,213,NOTCH1,MCM4,0.9570266
233,379,NOTCH1,BCL2,0.95695424
286,416,PF4,GATA2,0.9567463
426,213,NDN,MCM4,0.95664406
257,525,UHRF1,CD44,0.95658034
146,459,KCTD12,IRF8,0.95655525
506,426,PRIM1,NDN,0.9564894
96,426,SLBP,NDN,0.9564894
251,68,NR3C2,MKI67,0.9564885
145,466,HMGB2,CCNG2,0.95647556
145,442,HMGB2,HLF,0.95647556
145,39,HMGB2,CDK6,0.95639235
68,131,MKI67,CKS1B,0.9563375
233,68,NOTCH1,MKI67,0.95625496
145,233,HMGB2,NOTCH1,0.95624787
233,324,NOTCH1,REL,0.9562298
426,42,NDN,DACH1,0.9562191
251,145,NR3C2,HMGB2,0.95616406
131,39,CKS1B,CDK6,0.95612735
131,466,CKS1B,CCNG2,0.95612735
233,416,NOTCH1,GATA2,0.9561027
131,216,CKS1B,MCM7,0.9560526
483,506,2810468N07RIK,PRIM1,0.9560391
96,267,SLBP,SLC2A3,0.9560333
506,267,PRIM1,SLC2A3,0.9560333
216,459,MCM7,IRF8,0.9560224
68,459,MKI67,IRF8,0.95598394
