src_idx,dst_idx,src_gene,dst_gene,score
178,543,SPI1,WDHD1,0.93086475
178,154,SPI1,SERPINB9,0.92906296
274,154,ESR1,SERPINB9,0.9285503
12,389,MYC,FZR1,0.92645705
12,395,MYC,PSEN2,0.9233903
178,395,SPI1,PSEN2,0.92325896
12,66,MYC,CDC20,0.9224902
178,66,SPI1,CDC20,0.922362
12,56,MYC,HAUS2,0.9215553
178,56,SPI1,HAUS2,0.92144656
12,265,MYC,ZFP110,0.92136395
178,265,SPI1,ZFP110,0.92125845
12,154,MYC,SERPINB9,0.92054164
12,98,MYC,NFAT5,0.9199565
178,98,SPI1,NFAT5,0.9198405
12,144,MYC,NARFL,0.9193926
178,144,SPI1,NARFL,0.91926193
12,307,MYC,TMX3,0.9190029
12,185,MYC,BATF2,0.9189996
178,307,SPI1,TMX3,0.9188982
12,252,MYC,SRSF1,0.91888654
12,32,MYC,TCP11L2,0.91888523
178,252,SPI1,SRSF1,0.91883993
12,313,MYC,CUL4A,0.91869754
178,185,SPI1,BATF2,0.91853124
12,643,MYC,AURKA,0.91789776
12,259,MYC,CYB5R3,0.9178278
178,259,SPI1,CYB5R3,0.91772497
178,643,SPI1,AURKA,0.91767806
12,697,MYC,HSPH1,0.91746485
178,697,SPI1,HSPH1,0.917334
274,66,ESR1,CDC20,0.91702366
178,32,SPI1,TCP11L2,0.91701764
274,98,ESR1,NFAT5,0.91696537
12,68,MYC,OASL2,0.9166519
12,403,MYC,CLCN4,0.91655195
178,389,SPI1,FZR1,0.9165251
178,403,SPI1,CLCN4,0.9164294
12,302,MYC,FKBP1A,0.915806
178,302,SPI1,FKBP1A,0.9157466
12,662,MYC,ASB8,0.915285
178,662,SPI1,ASB8,0.9151757
12,218,MYC,JARID2,0.9151543
178,218,SPI1,JARID2,0.91505545
97,185,STAT3,BATF2,0.914549
12,219,MYC,MCM7,0.91451615
178,219,SPI1,MCM7,0.9139981
12,348,MYC,DNAJC11,0.9135288
178,348,SPI1,DNAJC11,0.9134342
12,543,MYC,WDHD1,0.91340345
