src_idx,dst_idx,src_gene,dst_gene,score
124,569,1700017B05RIK,METAP1,0.0021622633
124,325,1700017B05RIK,MYCT1,0.0021536548
124,387,1700017B05RIK,FOXO1,0.0020468992
124,592,1700017B05RIK,MAML3,0.0020423275
124,480,1700017B05RIK,ATF7,0.0020375184
124,516,1700017B05RIK,RAD51,0.0020300613
124,71,1700017B05RIK,SESN1,0.0020103105
124,176,1700017B05RIK,ITSN1,0.001996348
124,181,1700017B05RIK,HDGF,0.001981767
124,66,1700017B05RIK,DNM1L,0.0019742064
124,594,1700017B05RIK,FIGNL1,0.0019731582
124,296,1700017B05RIK,PLAG1,0.001962342
124,621,1700017B05RIK,MCM7,0.001962329
124,528,1700017B05RIK,TMEM43,0.0019548908
124,541,1700017B05RIK,HK3,0.0019447653
124,0,1700017B05RIK,NFAT5,0.001944658
124,62,1700017B05RIK,CALCRL,0.0019442805
124,459,1700017B05RIK,POLR1B,0.0019395069
124,152,1700017B05RIK,CTC1,0.0019383295
124,162,1700017B05RIK,IPO9,0.0019324843
124,80,1700017B05RIK,RPA1,0.0019321376
124,417,1700017B05RIK,DHFR,0.0019318517
124,190,1700017B05RIK,RCC1,0.0019307258
124,428,1700017B05RIK,SETD2,0.0019298834
124,611,1700017B05RIK,TMEM229B,0.0019282767
124,205,1700017B05RIK,TACC3,0.0019229485
124,117,1700017B05RIK,SRSF1,0.0019224582
124,369,1700017B05RIK,RANGAP1,0.001917292
124,442,1700017B05RIK,OASL2,0.0019161928
124,252,1700017B05RIK,TFG,0.0019141218
124,53,1700017B05RIK,ADO,0.0019135444
124,505,1700017B05RIK,MIS18BP1,0.0019125539
124,359,1700017B05RIK,INPP5B,0.0019117201
124,437,1700017B05RIK,DHX33,0.0019098788
124,620,1700017B05RIK,RPP40,0.0019070384
124,126,1700017B05RIK,SLC18A2,0.0019044634
124,408,1700017B05RIK,MTMR6,0.0018975051
124,596,1700017B05RIK,DNAJC5,0.0018941893
124,323,1700017B05RIK,GMFB,0.0018926654
124,545,1700017B05RIK,ALAS1,0.0018910384
124,327,1700017B05RIK,COLGALT1,0.001890359
124,43,1700017B05RIK,ARL6IP6,0.0018877877
124,544,1700017B05RIK,KCTD12,0.0018870358
124,526,1700017B05RIK,DNAJC11,0.0018857617
124,465,1700017B05RIK,RORA,0.0018838869
124,485,1700017B05RIK,RGS1,0.0018838592
124,593,1700017B05RIK,CTLA2A,0.0018800577
124,45,1700017B05RIK,PTGR1,0.0018797608
124,214,1700017B05RIK,PTTG1IP,0.0018787392
124,271,1700017B05RIK,TIMM29,0.0018777498
606,569,2610035D17RIK,METAP1,0.99152714
606,403,2610035D17RIK,MFSD1,0.9915202
606,325,2610035D17RIK,MYCT1,0.99134904
606,135,2610035D17RIK,RP2,0.9910046
606,194,2610035D17RIK,SAMD9L,0.99063665
606,592,2610035D17RIK,MAML3,0.99060494
606,480,2610035D17RIK,ATF7,0.99055696
606,541,2610035D17RIK,HK3,0.9905184
606,362,2610035D17RIK,PRODH,0.99037445
606,476,2610035D17RIK,MOB3C,0.9902238
606,71,2610035D17RIK,SESN1,0.99008054
606,176,2610035D17RIK,ITSN1,0.98985684
606,594,2610035D17RIK,FIGNL1,0.98979235
606,68,2610035D17RIK,CKAP5,0.9897447
606,181,2610035D17RIK,HDGF,0.98968095
606,621,2610035D17RIK,MCM7,0.98962885
606,459,2610035D17RIK,POLR1B,0.9895901
606,62,2610035D17RIK,CALCRL,0.98956794
606,593,2610035D17RIK,CTLA2A,0.9895251
606,296,2610035D17RIK,PLAG1,0.98950446
606,528,2610035D17RIK,TMEM43,0.98946404
606,417,2610035D17RIK,DHFR,0.9894266
606,126,2610035D17RIK,SLC18A2,0.98939705
606,516,2610035D17RIK,RAD51,0.98937434
606,117,2610035D17RIK,SRSF1,0.98923993
606,291,2610035D17RIK,HDAC7,0.98921853
606,162,2610035D17RIK,IPO9,0.9892125
606,205,2610035D17RIK,TACC3,0.989207
606,611,2610035D17RIK,TMEM229B,0.9890342
606,505,2610035D17RIK,MIS18BP1,0.98902357
606,479,2610035D17RIK,SELL,0.9889887
606,53,2610035D17RIK,ADO,0.9889626
606,45,2610035D17RIK,PTGR1,0.98895615
606,428,2610035D17RIK,SETD2,0.9889333
606,81,2610035D17RIK,SCARB1,0.98891187
