src_idx,dst_idx,src_gene,dst_gene,score
317,342,RAD51,MCM5,0.9933102
365,342,UHRF1,MCM5,0.99322444
1367,1144,CHEK2,DTL,0.9932051
1053,178,MCM3,MCM6,0.99319154
1076,985,RMI1,WDHD1,0.99318826
1219,342,CDCA8,MCM5,0.99318755
463,810,TTK,NCAPG,0.9931766
802,463,ESCO2,TTK,0.99317497
317,307,RAD51,PLK1,0.99317425
802,810,ESCO2,NCAPG,0.99317366
365,1053,UHRF1,MCM3,0.9931705
317,1144,RAD51,DTL,0.9931658
1367,342,CHEK2,MCM5,0.99316275
173,810,BUB1B,NCAPG,0.9931611
980,342,CDC6,MCM5,0.99314135
410,1144,BLM,DTL,0.99313533
1219,1053,CDCA8,MCM3,0.9931329
802,319,ESCO2,MCM10,0.9931299
317,1053,RAD51,MCM3,0.99312943
1053,342,MCM3,MCM5,0.9931293
1367,1053,CHEK2,MCM3,0.99312687
307,1144,PLK1,DTL,0.99312085
365,1144,UHRF1,DTL,0.9931179
1277,342,NUSAP1,MCM5,0.9931115
463,319,TTK,MCM10,0.99310935
805,810,NDC80,NCAPG,0.9931043
913,1144,TCF19,DTL,0.9930996
805,463,NDC80,TTK,0.99309045
980,1053,CDC6,MCM3,0.9930841
913,810,TCF19,NCAPG,0.99308395
11,178,CDCA7,MCM6,0.9930836
307,1367,PLK1,CHEK2,0.99307936
173,1144,BUB1B,DTL,0.9930774
319,463,MCM10,TTK,0.99307704
913,463,TCF19,TTK,0.99307585
1144,342,DTL,MCM5,0.99307513
1219,1144,CDCA8,DTL,0.99307466
319,307,MCM10,PLK1,0.99307317
980,178,CDC6,MCM6,0.9930727
1121,178,RAD54L,MCM6,0.99306786
317,1367,RAD51,CHEK2,0.9930669
188,342,MCM2,MCM5,0.9930633
410,1367,BLM,CHEK2,0.99306184
753,810,DNAJC9,NCAPG,0.99306023
365,745,UHRF1,MCM4,0.99305624
317,745,RAD51,MCM4,0.9930529
1367,745,CHEK2,MCM4,0.9930506
1277,1053,NUSAP1,MCM3,0.99305046
307,810,PLK1,NCAPG,0.9930484
985,1053,WDHD1,MCM3,0.9930467
