src_idx,dst_idx,src_gene,dst_gene,score
698,647,TYMS,NDE1,0.9707022
650,353,MCM5,CENPK,0.97059613
620,583,HMGB2,CTR9,0.9705073
186,95,RRM1,BUB1B,0.9695761
110,245,CCNB2,AHCTF1,0.96913433
590,15,ASF1B,MCM6,0.969119
186,555,RRM1,SPC24,0.96892416
548,555,CENPA,SPC24,0.9688941
650,15,MCM5,MCM6,0.9687801
343,555,FIGNL1,SPC24,0.96871144
110,274,CCNB2,MIS12,0.9687034
110,353,CCNB2,CENPK,0.96867025
263,620,PRIM2,HMGB2,0.9686586
232,555,LIG1,SPC24,0.96852756
650,555,MCM5,SPC24,0.96850276
666,245,BLZF1,AHCTF1,0.968488
15,555,MCM6,SPC24,0.96847737
293,555,MCM2,SPC24,0.96844
230,555,MCM4,SPC24,0.96842825
666,555,BLZF1,SPC24,0.9683718
185,95,CCNB1,BUB1B,0.96827465
110,82,CCNB2,MCM3,0.96814
647,353,NDE1,CENPK,0.9679853
699,82,AURKA,MCM3,0.96797526
31,372,CDT1,PRIM1,0.96792173
471,555,TPX2,SPC24,0.96790254
157,565,CDC45,ORC5,0.9678813
82,555,MCM3,SPC24,0.96788085
263,647,PRIM2,NDE1,0.9678752
667,555,KIF22,SPC24,0.9678675
490,647,POLD1,NDE1,0.9678553
372,555,PRIM1,SPC24,0.9678422
442,555,RRM2,SPC24,0.9678314
263,555,PRIM2,SPC24,0.96775204
285,555,MSH6,SPC24,0.9677163
609,185,BIRC5,CCNB1,0.967703
186,647,RRM1,NDE1,0.9676935
186,274,RRM1,MIS12,0.9676935
650,245,MCM5,AHCTF1,0.9676088
666,218,BLZF1,CSTF2,0.96757966
389,555,CDC7,SPC24,0.96757317
512,555,SPC25,SPC24,0.9675608
110,15,CCNB2,MCM6,0.96750367
110,341,CCNB2,NUP107,0.96748245
186,353,RRM1,CENPK,0.9674614
471,667,TPX2,KIF22,0.9674379
347,555,TK1,SPC24,0.9674241
220,555,TIPIN,SPC24,0.9674241
186,245,RRM1,AHCTF1,0.96741027
343,245,FIGNL1,AHCTF1,0.96740806
