src_idx,dst_idx,src_gene,dst_gene,score
569,729,AADAT,ALPK2,0.09871721
569,682,AADAT,SVEP1,0.08506295
569,1395,AADAT,DMBX1,0.070963025
569,629,AADAT,COLEC12,0.06935089
569,121,AADAT,MAPRE2,0.06376161
569,1056,AADAT,CDK6,0.06265191
569,546,AADAT,ST8SIA1,0.05748039
569,420,AADAT,MPHOSPH9,0.05613045
569,923,AADAT,RASGRP3,0.05548017
569,782,AADAT,SH2B3,0.055322826
569,1315,AADAT,TAOK3,0.054529946
569,1151,AADAT,SMARCD3,0.05165244
569,1339,AADAT,C4orf46,0.047501177
569,1241,AADAT,VWA5A,0.045630384
569,30,AADAT,HIF1A,0.04381518
569,930,AADAT,ST3GAL6,0.04365027
569,217,AADAT,POU3F1,0.042939637
569,97,AADAT,RAD54L,0.042786274
569,336,AADAT,ETV7,0.041198052
569,1291,AADAT,CA12,0.039386608
569,730,AADAT,TFDP1,0.039166108
569,649,AADAT,PALB2,0.038837723
569,613,AADAT,ZNF202,0.03883228
569,254,AADAT,TEAD4,0.038824394
569,872,AADAT,CALB1,0.038347594
569,966,AADAT,FAM208A,0.038128734
569,417,AADAT,TLE3,0.03811842
569,89,AADAT,PPP1R9A,0.038045634
569,1080,AADAT,SERINC3,0.03791344
569,1250,AADAT,CLCN3,0.037847288
569,1266,AADAT,TRIAP1,0.037622962
569,1325,AADAT,DKK4,0.037160832
569,163,AADAT,MAPK10,0.036719896
569,1061,AADAT,BMP4,0.035563096
569,762,AADAT,RGPD2,0.03354028
569,747,AADAT,SAMD3,0.03314939
569,352,AADAT,DAB2,0.032959335
569,265,AADAT,CYB5A,0.032376405
569,986,AADAT,UNG,0.032288242
569,1285,AADAT,THAP9,0.03189201
569,1335,AADAT,RBM14,0.031598903
569,225,AADAT,ANKRD1,0.03145503
569,280,AADAT,RFESD,0.030981857
569,228,AADAT,SLA2,0.03093122
569,520,AADAT,MECOM,0.030679906
569,1218,AADAT,ODC1,0.030356094
569,511,AADAT,NCOA6,0.030232027
569,989,AADAT,MXI1,0.029916065
569,543,AADAT,TMEM131,0.029716259
569,1354,AADAT,CCDC141,0.029142687
566,729,AARS,ALPK2,0.07781049
566,682,AARS,SVEP1,0.07158739
566,546,AARS,ST8SIA1,0.07113979
566,1395,AARS,DMBX1,0.069919154
566,629,AARS,COLEC12,0.060408913
566,923,AARS,RASGRP3,0.056240447
566,1335,AARS,RBM14,0.055591293
566,1315,AARS,TAOK3,0.053695895
566,1339,AARS,C4orf46,0.046846468
566,1241,AARS,VWA5A,0.044973455
566,782,AARS,SH2B3,0.044780046
566,1151,AARS,SMARCD3,0.041518196
566,1056,AARS,CDK6,0.03984071
566,1291,AARS,CA12,0.039370313
566,121,AARS,MAPRE2,0.03877216
566,1250,AARS,CLCN3,0.037273448
566,459,AARS,SEC11C,0.036989424
566,1266,AARS,TRIAP1,0.03686381
566,30,AARS,HIF1A,0.034700397
566,420,AARS,MPHOSPH9,0.034564093
566,930,AARS,ST3GAL6,0.034564093
566,986,AARS,UNG,0.03422893
566,97,AARS,RAD54L,0.03379547
566,1211,AARS,POLR1B,0.03358883
566,1325,AARS,DKK4,0.03303586
566,217,AARS,POU3F1,0.032482907
566,613,AARS,ZNF202,0.031877488
566,1285,AARS,THAP9,0.03122423
566,872,AARS,CALB1,0.031217055
566,730,AARS,TFDP1,0.030669594
566,649,AARS,PALB2,0.03042593
566,163,AARS,MAPK10,0.030238679
566,966,AARS,FAM208A,0.0298284
566,89,AARS,PPP1R9A,0.02978942
566,1080,AARS,SERINC3,0.029632423
566,1061,AARS,BMP4,0.029173477
566,1354,AARS,CCDC141,0.02905479
566,1320,AARS,LRIG3,0.028670331
566,417,AARS,TLE3,0.028392406
566,254,AARS,TEAD4,0.027272252
566,1370,AARS,GPR108,0.026920578
566,747,AARS,SAMD3,0.026746875
566,265,AARS,CYB5A,0.026038365
566,762,AARS,RGPD2,0.02590878
566,280,AARS,RFESD,0.02455619
566,225,AARS,ANKRD1,0.024190748
566,1299,AARS,PLEKHA6,0.02391121
566,228,AARS,SLA2,0.023715954
566,520,AARS,MECOM,0.023526175
566,511,AARS,NCOA6,0.02317545
857,729,ABCA1,ALPK2,0.109227985
857,682,ABCA1,SVEP1,0.102005646
857,546,ABCA1,ST8SIA1,0.09130845
857,1395,ABCA1,DMBX1,0.086626545
857,629,ABCA1,COLEC12,0.08501154
857,1315,ABCA1,TAOK3,0.08227574
857,923,ABCA1,RASGRP3,0.069405526
857,782,ABCA1,SH2B3,0.06931234
857,1151,ABCA1,SMARCD3,0.06501498
857,1056,ABCA1,CDK6,0.062816545
857,121,ABCA1,MAPRE2,0.061508805
857,1339,ABCA1,C4orf46,0.060276624
857,420,ABCA1,MPHOSPH9,0.058917385
857,1241,ABCA1,VWA5A,0.058120705
857,30,ABCA1,HIF1A,0.056112602
857,872,ABCA1,CALB1,0.055915702
857,930,ABCA1,ST3GAL6,0.055843964
857,97,ABCA1,RAD54L,0.055160172
857,1266,ABCA1,TRIAP1,0.054838102
857,966,ABCA1,FAM208A,0.054501593
857,217,ABCA1,POU3F1,0.05311673
857,1291,ABCA1,CA12,0.05095913
857,730,ABCA1,TFDP1,0.050637837
857,649,ABCA1,PALB2,0.050311852
857,613,ABCA1,ZNF202,0.05028238
857,89,ABCA1,PPP1R9A,0.049433973
857,1080,ABCA1,SERINC3,0.049138017
857,1250,ABCA1,CLCN3,0.04903918
857,163,ABCA1,MAPK10,0.047852598
857,1061,ABCA1,BMP4,0.046404544
857,254,ABCA1,TEAD4,0.04603981
857,762,ABCA1,RGPD2,0.04401511
857,1325,ABCA1,DKK4,0.043766215
857,747,ABCA1,SAMD3,0.043549072
857,265,ABCA1,CYB5A,0.04262612
857,986,ABCA1,UNG,0.042450566
857,1285,ABCA1,THAP9,0.04196313
857,1335,ABCA1,RBM14,0.041602988
857,225,ABCA1,ANKRD1,0.041564707
857,417,ABCA1,TLE3,0.041491117
857,280,ABCA1,RFESD,0.04096429
857,228,ABCA1,SLA2,0.04087331
857,520,ABCA1,MECOM,0.040607627
857,511,ABCA1,NCOA6,0.04011155
857,989,ABCA1,MXI1,0.03963669
857,574,ABCA1,MORC4,0.039607976
857,543,ABCA1,TMEM131,0.039172098
857,1354,ABCA1,CCDC141,0.038751416
857,336,ABCA1,ETV7,0.038726732
857,26,ABCA1,RIN2,0.038488623
411,729,ABLIM1,ALPK2,0.08521835
411,682,ABLIM1,SVEP1,0.078695916
411,1395,ABLIM1,DMBX1,0.06514569
411,629,ABLIM1,COLEC12,0.06367389
411,1315,ABLIM1,TAOK3,0.062156733
411,546,ABLIM1,ST8SIA1,0.052314006
411,30,ABLIM1,HIF1A,0.050508615
411,923,ABLIM1,RASGRP3,0.050437726
411,782,ABLIM1,SH2B3,0.050271817
411,1151,ABLIM1,SMARCD3,0.04676283
411,1056,ABLIM1,CDK6,0.04492494
411,121,ABLIM1,MAPRE2,0.04378132
411,1241,ABLIM1,VWA5A,0.04333493
411,1339,ABLIM1,C4orf46,0.042840395
411,420,ABLIM1,MPHOSPH9,0.039252404
411,930,ABLIM1,ST3GAL6,0.039252404
411,1320,ABLIM1,LRIG3,0.039164197
411,97,ABLIM1,RAD54L,0.038387924
411,217,ABLIM1,POU3F1,0.037015133
411,1291,ABLIM1,CA12,0.035331294
411,989,ABLIM1,MXI1,0.035319813
411,730,ABLIM1,TFDP1,0.034969267
411,649,ABLIM1,PALB2,0.034713272
411,613,ABLIM1,ZNF202,0.034703925
411,89,ABLIM1,PPP1R9A,0.034676414
411,872,ABLIM1,CALB1,0.034271892
411,574,ABLIM1,MORC4,0.034223508
411,966,ABLIM1,FAM208A,0.034103103
411,1080,ABLIM1,SERINC3,0.033857305
411,1250,ABLIM1,CLCN3,0.033774238
411,1266,ABLIM1,TRIAP1,0.033535317
411,163,ABLIM1,MAPK10,0.03278882
411,228,ABLIM1,SLA2,0.032600097
411,254,ABLIM1,TEAD4,0.032114096
411,1061,ABLIM1,BMP4,0.031751752
411,1325,ABLIM1,DKK4,0.030020673
411,762,ABLIM1,RGPD2,0.029738458
411,747,ABLIM1,SAMD3,0.029415289
411,1370,ABLIM1,GPR108,0.029384319
411,1354,ABLIM1,CCDC141,0.029184258
411,265,ABLIM1,CYB5A,0.028695028
411,986,ABLIM1,UNG,0.028630322
411,1285,ABLIM1,THAP9,0.028247312
411,1335,ABLIM1,RBM14,0.027957508
411,225,ABLIM1,ANKRD1,0.027885472
411,417,ABLIM1,TLE3,0.027818859
411,280,ABLIM1,RFESD,0.027411014
411,107,ABLIM1,SMAD5,0.027252113
411,520,ABLIM1,MECOM,0.027146216
411,511,ABLIM1,NCOA6,0.026758015
77,729,ACAD8,ALPK2,0.083942115
77,682,ACAD8,SVEP1,0.07748414
77,629,ACAD8,COLEC12,0.07693967
77,1395,ACAD8,DMBX1,0.06778649
77,782,ACAD8,SH2B3,0.056085512
77,546,ACAD8,ST8SIA1,0.051390167
77,1315,ACAD8,TAOK3,0.049695756
77,923,ACAD8,RASGRP3,0.0495414
77,1151,ACAD8,SMARCD3,0.04562621
77,1056,ACAD8,CDK6,0.044028476
77,121,ACAD8,MAPRE2,0.04289599
77,762,ACAD8,RGPD2,0.042703025
77,1339,ACAD8,C4orf46,0.042020015
77,1241,ACAD8,VWA5A,0.04028379
77,1291,ACAD8,CA12,0.038720183
77,30,ACAD8,HIF1A,0.038609277
77,930,ACAD8,ST3GAL6,0.038469896
77,420,ACAD8,MPHOSPH9,0.03843135
77,97,ACAD8,RAD54L,0.03762102
77,217,ACAD8,POU3F1,0.03623723
77,520,ACAD8,MECOM,0.03622278
77,730,ACAD8,TFDP1,0.034241747
77,649,ACAD8,PALB2,0.034012355
77,613,ACAD8,ZNF202,0.03398142
77,1250,ACAD8,CLCN3,0.033967484
77,872,ACAD8,CALB1,0.033561
77,966,ACAD8,FAM208A,0.033379186
77,89,ACAD8,PPP1R9A,0.033364225
77,1080,ACAD8,SERINC3,0.033152767
77,280,ACAD8,RFESD,0.03302982
77,1266,ACAD8,TRIAP1,0.032806553
77,254,ACAD8,TEAD4,0.032412443
77,1325,ACAD8,DKK4,0.032332156
77,163,ACAD8,MAPK10,0.03211597
