src_idx,dst_idx,src_gene,dst_gene,score
68,414,MIS18BP1,CENPK,0.99698216
102,414,PRIM1,CENPK,0.99698216
279,414,AURKB,CENPK,0.9969344
273,414,FIGNL1,CENPK,0.9969176
266,414,MSH6,CENPK,0.9969139
399,414,RRM2,CENPK,0.99691284
323,414,MCM4,CENPK,0.996908
42,414,HMGB2,CENPK,0.9969079
189,414,MCM5,CENPK,0.9969001
204,414,MCM2,CENPK,0.99688834
561,414,MCM7,CENPK,0.99688244
399,102,RRM2,PRIM1,0.9968677
68,189,MIS18BP1,MCM5,0.99685526
102,189,PRIM1,MCM5,0.99685526
407,414,CDC7,CENPK,0.9968442
30,414,PBK,CENPK,0.99683565
182,414,RPA1,CENPK,0.99681264
102,68,PRIM1,MIS18BP1,0.9968098
189,273,MCM5,FIGNL1,0.99680966
21,414,RRM1,CENPK,0.9968046
189,102,MCM5,PRIM1,0.9967991
189,68,MCM5,MIS18BP1,0.9967991
610,414,PRIM2,CENPK,0.99679106
399,189,RRM2,MCM5,0.99678516
279,189,AURKB,MCM5,0.9967848
266,189,MSH6,MCM5,0.99678016
407,350,CDC7,MCM6,0.9967751
42,189,HMGB2,MCM5,0.9967744
189,42,MCM5,HMGB2,0.996772
500,189,MCM3,MCM5,0.99677116
561,189,MCM7,MCM5,0.9967644
204,189,MCM2,MCM5,0.9967609
407,189,CDC7,MCM5,0.9967584
189,561,MCM5,MCM7,0.9967553
102,42,PRIM1,HMGB2,0.9967529
68,42,MIS18BP1,HMGB2,0.9967529
407,33,CDC7,CSTF2,0.99675024
266,102,MSH6,PRIM1,0.99675
266,68,MSH6,MIS18BP1,0.99675
399,68,RRM2,MIS18BP1,0.99674964
350,189,MCM6,MCM5,0.99674463
323,189,MCM4,MCM5,0.9967438
407,68,CDC7,MIS18BP1,0.9967422
407,102,CDC7,PRIM1,0.9967422
102,500,PRIM1,MCM3,0.9967366
279,102,AURKB,PRIM1,0.99672914
68,561,MIS18BP1,MCM7,0.9967277
102,561,PRIM1,MCM7,0.9967277
350,414,MCM6,CENPK,0.99672747
42,68,HMGB2,MIS18BP1,0.9967248
42,102,HMGB2,PRIM1,0.9967248
189,350,MCM5,MCM6,0.9967237
279,68,AURKB,MIS18BP1,0.99672335
279,478,AURKB,MKI67,0.99671966
561,273,MCM7,FIGNL1,0.9967168
189,323,MCM5,MCM4,0.9967134
561,68,MCM7,MIS18BP1,0.9967133
561,102,MCM7,PRIM1,0.9967133
102,350,PRIM1,MCM6,0.99670535
30,189,PBK,MCM5,0.9967039
500,68,MCM3,MIS18BP1,0.996702
500,102,MCM3,PRIM1,0.996702
21,189,RRM1,MCM5,0.9967002
399,610,RRM2,PRIM2,0.99669814
204,68,MCM2,MIS18BP1,0.99669707
407,279,CDC7,AURKB,0.9966922
273,68,FIGNL1,MIS18BP1,0.9966882
189,620,MCM5,TIPIN,0.99668413
102,620,PRIM1,TIPIN,0.9966828
102,361,PRIM1,CCNB2,0.9966828
68,620,MIS18BP1,TIPIN,0.9966828
68,350,MIS18BP1,MCM6,0.99668187
68,361,MIS18BP1,CCNB2,0.9966815
399,42,RRM2,HMGB2,0.99668103
561,500,MCM7,MCM3,0.99667645
102,323,PRIM1,MCM4,0.9966756
189,361,MCM5,CCNB2,0.9966755
68,575,MIS18BP1,GTF2F1,0.9966744
68,323,MIS18BP1,MCM4,0.9966738
68,478,MIS18BP1,MKI67,0.9966732
102,478,PRIM1,MKI67,0.9966723
561,42,MCM7,HMGB2,0.9966719
42,500,HMGB2,MCM3,0.99667156
407,42,CDC7,HMGB2,0.99667126
189,478,MCM5,MKI67,0.9966697
42,561,HMGB2,MCM7,0.996669
399,500,RRM2,MCM3,0.9966666
266,42,MSH6,HMGB2,0.99666107
279,42,AURKB,HMGB2,0.99666
407,500,CDC7,MCM3,0.9966599
500,42,MCM3,HMGB2,0.9966595
399,561,RRM2,MCM7,0.9966594
323,102,MCM4,PRIM1,0.9966556
323,68,MCM4,MIS18BP1,0.9966556
189,204,MCM5,MCM2,0.9966551
189,500,MCM5,MCM3,0.9966543
407,561,CDC7,MCM7,0.9966536
21,68,RRM1,MIS18BP1,0.9966534
21,102,RRM1,PRIM1,0.9966534
204,42,MCM2,HMGB2,0.99665207
279,500,AURKB,MCM3,0.99664825
189,30,MCM5,PBK,0.9966466
266,500,MSH6,MCM3,0.99664485
279,561,AURKB,MCM7,0.99664044
561,350,MCM7,MCM6,0.9966388
204,500,MCM2,MCM3,0.99663734
500,561,MCM3,MCM7,0.99663734
266,561,MSH6,MCM7,0.99663687
350,102,MCM6,PRIM1,0.996636
350,68,MCM6,MIS18BP1,0.996636
42,350,HMGB2,MCM6,0.99663466
204,561,MCM2,MCM7,0.99663097
345,414,UHRF1,CENPK,0.99662894
561,323,MCM7,MCM4,0.99662435
407,361,CDC7,CCNB2,0.9966216
407,620,CDC7,TIPIN,0.9966216
399,350,RRM2,MCM6,0.9966215
189,610,MCM5,PRIM2,0.9966186
68,30,MIS18BP1,PBK,0.9966186
102,30,PRIM1,PBK,0.9966186
189,345,MCM5,UHRF1,0.99661833
407,478,CDC7,MKI67,0.9966164
399,620,RRM2,TIPIN,0.99661535
189,279,MCM5,AURKB,0.9966143
399,478,RRM2,MKI67,0.99661225
68,204,MIS18BP1,MCM2,0.99660987
102,204,PRIM1,MCM2,0.99660987
189,411,MCM5,CDC45,0.99660987
399,323,RRM2,MCM4,0.99660873
407,323,CDC7,MCM4,0.996608
182,189,RPA1,MCM5,0.9966067
30,102,PBK,PRIM1,0.99660635
30,68,PBK,MIS18BP1,0.99660635
266,361,MSH6,CCNB2,0.99660444
266,478,MSH6,MKI67,0.9966028
266,620,MSH6,TIPIN,0.99659973
500,350,MCM3,MCM6,0.99659914
42,361,HMGB2,CCNB2,0.99659795
42,620,HMGB2,TIPIN,0.99659795
266,350,MSH6,MCM6,0.9965947
204,350,MCM2,MCM6,0.9965945
279,350,AURKB,MCM6,0.99659437
561,620,MCM7,TIPIN,0.9965911
561,361,MCM7,CCNB2,0.9965911
279,361,AURKB,CCNB2,0.99659
273,42,FIGNL1,HMGB2,0.9965886
42,478,HMGB2,MKI67,0.9965863
500,323,MCM3,MCM4,0.9965855
279,323,AURKB,MCM4,0.99658537
323,42,MCM4,HMGB2,0.9965843
266,323,MSH6,MCM4,0.9965829
189,53,MCM5,ORC6,0.9965808
189,399,MCM5,RRM2,0.9965803
68,345,MIS18BP1,UHRF1,0.99657875
561,478,MCM7,MKI67,0.9965778
102,610,PRIM1,PRIM2,0.99657744
68,610,MIS18BP1,PRIM2,0.9965773
68,279,MIS18BP1,AURKB,0.9965759
102,279,PRIM1,AURKB,0.99657345
500,620,MCM3,TIPIN,0.99657273
500,361,MCM3,CCNB2,0.99657273
102,411,PRIM1,CDC45,0.9965695
204,361,MCM2,CCNB2,0.996567
500,478,MCM3,MKI67,0.9965655
204,478,MCM2,MKI67,0.9965643
561,204,MCM7,MCM2,0.9965635
323,500,MCM4,MCM3,0.99656266
21,42,RRM1,HMGB2,0.9965609
273,561,FIGNL1,MCM7,0.9965571
407,30,CDC7,PBK,0.996557
610,189,PRIM2,MCM5,0.9965534
30,42,PBK,HMGB2,0.9965534
42,204,HMGB2,MCM2,0.9965533
323,561,MCM4,MCM7,0.9965528
204,620,MCM2,TIPIN,0.9965509
561,30,MCM7,PBK,0.9965491
42,30,HMGB2,PBK,0.9965481
21,500,RRM1,MCM3,0.9965432
407,204,CDC7,MCM2,0.99654275
399,204,RRM2,MCM2,0.99654216
189,266,MCM5,MSH6,0.9965404
189,21,MCM5,RRM1,0.99654007
399,30,RRM2,PBK,0.99653983
350,42,MCM6,HMGB2,0.9965389
53,414,ORC6,CENPK,0.99653804
204,323,MCM2,MCM4,0.99653757
189,182,MCM5,RPA1,0.99653685
21,561,RRM1,MCM7,0.9965365
30,500,PBK,MCM3,0.99653625
102,399,PRIM1,RRM2,0.99653566
68,399,MIS18BP1,RRM2,0.99653566
68,273,MIS18BP1,FIGNL1,0.9965314
102,273,PRIM1,FIGNL1,0.9965314
30,561,PBK,MCM7,0.99652964
273,620,FIGNL1,TIPIN,0.9965262
21,620,RRM1,TIPIN,0.9965251
273,500,FIGNL1,MCM3,0.9965251
500,279,MCM3,AURKB,0.9965237
21,361,RRM1,CCNB2,0.99652326
102,53,PRIM1,ORC6,0.99652326
68,53,MIS18BP1,ORC6,0.99652326
266,30,MSH6,PBK,0.9965228
561,610,MCM7,PRIM2,0.99652064
21,478,RRM1,MKI67,0.99652064
561,345,MCM7,UHRF1,0.99651885
273,478,FIGNL1,MKI67,0.99651885
279,204,AURKB,MCM2,0.996518
30,361,PBK,CCNB2,0.9965179
189,407,MCM5,CDC7,0.9965178
500,204,MCM3,MCM2,0.99651754
279,30,AURKB,PBK,0.99651754
323,620,MCM4,TIPIN,0.9965166
323,361,MCM4,CCNB2,0.9965166
407,610,CDC7,PRIM2,0.9965161
42,610,HMGB2,PRIM2,0.99651575
561,279,MCM7,AURKB,0.9965149
266,204,MSH6,MCM2,0.99651474
407,345,CDC7,UHRF1,0.9965144
42,345,HMGB2,UHRF1,0.99651426
561,411,MCM7,CDC45,0.9965127
610,102,PRIM2,PRIM1,0.9965126
610,68,PRIM2,MIS18BP1,0.9965103
42,279,HMGB2,AURKB,0.99650985
407,411,CDC7,CDC45,0.99650985
399,345,RRM2,UHRF1,0.9965082
323,478,MCM4,MKI67,0.99650806
204,30,MCM2,PBK,0.99650735
42,411,HMGB2,CDC45,0.99650663
68,500,MIS18BP1,MCM3,0.9965064
266,604,MSH6,CDC6,0.99650216
273,350,FIGNL1,MCM6,0.99650204
323,350,MCM4,MCM6,0.9965005
620,414,TIPIN,CENPK,0.9964993
399,279,RRM2,AURKB,0.99649906
21,350,RRM1,MCM6,0.9964988
399,411,RRM2,CDC45,0.99649614
182,68,RPA1,MIS18BP1,0.9964945
182,102,RPA1,PRIM1,0.9964945
273,323,FIGNL1,MCM4,0.99649376
279,345,AURKB,UHRF1,0.9964897
323,604,MCM4,CDC6,0.99648476
279,610,AURKB,PRIM2,0.9964844
102,266,PRIM1,MSH6,0.9964831
68,266,MIS18BP1,MSH6,0.9964831
68,21,MIS18BP1,RRM1,0.9964826
