src_idx,dst_idx,src_gene,dst_gene,score
672,570,1100001G20RIK,SP1,0.17605512
672,44,1100001G20RIK,EMP3,0.1154392
672,41,1100001G20RIK,NFX1,0.09811818
672,357,1100001G20RIK,PSMB2,0.09811818
672,46,1100001G20RIK,CCL4,0.08877411
672,405,1100001G20RIK,NAAA,0.073570505
672,585,1100001G20RIK,SEC61B,0.06555037
672,726,1100001G20RIK,ENO1,0.061055988
672,719,1100001G20RIK,CTCF,0.051213395
672,325,1100001G20RIK,CIC,0.03511829
672,22,1100001G20RIK,CXCL2,0.034468684
672,352,1100001G20RIK,IL2RG,0.009187489
672,355,1100001G20RIK,KHDRBS1,0.006688354
672,448,1100001G20RIK,SKIL,0.0060284883
672,32,1100001G20RIK,UBTF,0.005768576
672,105,1100001G20RIK,CTSZ,0.0057517374
672,125,1100001G20RIK,TNFAIP2,0.0057517374
672,283,1100001G20RIK,NFKBIA,0.0057517374
672,429,1100001G20RIK,DENND4A,0.0057517374
672,486,1100001G20RIK,RPL24,0.0057517374
672,571,1100001G20RIK,CYBA,0.0057517374
672,649,1100001G20RIK,ATP5B,0.0057517374
672,179,1100001G20RIK,CIITA,0.0057305396
672,15,1100001G20RIK,TCERG1,0.0048425086
672,692,1100001G20RIK,ATP5G2,0.0048425086
672,92,1100001G20RIK,ZNRD1,0.003977316
672,219,1100001G20RIK,PRDX5,0.0036315518
672,484,1100001G20RIK,ARPC5,0.0036315518
672,223,1100001G20RIK,SRSF9,0.0036257815
672,670,1100001G20RIK,ATP6V1F,0.0036257815
672,565,1100001G20RIK,CD302,0.0034986788
672,181,1100001G20RIK,RNPS1,0.0029788564
672,240,1100001G20RIK,ILF3,0.0029787433
672,144,1100001G20RIK,MRFAP1,0.0029781146
672,69,1100001G20RIK,PTMA,0.0028152044
672,702,1100001G20RIK,RPS17,0.0028152044
672,60,1100001G20RIK,CFP,0.0025738508
672,526,1100001G20RIK,CEBPA,0.002523519
672,640,1100001G20RIK,AEBP2,0.0024124908
672,597,1100001G20RIK,EGR1,0.002304818
672,521,1100001G20RIK,ETS2,0.0021513924
672,655,1100001G20RIK,PTP4A1,0.002101774
672,139,1100001G20RIK,RPL26,0.0020872413
672,542,1100001G20RIK,KRTCAP2,0.0020866494
672,59,1100001G20RIK,TOX4,0.0020864129
672,2,1100001G20RIK,SSR4,0.0020861926
672,16,1100001G20RIK,AKT1,0.0020861926
672,33,1100001G20RIK,KLF4,0.0020861926
672,55,1100001G20RIK,RPL11,0.0020861926
672,62,1100001G20RIK,PRDX1,0.0020861926
361,44,1500032L24RIK,EMP3,0.11537707
361,570,1500032L24RIK,SP1,0.10916168
361,41,1500032L24RIK,NFX1,0.098071896
361,357,1500032L24RIK,PSMB2,0.098071896
361,46,1500032L24RIK,CCL4,0.08871322
361,405,1500032L24RIK,NAAA,0.07360212
361,585,1500032L24RIK,SEC61B,0.06541766
361,726,1500032L24RIK,ENO1,0.06102385
361,719,1500032L24RIK,CTCF,0.051186547
361,22,1500032L24RIK,CXCL2,0.036898185
361,325,1500032L24RIK,CIC,0.027697627
361,355,1500032L24RIK,KHDRBS1,0.00667881
361,179,1500032L24RIK,CIITA,0.006598699
361,105,1500032L24RIK,CTSZ,0.0057660555
361,32,1500032L24RIK,UBTF,0.005736232
361,125,1500032L24RIK,TNFAIP2,0.005736232
361,352,1500032L24RIK,IL2RG,0.005736232
361,429,1500032L24RIK,DENND4A,0.005736232
361,434,1500032L24RIK,H2-K1,0.005736232
361,486,1500032L24RIK,RPL24,0.005736232
361,571,1500032L24RIK,CYBA,0.005736232
361,649,1500032L24RIK,ATP5B,0.005736232
361,283,1500032L24RIK,NFKBIA,0.0057359356
361,15,1500032L24RIK,TCERG1,0.004830306
361,692,1500032L24RIK,ATP5G2,0.004830306
361,92,1500032L24RIK,ZNRD1,0.0039714645
361,144,1500032L24RIK,MRFAP1,0.0036225768
361,219,1500032L24RIK,PRDX5,0.0036225768
361,223,1500032L24RIK,SRSF9,0.0036225768
361,448,1500032L24RIK,SKIL,0.0036225768
361,484,1500032L24RIK,ARPC5,0.0036225768
361,670,1500032L24RIK,ATP6V1F,0.0036225768
361,240,1500032L24RIK,ILF3,0.0036105677
361,603,1500032L24RIK,EIF5A,0.003273174
361,526,1500032L24RIK,CEBPA,0.0029800918
361,181,1500032L24RIK,RNPS1,0.002945433
361,69,1500032L24RIK,PTMA,0.0028127104
361,702,1500032L24RIK,RPS17,0.0028127104
361,60,1500032L24RIK,CFP,0.0025702408
361,640,1500032L24RIK,AEBP2,0.0024105797
361,655,1500032L24RIK,PTP4A1,0.002408945
361,597,1500032L24RIK,EGR1,0.0023954408
361,163,1500032L24RIK,PPP1CA,0.0021550038
361,521,1500032L24RIK,ETS2,0.0021486937
361,701,1500032L24RIK,SAT1,0.0020844361
361,228,1500032L24RIK,MRPL20,0.0020843192
361,284,1500032L24RIK,RPS15,0.0020840236
361,287,1500032L24RIK,NAA20,0.0020840236
361,194,1500032L24RIK,NDUFB7,0.0020839325
361,2,1500032L24RIK,SSR4,0.0020838631
506,570,1600029D21RIK,SP1,0.17600693
506,44,1600029D21RIK,EMP3,0.1154392
506,41,1600029D21RIK,NFX1,0.09811818
506,357,1600029D21RIK,PSMB2,0.09811818
506,46,1600029D21RIK,CCL4,0.08877411
506,405,1600029D21RIK,NAAA,0.07363781
506,585,1600029D21RIK,SEC61B,0.06554602
506,726,1600029D21RIK,ENO1,0.061055988
506,719,1600029D21RIK,CTCF,0.051213395
506,22,1600029D21RIK,CXCL2,0.0369783
506,325,1600029D21RIK,CIC,0.03511829
506,355,1600029D21RIK,KHDRBS1,0.008069698
506,32,1600029D21RIK,UBTF,0.0057517374
506,105,1600029D21RIK,CTSZ,0.0057517374
506,125,1600029D21RIK,TNFAIP2,0.0057517374
506,179,1600029D21RIK,CIITA,0.0057517374
506,352,1600029D21RIK,IL2RG,0.0057517374
506,429,1600029D21RIK,DENND4A,0.0057517374
506,434,1600029D21RIK,H2-K1,0.0057517374
506,486,1600029D21RIK,RPL24,0.0057517374
506,649,1600029D21RIK,ATP5B,0.0057517374
506,571,1600029D21RIK,CYBA,0.0057320944
506,15,1600029D21RIK,TCERG1,0.0048425086
506,692,1600029D21RIK,ATP5G2,0.0048425086
506,283,1600029D21RIK,NFKBIA,0.004515242
506,92,1600029D21RIK,ZNRD1,0.003977316
506,484,1600029D21RIK,ARPC5,0.0036334672
506,144,1600029D21RIK,MRFAP1,0.0036257815
506,219,1600029D21RIK,PRDX5,0.0036257815
506,223,1600029D21RIK,SRSF9,0.0036257815
506,448,1600029D21RIK,SKIL,0.0036257815
506,240,1600029D21RIK,ILF3,0.0036126974
506,603,1600029D21RIK,EIF5A,0.0032806527
506,526,1600029D21RIK,CEBPA,0.002982589
506,181,1600029D21RIK,RNPS1,0.0029788564
506,69,1600029D21RIK,PTMA,0.0028152044
506,702,1600029D21RIK,RPS17,0.0028152044
506,60,1600029D21RIK,CFP,0.0025738508
506,640,1600029D21RIK,AEBP2,0.0024124908
506,597,1600029D21RIK,EGR1,0.0023987086
506,573,1600029D21RIK,MAPK3,0.0022121652
506,521,1600029D21RIK,ETS2,0.0021514026
506,655,1600029D21RIK,PTP4A1,0.002101774
506,478,1600029D21RIK,ANXA5,0.00208861
506,209,1600029D21RIK,MDM2,0.0020864129
506,150,1600029D21RIK,POLR2H,0.0020863554
506,2,1600029D21RIK,SSR4,0.0020861926
506,9,1600029D21RIK,RPS14,0.0020861926
506,16,1600029D21RIK,AKT1,0.0020861926
506,59,1600029D21RIK,TOX4,0.0020861926
641,44,1810006K21RIK,EMP3,0.1154392
641,570,1810006K21RIK,SP1,0.10804439
641,41,1810006K21RIK,NFX1,0.09811818
641,357,1810006K21RIK,PSMB2,0.09811818
641,46,1810006K21RIK,CCL4,0.07718661
641,405,1810006K21RIK,NAAA,0.07698272
641,585,1810006K21RIK,SEC61B,0.06554602
641,726,1810006K21RIK,ENO1,0.061055988
641,719,1810006K21RIK,CTCF,0.051213395
641,22,1810006K21RIK,CXCL2,0.0369783
641,325,1810006K21RIK,CIC,0.02407416
641,355,1810006K21RIK,KHDRBS1,0.006688354
641,283,1810006K21RIK,NFKBIA,0.006617154
641,434,1810006K21RIK,H2-K1,0.005768576
641,571,1810006K21RIK,CYBA,0.005758717
641,105,1810006K21RIK,CTSZ,0.0057517374
641,125,1810006K21RIK,TNFAIP2,0.0057517374
641,429,1810006K21RIK,DENND4A,0.0057517374
641,486,1810006K21RIK,RPL24,0.0057517374
641,649,1810006K21RIK,ATP5B,0.0057517374
641,15,1810006K21RIK,TCERG1,0.0048425086
641,692,1810006K21RIK,ATP5G2,0.004434769
641,32,1810006K21RIK,UBTF,0.004413521
641,92,1810006K21RIK,ZNRD1,0.003977316
641,144,1810006K21RIK,MRFAP1,0.0036257815
641,219,1810006K21RIK,PRDX5,0.0036257815
641,223,1810006K21RIK,SRSF9,0.0036257815
641,240,1810006K21RIK,ILF3,0.0036257815
641,448,1810006K21RIK,SKIL,0.0036257815
641,484,1810006K21RIK,ARPC5,0.0036257815
641,670,1810006K21RIK,ATP6V1F,0.0036257815
641,603,1810006K21RIK,EIF5A,0.0032806527
641,526,1810006K21RIK,CEBPA,0.002982589
641,181,1810006K21RIK,RNPS1,0.0029788564
641,702,1810006K21RIK,RPS17,0.0028152044
641,60,1810006K21RIK,CFP,0.0025872777
641,69,1810006K21RIK,PTMA,0.002584877
641,640,1810006K21RIK,AEBP2,0.0024124908
641,597,1810006K21RIK,EGR1,0.0023987086
641,594,1810006K21RIK,RPL35,0.0022683828
641,644,1810006K21RIK,SLC25A5,0.0022683828
641,721,1810006K21RIK,HMG20A,0.0022121652
641,785,1810006K21RIK,RPL18A,0.0022121652
641,521,1810006K21RIK,ETS2,0.0021513924
641,655,1810006K21RIK,PTP4A1,0.002101774
641,209,1810006K21RIK,MDM2,0.0020872413
641,274,1810006K21RIK,DNMT3A,0.0020867663
641,416,1810006K21RIK,DAB2,0.0020867663
641,551,1810006K21RIK,H2-AB1,0.0020862462
641,2,1810006K21RIK,SSR4,0.0020861926
306,570,1810027O10RIK,SP1,0.17605512
306,44,1810027O10RIK,EMP3,0.1154392
306,41,1810027O10RIK,NFX1,0.09811818
306,357,1810027O10RIK,PSMB2,0.09811818
306,46,1810027O10RIK,CCL4,0.088747345
306,405,1810027O10RIK,NAAA,0.07364017
306,585,1810027O10RIK,SEC61B,0.0655549
306,726,1810027O10RIK,ENO1,0.06106974
306,719,1810027O10RIK,CTCF,0.051213395
306,22,1810027O10RIK,CXCL2,0.0369783
306,325,1810027O10RIK,CIC,0.03511829
306,355,1810027O10RIK,KHDRBS1,0.006688354
306,692,1810027O10RIK,ATP5G2,0.006451797
306,32,1810027O10RIK,UBTF,0.0057517374
306,105,1810027O10RIK,CTSZ,0.0057517374
306,125,1810027O10RIK,TNFAIP2,0.0057517374
306,179,1810027O10RIK,CIITA,0.0057517374
306,283,1810027O10RIK,NFKBIA,0.0057517374
306,352,1810027O10RIK,IL2RG,0.0057517374
306,429,1810027O10RIK,DENND4A,0.0057517374
306,434,1810027O10RIK,H2-K1,0.0057517374
306,486,1810027O10RIK,RPL24,0.0057517374
306,571,1810027O10RIK,CYBA,0.0057517374
306,649,1810027O10RIK,ATP5B,0.005737154
306,15,1810027O10RIK,TCERG1,0.0048425086
306,92,1810027O10RIK,ZNRD1,0.003977316
306,448,1810027O10RIK,SKIL,0.0036315518
306,144,1810027O10RIK,MRFAP1,0.0036257815
306,219,1810027O10RIK,PRDX5,0.0036257815
306,223,1810027O10RIK,SRSF9,0.0036257815
306,240,1810027O10RIK,ILF3,0.0036257815
306,484,1810027O10RIK,ARPC5,0.0036257815
306,670,1810027O10RIK,ATP6V1F,0.0036257815
306,603,1810027O10RIK,EIF5A,0.0032806527
306,526,1810027O10RIK,CEBPA,0.002982589
306,181,1810027O10RIK,RNPS1,0.0029788564
306,69,1810027O10RIK,PTMA,0.0028152044
306,702,1810027O10RIK,RPS17,0.0028152044
306,60,1810027O10RIK,CFP,0.002562084
306,640,1810027O10RIK,AEBP2,0.0024124908
306,597,1810027O10RIK,EGR1,0.0023987086
306,130,1810027O10RIK,CBFB,0.0023929805
306,472,1810027O10RIK,TCF7L2,0.0022121652
306,655,1810027O10RIK,PTP4A1,0.002101774
306,284,1810027O10RIK,RPS15,0.00208861
306,315,1810027O10RIK,NDUFA6,0.0020872413
306,332,1810027O10RIK,LIPA,0.0020872413
306,491,1810027O10RIK,TUBA1A,0.0020872413
306,729,1810027O10RIK,RPL36,0.0020867663
306,2,1810027O10RIK,SSR4,0.0020861926
688,570,2010107E04RIK,SP1,0.17605512
688,44,2010107E04RIK,EMP3,0.11538668
688,357,2010107E04RIK,PSMB2,0.10046724
688,41,2010107E04RIK,NFX1,0.09811818
688,46,2010107E04RIK,CCL4,0.08877411
688,405,2010107E04RIK,NAAA,0.073629536
688,585,2010107E04RIK,SEC61B,0.06554602
688,726,2010107E04RIK,ENO1,0.06221306
688,719,2010107E04RIK,CTCF,0.051213395
688,325,2010107E04RIK,CIC,0.034196977
688,22,2010107E04RIK,CXCL2,0.012879064
688,355,2010107E04RIK,KHDRBS1,0.006688354
