src_idx,dst_idx,src_gene,dst_gene,score
907,533,POLR2K,POLR2C,0.9995666
418,533,POLR2E,POLR2C,0.99936634
671,533,FKBP1A,POLR2C,0.99934953
907,605,POLR2K,POLR2F,0.9993405
1019,605,POLR2J,POLR2F,0.99933475
25,605,POLR2I,POLR2F,0.99933136
413,605,POLR2H,POLR2F,0.9993268
878,605,POLR2D,POLR2F,0.9993262
418,605,POLR2E,POLR2F,0.99932516
25,533,POLR2I,POLR2C,0.99932456
878,533,POLR2D,POLR2C,0.99932325
413,533,POLR2H,POLR2C,0.99932206
907,781,POLR2K,POLR2B,0.9993204
1019,533,POLR2J,POLR2C,0.9993204
851,533,SNRPD1,POLR2C,0.99931633
936,533,TRA2B,POLR2C,0.999316
1019,781,POLR2J,POLR2B,0.9993143
148,605,POLR2G,POLR2F,0.9993124
25,781,POLR2I,POLR2B,0.9993112
1089,533,HNRNPC,POLR2C,0.99931085
605,533,POLR2F,POLR2C,0.9993092
413,781,POLR2H,POLR2B,0.9993073
878,781,POLR2D,POLR2B,0.9993057
418,781,POLR2E,POLR2B,0.9993044
1301,533,LSM7,POLR2C,0.999302
692,533,DDX5,POLR2C,0.99930155
671,605,FKBP1A,POLR2F,0.9992914
148,781,POLR2G,POLR2B,0.9992913
671,781,FKBP1A,POLR2B,0.9992889
1138,533,HSPA8,POLR2C,0.9992797
605,781,POLR2F,POLR2B,0.999278
185,533,RPL8,POLR2C,0.9992705
238,533,YBX1,POLR2C,0.99926704
663,533,SRRT,POLR2C,0.9992618
196,605,SF3B5,POLR2F,0.99926084
1167,533,SNRPB,POLR2C,0.99925965
681,533,LSM3,POLR2C,0.9992581
105,533,NOP10,POLR2C,0.9992549
1015,533,BUD31,POLR2C,0.9992544
1055,533,SNRPD2,POLR2C,0.99925
455,533,SRSF9,POLR2C,0.99924856
650,533,CWC15,POLR2C,0.99924785
952,605,GTF2F1,POLR2F,0.9992473
952,781,GTF2F1,POLR2B,0.9992448
605,907,POLR2F,POLR2K,0.99924076
89,533,PAPOLA,POLR2C,0.9992368
1238,533,WBP11,POLR2C,0.99923646
592,533,CLK1,POLR2C,0.9992362
936,605,TRA2B,POLR2F,0.9992342
1118,533,HNRNPA2B1,POLR2C,0.99923205
