src_idx,dst_idx,src_gene,dst_gene,score
939,614,AASS,TP53,0.69389594
340,614,AATF,TP53,0.86017066
329,614,ABT1,TP53,0.91197085
619,474,ACAA1,HDAC1,0.88075554
482,614,ACAD11,TP53,0.69389594
816,614,ACADSB,TP53,0.69389594
172,614,ACADVL,TP53,0.89149505
678,614,ACOT7,TP53,0.9026063
543,614,ACOX2,TP53,0.89269227
332,614,ACTC1,TP53,0.91200286
295,614,ACTL6A,TP53,0.747762
434,614,ACY1,TP53,0.91091806
441,614,ADNP,TP53,0.89525485
720,614,ADSL,TP53,0.69389594
604,614,AEBP1,TP53,0.87393826
641,614,AEBP2,TP53,0.8793351
85,474,AES,HDAC1,0.8752963
509,614,AFF4,TP53,0.69389594
529,614,AFP,TP53,0.88775617
419,614,AGT,TP53,0.9040474
740,614,AGTRAP,TP53,0.910434
298,614,AHR,TP53,0.8506747
645,614,AHSG,TP53,0.91084856
384,614,AIMP2,TP53,0.83448184
846,614,AKR1B1,TP53,0.89441794
773,614,AKR1D1,TP53,0.69389594
41,614,ALB,TP53,0.87896496
318,614,ALDH1A1,TP53,0.8805852
898,614,ALDH9A1,TP53,0.9140468
260,614,ALG6,TP53,0.69389594
13,614,ALG8,TP53,0.69389594
283,614,AMBP,TP53,0.91191685
591,614,AMZ2,TP53,0.910434
73,474,ANAPC4,HDAC1,0.8911609
253,614,ANAPC7,TP53,0.8898609
458,614,ANG,TP53,0.69389594
84,474,ANKRD1,HDAC1,0.89829147
539,614,ANLN,TP53,0.9111555
50,614,ANP32E,TP53,0.69389594
416,614,ANPEP,TP53,0.687959
306,614,ANXA3,TP53,0.9101314
77,614,ANXA4,TP53,0.69389594
239,614,APEH,TP53,0.87393826
530,614,APEX1,TP53,0.87123084
888,614,APOA1,TP53,0.86922294
772,614,APOA2,TP53,0.88014275
21,614,APOA4,TP53,0.6939033
689,614,APOB,TP53,0.86875004
456,614,APOC1,TP53,0.8993506
271,614,APOC2,TP53,0.9118749
