src_idx,dst_idx,src_gene,dst_gene,score
1154,351,CNOT3,CNOT8,0.9910591
406,351,BTG1,CNOT8,0.9909232
1154,93,CNOT3,CNOT7,0.990737
1604,943,TPX2,NUSAP1,0.990622
362,351,CNOT6,CNOT8,0.990562
1503,351,CNOT2,CNOT8,0.9905556
1154,1503,CNOT3,CNOT2,0.99041206
351,93,CNOT8,CNOT7,0.99035054
1515,351,BTG2,CNOT8,0.9903071
406,1503,BTG1,CNOT2,0.99025434
406,93,BTG1,CNOT7,0.99021906
1503,93,CNOT2,CNOT7,0.9902076
362,93,CNOT6,CNOT7,0.99020255
1464,1132,EDEM1,PDIA4,0.99008197
1464,361,EDEM1,CALR,0.99008197
1286,397,KNTC1,MSH6,0.99008185
1154,1151,CNOT3,CNOT6L,0.99000996
93,1503,CNOT7,CNOT2,0.9899159
406,1151,BTG1,CNOT6L,0.9898431
406,1154,BTG1,CNOT3,0.9898421
361,1132,CALR,PDIA4,0.9898149
362,1503,CNOT6,CNOT2,0.98978734
1464,351,EDEM1,CNOT8,0.98959994
1515,93,BTG2,CNOT7,0.98957413
495,1132,MAFK,PDIA4,0.9895559
93,1151,CNOT7,CNOT6L,0.9894855
93,1154,CNOT7,CNOT3,0.9894477
1503,1151,CNOT2,CNOT6L,0.9893813
1503,1154,CNOT2,CNOT3,0.9893707
362,1151,CNOT6,CNOT6L,0.98935
1301,754,SNAPC3,CDC5L,0.9892785
1604,1119,TPX2,RCC2,0.9892686
361,1464,CALR,EDEM1,0.98923045
1154,362,CNOT3,CNOT6,0.98919415
495,273,MAFK,NFE2L2,0.9891852
1154,406,CNOT3,BTG1,0.9890989
406,362,BTG1,CNOT6,0.9890131
943,1119,NUSAP1,RCC2,0.98899734
1132,835,PDIA4,GCLM,0.98897946
1464,495,EDEM1,MAFK,0.9889388
361,273,CALR,NFE2L2,0.9889135
1515,361,BTG2,CALR,0.98886454
675,754,SETX,CDC5L,0.9888371
1464,273,EDEM1,NFE2L2,0.98883456
563,754,MYO1C,CDC5L,0.98872244
1286,1119,KNTC1,RCC2,0.9886662
351,362,CNOT8,CNOT6,0.98865557
93,362,CNOT7,CNOT6,0.9886254
1154,1464,CNOT3,EDEM1,0.98858565
361,835,CALR,GCLM,0.988533
