src_idx,dst_idx,src_gene,dst_gene,score
337,746,AASS,KNTC1,0.020119494
337,420,AASS,KAT7,0.018385194
337,328,AASS,PEF1,0.017646281
337,657,AASS,PTMA,0.017498977
337,141,AASS,THAP1,0.017419543
337,257,AASS,PHF5A,0.016532665
337,620,AASS,ECD,0.016292097
337,447,AASS,ANP32E,0.015702287
337,875,AASS,ASXL1,0.014876656
337,130,AASS,MTHFD2,0.014294177
337,534,AASS,ZNF143,0.013976559
337,143,AASS,HNRNPK,0.013367941
337,771,AASS,POU2F1,0.013183166
337,175,AASS,ACTL6A,0.013086622
337,492,AASS,ID2,0.012636706
337,514,AASS,RBM39,0.012516298
337,371,AASS,ZNF770,0.01246837
337,711,AASS,ETV5,0.0122120315
337,166,AASS,CDCA3,0.012127331
337,759,AASS,HNRNPUL1,0.011926991
337,303,AASS,WDR74,0.011647333
337,300,AASS,FEN1,0.011486348
337,76,AASS,PLAGL2,0.011366038
337,579,AASS,CSDE1,0.011148175
337,439,AASS,ARID2,0.010926228
337,221,AASS,DPAGT1,0.010882179
337,180,AASS,XBP1,0.010755305
337,945,AASS,MTERF3,0.01068765
337,656,AASS,CNOT7,0.010519954
337,914,AASS,AIMP2,0.010505505
337,29,AASS,EWSR1,0.01041444
337,56,AASS,ENO1,0.010386721
337,499,AASS,GGCT,0.010336695
337,109,AASS,CHAF1A,0.010238464
337,104,AASS,TARDBP,0.010172864
337,100,AASS,RBPJ,0.010012294
337,729,AASS,ANLN,0.009818612
337,63,AASS,FUBP1,0.009794632
337,108,AASS,PRC1,0.009656772
337,440,AASS,HINFP,0.009325727
337,329,AASS,GTF2E1,0.009311636
337,292,AASS,CENPW,0.0092381565
337,784,AASS,ACADSB,0.009217266
337,647,AASS,ASCC3,0.009197291
337,218,AASS,ZNF101,0.009052492
337,689,AASS,GTF3C5,0.009052137
337,883,AASS,DDX54,0.0090031475
337,867,AASS,TPX2,0.008971639
337,580,AASS,F3,0.008915903
337,766,AASS,UGP2,0.008908019
675,746,AATF,KNTC1,0.019350622
675,420,AATF,KAT7,0.017195515
675,328,AATF,PEF1,0.016955702
675,657,AATF,PTMA,0.016757285
675,141,AATF,THAP1,0.015515522
675,257,AATF,PHF5A,0.01496566
675,447,AATF,ANP32E,0.014823638
675,875,AATF,ASXL1,0.014483025
675,130,AATF,MTHFD2,0.013691969
675,534,AATF,ZNF143,0.013535708
675,175,AATF,ACTL6A,0.012820744
675,771,AATF,POU2F1,0.012196012
675,759,AATF,HNRNPUL1,0.012089611
675,492,AATF,ID2,0.011937447
675,166,AATF,CDCA3,0.011897358
675,468,AATF,EED,0.011792215
675,143,AATF,HNRNPK,0.011781756
675,711,AATF,ETV5,0.011709867
675,29,AATF,EWSR1,0.011340043
675,303,AATF,WDR74,0.0111778155
675,371,AATF,ZNF770,0.0109762065
675,514,AATF,RBM39,0.010821368
675,305,AATF,MCM8,0.010691509
675,300,AATF,FEN1,0.010608474
675,837,AATF,ZNF398,0.010558611
675,439,AATF,ARID2,0.01052474
675,180,AATF,XBP1,0.010374318
675,221,AATF,DPAGT1,0.010336719
675,579,AATF,CSDE1,0.010280176
675,945,AATF,MTERF3,0.010160422
675,763,AATF,NOL10,0.009890413
675,914,AATF,AIMP2,0.0097404225
675,499,AATF,GGCT,0.009633016
675,109,AATF,CHAF1A,0.009551416
675,656,AATF,CNOT7,0.009391628
675,108,AATF,PRC1,0.009351048
675,104,AATF,TARDBP,0.009310281
675,729,AATF,ANLN,0.009128363
675,63,AATF,FUBP1,0.008999065
675,784,AATF,ACADSB,0.00896466
675,100,AATF,RBPJ,0.008907817
675,329,AATF,GTF2E1,0.008834648
675,689,AATF,GTF3C5,0.008817041
675,218,AATF,ZNF101,0.00864187
675,883,AATF,DDX54,0.00860693
675,440,AATF,HINFP,0.008524077
675,620,AATF,ECD,0.008515134
675,580,AATF,F3,0.008473373
675,647,AATF,ASCC3,0.008465813
675,788,AATF,MCM3,0.00843281
50,746,ABT1,KNTC1,0.023422567
50,420,ABT1,KAT7,0.021029133
50,328,ABT1,PEF1,0.02070163
50,657,ABT1,PTMA,0.020471169
50,141,ABT1,THAP1,0.018953172
50,447,ABT1,ANP32E,0.018341774
50,257,ABT1,PHF5A,0.018194577
50,620,ABT1,ECD,0.01794729
50,130,ABT1,MTHFD2,0.017056897
50,534,ABT1,ZNF143,0.016414462
50,175,ABT1,ACTL6A,0.015703915
50,875,ABT1,ASXL1,0.015583625
50,468,ABT1,EED,0.015234615
50,771,ABT1,POU2F1,0.014932734
50,143,ABT1,HNRNPK,0.0144286575
50,166,ABT1,CDCA3,0.0144007
50,711,ABT1,ETV5,0.014274901
50,759,ABT1,HNRNPUL1,0.013963304
50,76,ABT1,PLAGL2,0.0136728
50,371,ABT1,ZNF770,0.013384201
50,514,ABT1,RBM39,0.01320512
50,221,ABT1,DPAGT1,0.013118944
50,180,ABT1,XBP1,0.013091345
50,300,ABT1,FEN1,0.012992546
50,837,ABT1,ZNF398,0.012849653
50,439,ABT1,ARID2,0.012768867
50,305,ABT1,MCM8,0.012698049
50,579,ABT1,CSDE1,0.012475722
50,945,ABT1,MTERF3,0.01235257
50,109,ABT1,CHAF1A,0.01230063
50,914,ABT1,AIMP2,0.012290079
50,63,ABT1,FUBP1,0.011944604
50,29,ABT1,EWSR1,0.011889798
50,499,ABT1,GGCT,0.011669377
50,329,ABT1,GTF2E1,0.011448143
50,656,ABT1,CNOT7,0.011420449
50,108,ABT1,PRC1,0.011341999
50,104,ABT1,TARDBP,0.011294681
50,689,ABT1,GTF3C5,0.011125276
50,883,ABT1,DDX54,0.010953309
50,729,ABT1,ANLN,0.010946967
50,100,ABT1,RBPJ,0.010836472
50,120,ABT1,SMC4,0.010697426
50,218,ABT1,ZNF101,0.0104306415
50,292,ABT1,CENPW,0.010316505
50,647,ABT1,ASCC3,0.0103021
50,867,ABT1,TPX2,0.010275516
