src_idx,dst_idx,src_gene,dst_gene,score
145,162,SPI1,MKI67,0.96907324
145,12,SPI1,MCM5,0.9690485
145,479,SPI1,CDK17,0.9690044
145,39,SPI1,NUCB2,0.96879286
145,131,SPI1,MLLT3,0.9687117
145,82,SPI1,TRIB3,0.96867555
145,372,SPI1,DUSP6,0.9685365
145,415,SPI1,TM6SF1,0.96852744
145,221,SPI1,FDFT1,0.9684419
145,237,SPI1,GNG11,0.9684353
145,22,SPI1,TSPAN3,0.9684147
145,223,SPI1,SLC16A10,0.9683899
145,34,SPI1,NR3C2,0.9683661
145,511,SPI1,TRIM16,0.9683552
145,10,SPI1,COQ8A,0.9681505
145,404,SPI1,NHP2,0.9680589
145,347,SPI1,PPM1G,0.96803135
145,507,SPI1,HMGB2,0.968031
145,429,SPI1,MYO5A,0.9680254
145,261,SPI1,TMEM14C,0.9679212
145,304,SPI1,ARID5A,0.9679138
145,483,SPI1,ZFP62,0.96782315
145,475,SPI1,BTG2,0.96773416
145,95,SPI1,NFE2,0.9677076
145,410,SPI1,VEGFC,0.96758157
145,409,SPI1,TMEM206,0.967529
145,484,SPI1,RARB,0.9675106
145,387,SPI1,DCK,0.9675078
145,0,SPI1,LDHB,0.96749955
145,318,SPI1,RANBP1,0.9673962
145,398,SPI1,XPC,0.967284
145,500,SPI1,LCK,0.96716624
145,229,SPI1,ARHGAP18,0.96701574
145,477,SPI1,MAN1A,0.96686757
145,538,SPI1,GBP9,0.96686256
145,434,SPI1,CPQ,0.9667954
145,190,SPI1,TMEM246,0.96667117
145,485,SPI1,H1F0,0.96647435
145,392,SPI1,ARPP21,0.96644676
145,41,SPI1,RASSF2,0.96644664
145,300,SPI1,FRMD6,0.9664346
145,531,SPI1,PTPRE,0.96641904
145,462,SPI1,FGD2,0.966418
145,492,SPI1,DTL,0.9664142
145,161,SPI1,ELOVL5,0.9663865
145,341,SPI1,TUBB4B,0.96633154
145,444,SPI1,MPZL1,0.9661718
145,523,SPI1,HACD4,0.9661203
145,286,SPI1,MEF2C,0.9660966
145,375,SPI1,LAX1,0.96609414
145,440,SPI1,AP1S2,0.966076
145,27,SPI1,RHOH,0.96601206
145,196,SPI1,TBXA2R,0.96600115
145,92,SPI1,TRIM59,0.9659779
145,356,SPI1,IL12A,0.9659511
145,535,SPI1,NLRC3,0.9658328
145,283,SPI1,SAT1,0.9658262
145,284,SPI1,ANXA5,0.9657998
145,44,SPI1,KCNK5,0.9657619
145,488,SPI1,RNF38,0.9657459
145,468,SPI1,CTTN,0.9656979
145,542,SPI1,ZFP422,0.96566087
145,519,SPI1,PTP4A3,0.9656092
145,260,SPI1,RHOF,0.96560305
145,91,SPI1,ITSN1,0.96554595
145,181,SPI1,KLHL4,0.9655455
145,361,SPI1,DPP4,0.96554536
145,224,SPI1,PLSCR4,0.96553695
145,489,SPI1,RAB27B,0.9655345
145,193,SPI1,PKIB,0.9655087
145,295,SPI1,GBP4,0.9654935
145,197,SPI1,POLA2,0.9654295
145,11,SPI1,IL17RA,0.9654295
145,503,SPI1,ABCG3,0.9652712
145,167,SPI1,NCAPD2,0.9652632
145,539,SPI1,EEPD1,0.96526027
145,219,SPI1,STARD4,0.9652473
145,532,SPI1,YBX1,0.965151
145,84,SPI1,SLC39A6,0.96514034
145,303,SPI1,ADGRL4,0.96513224
145,246,SPI1,KLF6,0.96512544
145,336,SPI1,CTR9,0.9651092
145,291,SPI1,PEAR1,0.96509945
145,515,SPI1,RP2,0.96509147
145,397,SPI1,PRKCH,0.96504664
145,130,SPI1,PF4,0.9649787
145,241,SPI1,ARHGEF39,0.9649326
145,243,SPI1,VAMP1,0.9648828
145,250,SPI1,NRROS,0.96488
145,414,SPI1,GSN,0.9647231
145,102,SPI1,FUT8,0.9646649
145,525,SPI1,TXNIP,0.9646498
145,147,SPI1,ERP29,0.964567
145,537,SPI1,CCNG2,0.96454674
145,139,SPI1,CCL3,0.96448743
145,201,SPI1,NT5C3,0.96444285
145,194,SPI1,DEF8,0.96440214
145,169,SPI1,MCM4,0.9643856
145,146,SPI1,HDAC7,0.96435237
145,420,SPI1,GBP2,0.96431476
145,46,SPI1,SERPINA3F,0.964209
145,159,SPI1,SERPINA3G,0.964209
145,506,SPI1,CD7,0.96417654
145,555,SPI1,CKS1B,0.9641699
145,543,SPI1,IFI213,0.96414953
145,364,SPI1,RORA,0.96408194
145,29,SPI1,LY9,0.9640283
145,262,SPI1,SSH2,0.9640282
145,348,SPI1,TRPV2,0.96398574
145,424,SPI1,CISH,0.96397924
145,274,SPI1,SLC44A2,0.9639564
145,66,SPI1,CCR7,0.9639519
145,315,SPI1,DUSP1,0.9639212
145,73,SPI1,UHRF1,0.963843
145,2,SPI1,EYA2,0.963809
145,376,SPI1,SLC39A13,0.963808
145,379,SPI1,APOE,0.9638059
145,472,SPI1,REL,0.96375597
145,401,SPI1,CIPC,0.9637415
145,38,SPI1,BC035044,0.9636727
145,117,SPI1,DENND2D,0.9636573
145,222,SPI1,PPIC,0.9636533
145,390,SPI1,HSD3B7,0.9635535
145,343,SPI1,JPT1,0.96350205
145,109,SPI1,IFI27L2A,0.9635009
145,533,SPI1,PSTPIP1,0.96347624
145,384,SPI1,CD55,0.9634383
145,59,SPI1,ANGPT1,0.9633958
145,176,SPI1,HAAO,0.9633781
145,225,SPI1,CDT1,0.96336824
145,183,SPI1,UNC93B1,0.9633584
145,548,SPI1,IFI209,0.96334237
145,395,SPI1,HNRNPAB,0.96330273
145,51,SPI1,SPC24,0.96330273
145,438,SPI1,ZNRF2,0.9632766
145,308,SPI1,TRIM47,0.9631931
145,128,SPI1,WLS,0.9631892
145,521,SPI1,H2-DMA,0.9631728
145,210,SPI1,CDKN1C,0.96311486
145,417,SPI1,UBA7,0.9630975
145,423,SPI1,D630039A03RIK,0.9630809
145,319,SPI1,CD74,0.9629918
145,45,SPI1,MCTP2,0.9629722
145,331,SPI1,ARHGAP27,0.9629206
145,365,SPI1,SPNS3,0.9629192
145,189,SPI1,SLC18A1,0.96283066
145,126,SPI1,BDH2,0.9628093
145,79,SPI1,MGAT1,0.96280634
145,187,SPI1,CD69,0.9627762
145,486,SPI1,SLC9A9,0.9627762
145,151,SPI1,TMEM268,0.9627672
145,198,SPI1,CMAH,0.96276456
145,234,SPI1,SLC2A3,0.96273
145,49,SPI1,VAMP5,0.9627181
145,510,SPI1,EFNA1,0.962693
145,7,SPI1,AKNA,0.96267176
145,474,SPI1,OTULINL,0.9626323
145,138,SPI1,P2RY14,0.9625624
145,276,SPI1,H2-Q6,0.96253556
145,516,SPI1,TMEM123,0.9624988
145,235,SPI1,TAPT1,0.9624833
145,311,SPI1,GIMAP1,0.9624255
145,152,SPI1,H2-OB,0.96240604
145,214,SPI1,FCHO2,0.9623966
145,271,SPI1,FLT3,0.96239185
145,514,SPI1,CHRNB1,0.9623887
145,402,SPI1,RRAS,0.96238637
145,8,SPI1,ITGA6,0.96238625
145,360,SPI1,TBC1D5,0.96231925
145,77,SPI1,MOGS,0.96231043
145,75,SPI1,NUPR1,0.96230453
145,466,SPI1,ZFP367,0.96229166
145,353,SPI1,RNF13,0.96215457
145,174,SPI1,PPCDC,0.96213037
145,259,SPI1,ARL11,0.96211916
145,513,SPI1,SLC35D3,0.9620965
145,99,SPI1,TTC39B,0.9620207
145,150,SPI1,SELL,0.9620011
145,307,SPI1,GPR18,0.96198475
145,328,SPI1,ST8SIA4,0.9619202
145,255,SPI1,TES,0.96190137
145,505,SPI1,CTSB,0.9618806
145,504,SPI1,NDRG2,0.96185195
145,215,SPI1,DOK2,0.96183276
145,357,SPI1,GNG2,0.9617866
145,363,SPI1,XRCC6,0.96172357
145,385,SPI1,ADSSL1,0.96171397
145,416,SPI1,PLD4,0.9616875
145,425,SPI1,GIMAP5,0.9615999
145,435,SPI1,S100A6,0.9615861
145,247,SPI1,PYGL,0.9615555
145,278,SPI1,GMNN,0.9615233
145,226,SPI1,CAPG,0.96152097
145,512,SPI1,RUNX2,0.96150666
145,382,SPI1,PLEK,0.96150166
145,21,SPI1,SERPINB1A,0.961489
145,456,SPI1,LRRC8C,0.9614359
145,520,SPI1,ACAP1,0.9612528
145,298,SPI1,RNF213,0.96122384
145,206,SPI1,NAPSA,0.9612115
145,123,SPI1,PAFAH2,0.9612115
145,330,SPI1,PANX1,0.96116734
145,280,SPI1,SERPINB6A,0.96114296
145,236,SPI1,PARVG,0.9611224
145,400,SPI1,ANKRD44,0.96107924
145,240,SPI1,RNASE6,0.96106875
145,497,SPI1,ATP8B4,0.96103585
145,317,SPI1,ARHGEF18,0.9610026
145,13,SPI1,GAS2L3,0.9609961
145,281,SPI1,NUDT19,0.9609206
145,218,SPI1,FCRL1,0.96087426
145,207,SPI1,BLNK,0.9608345
145,227,SPI1,TIPIN,0.96081173
