src_idx,dst_idx,src_gene,dst_gene,score
551,298,1700006J14RIK,DCP1A,0.95055693
148,298,1700017B05RIK,DCP1A,0.95046854
874,298,2210016F16RIK,DCP1A,0.9504663
1168,456,2610035D17RIK,CCNF,0.95903146
927,298,2610301B20RIK,DCP1A,0.9504663
209,298,4833439L19RIK,DCP1A,0.9504663
687,298,9030619P08RIK,DCP1A,0.9482145
469,298,9430015G10RIK,DCP1A,0.9504663
504,298,AAR2,DCP1A,0.9504663
618,456,ABCB10,CCNF,0.9465865
1194,298,ABCB4,DCP1A,0.9507788
1059,298,ABCB8,DCP1A,0.9504663
135,1050,ABCD3,PWP2,0.9949457
264,798,ABCF3,FBXW5,0.9951462
101,298,ABCG2,DCP1A,0.9504663
775,298,ABHD16A,DCP1A,0.9504349
1068,17,ABI1,MAPK1,0.99232703
62,298,ABITRAM,DCP1A,0.9504663
1083,216,ABL1,NCOA6,0.9921852
235,298,ABTB1,DCP1A,0.95045763
312,298,ACAA2,DCP1A,0.95064515
661,643,ACAP1,PHB2,0.9505312
1106,298,ACOX1,DCP1A,0.95032156
620,298,ACSS1,DCP1A,0.9504663
441,298,ACSS2,DCP1A,0.950537
607,298,ADAMTS10,DCP1A,0.9504663
568,298,ADD2,DCP1A,0.9504663
667,456,ADGRG3,CCNF,0.95233506
475,298,ADGRL4,DCP1A,0.9504663
967,298,ADK,DCP1A,0.9504293
941,298,ADO,DCP1A,0.9504663
142,298,ADSSL1,DCP1A,0.9504663
1161,456,AFAP1L1,CCNF,0.94660544
162,554,AFF4,PUS7,0.99508214
785,298,AFG3L2,DCP1A,0.9503208
206,899,AHCTF1,POLD1,0.9946189
531,298,AHCYL1,DCP1A,0.9505735
614,72,AHR,MAPK9,0.9922483
122,298,AI506816,DCP1A,0.9503978
391,298,AK3,DCP1A,0.9504663
799,456,ALAD,CCNF,0.9590334
984,298,ALDH18A1,DCP1A,0.95027125
15,298,ALDH1A1,DCP1A,0.9504663
1129,798,ALDH9A1,FBXW5,0.9592182
952,298,ALG11,DCP1A,0.9506639
414,298,ALG9,DCP1A,0.9499962
1047,298,ALKBH8,DCP1A,0.950399
282,643,AMPD3,PHB2,0.9505312
688,779,ANAPC2,FEM1A,0.9872788
550,610,ANAPC4,NFE2L2,0.9874117
854,298,ANGPT1,DCP1A,0.9504663
1201,298,ANK,DCP1A,0.9499466
961,298,ANKFY1,DCP1A,0.9504663
513,298,ANKLE1,DCP1A,0.9504663
6,298,ANKRD27,DCP1A,0.9504663
67,298,ANXA1,DCP1A,0.9504663
671,515,ANXA2,ATAD2,0.9927067
616,298,ANXA4,DCP1A,0.9504663
1148,17,ANXA5,MAPK1,0.9932806
119,298,ANXA6,DCP1A,0.9504349
70,298,AP1B1,DCP1A,0.9504663
507,298,AP1G2,DCP1A,0.9504663
1012,298,AP3S1,DCP1A,0.95062995
190,298,AP5M1,DCP1A,0.95053715
224,291,APBB1,DDX20,0.99045825
1032,298,APEH,DCP1A,0.95052195
214,241,APLP2,UROS,0.96687686
999,298,APOE,DCP1A,0.9504663
822,298,AQP1,DCP1A,0.95042664
532,298,AQP9,DCP1A,0.9504663
957,298,ARAP1,DCP1A,0.9504663
304,456,ARHGAP15,CCNF,0.9523717
12,298,ARHGAP4,DCP1A,0.9504663
318,298,ARHGEF18,DCP1A,0.9504663
130,298,ARHGEF6,DCP1A,0.94994843
919,298,ARID3B,DCP1A,0.9503378
1166,298,ARL6IP6,DCP1A,0.9505735
348,298,ARL8B,DCP1A,0.9504508
435,298,ARMC8,DCP1A,0.9504663
503,298,ARMT1,DCP1A,0.95032156
299,298,ASAH1,DCP1A,0.9499962
256,298,ASB8,DCP1A,0.95189834
313,511,ASF1B,CUL4A,0.99767345
270,298,ASNS,DCP1A,0.9504663
327,298,ATAD1,DCP1A,0.95033693
515,833,ATAD2,SMARCA2,0.99010044
1151,298,ATG12,DCP1A,0.9504663
1087,298,ATG16L1,DCP1A,0.9504663
207,298,ATG4B,DCP1A,0.9504663
518,456,ATL2,CCNF,0.9466457
898,298,ATP11C,DCP1A,0.950788
284,298,ATP13A1,DCP1A,0.95062995
411,298,ATP1B2,DCP1A,0.95058346
985,298,ATP2A3,DCP1A,0.95027125
1019,456,ATP6AP1,CCNF,0.9570531
1006,298,ATP6AP2,DCP1A,0.9504429
153,298,ATP6V1A,DCP1A,0.95056504
896,298,ATP7B,DCP1A,0.95079654
57,615,AURKA,MKI67,0.9943838
157,1130,AURKB,MCM10,0.9977356
682,298,AW112010,DCP1A,0.9504663
865,298,B230219D22RIK,DCP1A,0.9502493
333,298,B3GALNT2,DCP1A,0.9504349
627,298,BAG2,DCP1A,0.9504663
1176,721,BAP1,BMI1,0.98947424
1153,448,BATF2,NR3C2,0.9929669
393,1100,BC005561,POLR2B,0.99608165
365,298,BCAP29,DCP1A,0.9504663
794,643,BCLAF3,PHB2,0.9505312
127,17,BID,MAPK1,0.99236345
790,440,BIRC5,RFC4,0.9971065
774,298,BLVRB,DCP1A,0.9504349
890,72,BLZF1,MAPK9,0.9923366
721,1176,BMI1,BAP1,0.99164337
125,577,BTAF1,HDAC2,0.9915029
819,17,BTG2,MAPK1,0.9933776
176,298,BTK,DCP1A,0.9504976
150,1176,BTRC,BAP1,0.9886079
732,265,BUB1,NCAPH,0.9978721
466,576,BUB1B,CDT1,0.9982344
939,886,BUB3,RPA1,0.9956489
103,599,BYSL,PRKAR2B,0.99063736
450,298,C1QTNF12,DCP1A,0.9504663
977,298,C330018D20RIK,DCP1A,0.9504663
380,298,CACFD1,DCP1A,0.95041716
864,298,CAD,DCP1A,0.95048565
508,298,CALCRL,DCP1A,0.94994843
656,298,CALU,DCP1A,0.9504663
973,298,CAMK1,DCP1A,0.950474
1066,150,CAPN7,BTRC,0.9751194
837,298,CAR1,DCP1A,0.9510633
727,456,CARHSP1,CCNF,0.9523717
483,17,CASP1,MAPK1,0.9927193
665,298,CASP2,DCP1A,0.9502831
659,17,CASP3,MAPK1,0.9929455
841,298,CASP4,DCP1A,0.9504663
370,298,CAST,DCP1A,0.9504663
449,17,CBFB,MAPK1,0.99217916
706,1176,CBX7,BAP1,0.9939818
702,298,CCDC137,DCP1A,0.9504663
679,189,CCNA2,PLK1,0.9980117
145,1105,CCNB1,DCAF11,0.99633044
975,1000,CCNB2,RAD21,0.9985373
477,511,CCNE1,CUL4A,0.997656
760,992,CCNE2,CDK1,0.9954886
456,192,CCNF,RUVBL2,0.9887533
5,298,CCNG1,DCP1A,0.9504663
383,298,CD1D1,DCP1A,0.95055693
384,298,CD34,DCP1A,0.9504663
76,298,CD48,DCP1A,0.9504663
636,298,CD55,DCP1A,0.9504511
512,298,CD63,DCP1A,0.9505735
1080,1177,CD63-PS,RNF19A,0.94829947
1048,298,CD74,DCP1A,0.950399
509,298,CD82,DCP1A,0.94994843
402,298,CD84,DCP1A,0.95062995
38,298,CD9,DCP1A,0.9504663
33,298,CD93,DCP1A,0.9504663
444,1100,CDC20,POLR2B,0.994615
366,265,CDC45,NCAPH,0.9979145
885,440,CDC6,RFC4,0.9976338
933,265,CDC7,NCAPH,0.9979336
1144,298,CDCA3,DCP1A,0.9504663
1108,298,CDCA4,DCP1A,0.9504663
198,440,CDCA5,RFC4,0.9976063
315,1130,CDCA8,MCM10,0.99769247
992,1083,CDK1,ABL1,0.9931251
438,298,CDK19,DCP1A,0.9504663
576,521,CDT1,NASP,0.9980323
516,298,CELA1,DCP1A,0.9504663
301,886,CENPA,RPA1,0.9961521
968,813,CENPE,XRCC5,0.996161
803,993,CENPF,RPA2,0.99573034
543,886,CENPK,RPA1,0.9958222
1122,511,CENPL,CUL4A,0.99429286
690,899,CENPO,POLD1,0.99462765
691,298,CEP70,DCP1A,0.9504428
1160,298,CEPT1,DCP1A,0.9504663
958,298,CERS4,DCP1A,0.9504663
85,298,CERS5,DCP1A,0.9504663
223,298,CES2G,DCP1A,0.9504663
781,456,CHAMP1,CCNF,0.9521291
701,298,CHCHD10,DCP1A,0.9504663
820,298,CHMP3,DCP1A,0.95042783
1097,298,CHMP7,DCP1A,0.9504293
590,298,CHORDC1,DCP1A,0.9504663
359,298,CHP1,DCP1A,0.9504663
1091,17,CHUK,MAPK1,0.9935595
1090,298,CIPC,DCP1A,0.95027125
1165,448,CISH,NR3C2,0.99242485
720,298,CITED4,DCP1A,0.9504663
982,899,CKAP2,POLD1,0.99622285
880,511,CKAP2L,CUL4A,0.9952369
648,511,CKAP5,CUL4A,0.9945253
506,298,CKS1B,DCP1A,0.9503378
1089,298,CLCN4,DCP1A,0.9504663
773,1177,CLDN13,RNF19A,0.94839394
560,456,CLIC4,CCNF,0.9466145
593,23,CLN5,HCFC1,0.95440066
375,298,CLPTM1L,DCP1A,0.9504663
892,298,CLPX,DCP1A,0.9504663
974,721,CMPK2,BMI1,0.99139565
494,298,CNIH1,DCP1A,0.9504663
210,298,CNN2,DCP1A,0.9504663
480,17,CNOT10,MAPK1,0.99346995
161,72,CNOT7,MAPK9,0.9922192
1202,298,CNP,DCP1A,0.9504663
788,298,COA5,DCP1A,0.95055693
1155,298,COG6,DCP1A,0.9504663
429,298,COG7,DCP1A,0.9504663
170,298,COL5A1,DCP1A,0.9500142
242,456,COLGALT1,CCNF,0.9521291
168,643,COPB1,PHB2,0.9610408
612,298,COPB2,DCP1A,0.95045763
596,298,COPG1,DCP1A,0.9519035
295,770,COPS8,ERCC8,0.9968144
29,298,COQ8A,DCP1A,0.9504663
642,298,CORO1A,DCP1A,0.9504663
710,298,CPOX,DCP1A,0.9504663
369,298,CPQ,DCP1A,0.9504663
738,550,CPT1A,ANAPC4,0.98431903
462,456,CPT2,CCNF,0.946483
320,17,CRBN,MAPK1,0.9921802
255,17,CREB5,MAPK1,0.9927434
374,298,CRIP2,DCP1A,0.9505085
795,17,CRK,MAPK1,0.9927577
889,298,CRNKL1,DCP1A,0.9504663
731,241,CRYZL2,UROS,0.95635265
1056,298,CSAD,DCP1A,0.95027125
464,298,CSGALNACT2,DCP1A,0.9504663
1014,298,CSRP3,DCP1A,0.95062995
780,835,CSTF2,GTF2E1,0.99450713
736,298,CTLA2A,DCP1A,0.9503208
134,298,CTLA2B,DCP1A,0.9504663
1180,17,CTNNA1,MAPK1,0.99285126
479,798,CTPS,FBXW5,0.9960122
685,59,CTR9,PA2G4,0.995917
747,515,CTSC,ATAD2,0.9927067
681,298,CTSE,DCP1A,0.9504663
1021,298,CTSO,DCP1A,0.94994843
567,456,CTTN,CCNF,0.97257453
1013,550,CUL2,ANAPC4,0.99225074
1098,448,CUL3,NR3C2,0.990435
511,1105,CUL4A,DCAF11,0.99744415
413,298,CYB5R1,DCP1A,0.9500262
467,515,CYB5R3,ATAD2,0.99270564
361,298,CYP20A1,DCP1A,0.9504608
883,298,CYTH3,DCP1A,0.9503813
386,298,CYTH4,DCP1A,0.95046854
445,456,CYTIP,CCNF,0.9521291
514,298,D10WSU102E,DCP1A,0.9504663
289,241,D1ERTD622E,UROS,0.95635265
354,298,D230025D16RIK,DCP1A,0.95051086
1105,295,DCAF11,COPS8,0.99643964
302,126,DCAF13,KDM6A,0.9927309
412,298,DCAF4,DCP1A,0.9499962
981,298,DCK,DCP1A,0.95041716
298,1176,DCP1A,BAP1,0.97991794
305,298,DCTD,DCP1A,0.9503378
850,298,DDHD2,DCP1A,0.9519035
406,298,DDX1,DCP1A,0.9506639
291,1120,DDX20,DHX33,0.9891642
1058,448,DDX58,NR3C2,0.9911191
1171,17,DECR1,MAPK1,0.99232304
1170,798,DEK,FBXW5,0.9950972
75,456,DENND1C,CCNF,0.95901644
937,298,DENND2D,DCP1A,0.95079654
853,1054,DHFR,ORC5,0.99789894
1120,1176,DHX33,BAP1,0.9882235
253,298,DIS3L2,DCP1A,0.9504663
1181,298,DLST,DCP1A,0.950537
867,298,DNAJC10,DCP1A,0.9501271
619,456,DNAJC11,CCNF,0.9465865
378,298,DNAJC5,DCP1A,0.9504663
811,298,DNM1L,DCP1A,0.950454
729,298,DNPEP,DCP1A,0.9504663
929,17,DOCK2,MAPK1,0.9921638
839,298,DOK2,DCP1A,0.9504663
1116,298,DPH2,DCP1A,0.9504663
329,298,DPH6,DCP1A,0.95033693
921,298,DPP8,DCP1A,0.9503445
641,298,DRAM2,DCP1A,0.95041716
100,1130,DTL,MCM10,0.9977204
871,298,DUS1L,DCP1A,0.9505735
849,72,DUSP1,MAPK9,0.99141544
971,17,DUSP2,MAPK1,0.9923645
395,1105,DYNLT3,DCAF11,0.99667346
686,677,E2F4,RB1,0.99112684
1070,1100,E2F6,POLR2B,0.9953778
1008,265,E2F8,NCAPH,0.99782467
709,17,EBF1,MAPK1,0.9924465
912,17,EBI3,MAPK1,0.9920363
328,192,EDC3,RUVBL2,0.9819115
225,780,EFTUD2,CSTF2,0.9964077
1198,17,EGR1,MAPK1,0.9933407
733,456,EIF1AD,CCNF,0.9523717
352,298,EIF2B1,DCP1A,0.9503208
735,1100,EIF4ENIF1,POLR2B,0.991135
310,798,ELAC2,FBXW5,0.9950972
1113,298,ELF4,DCP1A,0.95041823
1092,488,ELL2,SETD2,0.99649125
443,298,ELMO1,DCP1A,0.95051086
200,23,ELOVL1,HCFC1,0.95423365
217,1105,ELP2,DCAF11,0.9961773
54,1105,ELP3,DCAF11,0.99686253
859,298,EMB,DCP1A,0.95032156
884,298,EMILIN1,DCP1A,0.9504663
856,298,EMILIN2,DCP1A,0.9504663
