src_idx,dst_idx,src_gene,dst_gene,score
396,333,2610307P16RIK,NR3C2,0.9807927
54,333,2810468N07RIK,NR3C2,0.9807084
7,333,4833407H14RIK,NR3C2,0.9807084
423,333,5430427O19RIK,NR3C2,0.9807084
161,333,9030619P08RIK,NR3C2,0.9807084
392,333,9530082P21RIK,NR3C2,0.9846315
511,333,ABCG2,NR3C2,0.9794606
20,333,ABCG3,NR3C2,0.9807084
656,333,ABHD17B,NR3C2,0.9807084
661,580,AC174780.1,MKI67,0.97842956
3,333,ACAP1,NR3C2,0.9807084
128,189,ADAM17,POLA2,0.9987834
601,333,ADAMTSL5,NR3C2,0.9807084
163,333,ADGRG1,NR3C2,0.99109215
14,333,ADGRG3,NR3C2,0.9807103
94,189,ADGRL4,POLA2,0.9815298
399,400,ADSSL1,MCM4,0.98096657
356,333,AFDN,NR3C2,0.9806958
500,333,AFF3,NR3C2,0.9807084
162,333,AI504432,NR3C2,0.9807084
306,400,AKNA,MCM4,0.98097897
370,333,ALDH1A1,NR3C2,0.9807084
17,333,AMIGO2,NR3C2,0.9807103
264,333,AMPD2,NR3C2,0.9807084
29,580,ANGPT1,MKI67,0.97842956
156,333,ANKRD33B,NR3C2,0.9807084
244,333,ANKRD44,NR3C2,0.9807084
222,333,ANXA2,NR3C2,0.9807084
593,400,ANXA5,MCM4,0.9987342
688,333,AP1S2,NR3C2,0.98132807
217,333,APLP2,NR3C2,0.98070246
520,400,APOE,MCM4,0.98097897
470,333,APP,NR3C2,0.9819344
271,333,ARHGAP15,NR3C2,0.98072374
118,580,ARHGAP18,MKI67,0.98405045
501,333,ARHGAP27,NR3C2,0.9807084
374,333,ARHGAP29,NR3C2,0.98072505
218,333,ARHGDIB,NR3C2,0.9807084
79,333,ARHGEF18,NR3C2,0.9807084
410,333,ARHGEF28,NR3C2,0.9807084
319,333,ARHGEF39,NR3C2,0.9807084
670,333,ARID5A,NR3C2,0.98070884
421,333,ARL11,NR3C2,0.9807084
234,333,ARPP21,NR3C2,0.9819344
15,333,ARRDC4,NR3C2,0.9807103
214,333,ART4,NR3C2,0.9807084
448,333,ATP1A3,NR3C2,0.97237533
168,333,ATP8B4,NR3C2,0.9807084
653,333,ATPIF1,NR3C2,0.98615855
411,333,BC035044,NR3C2,0.9807084
310,333,BCL2,NR3C2,0.9807084
530,333,BDH2,NR3C2,0.9854011
547,333,BGN,NR3C2,0.9806199
321,333,BLNK,NR3C2,0.9807084
224,333,BPIFC,NR3C2,0.9807084
687,333,BTG2,NR3C2,0.9973737
66,340,BTLA,TOP2A,0.9831555
526,333,C030034L19RIK,NR3C2,0.9807084
75,333,C130089K02RIK,NR3C2,0.9807084
105,333,C1RL,NR3C2,0.9806467
6,333,C230085N15RIK,NR3C2,0.9807084
254,333,CADPS2,NR3C2,0.9807084
473,333,CAMK1D,NR3C2,0.9807084
183,463,CAMSAP2,SLBP,0.9832306
78,333,CAPG,NR3C2,0.9807084
668,333,CAR2,NR3C2,0.98069775
457,333,CARD11,NR3C2,0.9807084
326,333,CARD6,NR3C2,0.9807084
645,189,CASP12,POLA2,0.9832306
559,333,CAV2,NR3C2,0.9815121
634,333,CAVIN2,NR3C2,0.9807084
384,189,CBFB,POLA2,0.998071
260,333,CBX7,NR3C2,0.9807084
437,333,CCDC112,NR3C2,0.9807084
50,494,CCDC136,PGR,0.9878251
616,580,CCL3,MKI67,0.9824163
475,333,CCL9,NR3C2,0.9807084
599,333,CCNG2,NR3C2,0.9807084
647,333,CCR7,NR3C2,0.9807084
686,333,CCR9,NR3C2,0.9807084
120,580,CCT2,MKI67,0.97651005
409,333,CD244A,NR3C2,0.9807084
447,333,CD27,NR3C2,0.9806369
246,333,CD33,NR3C2,0.9983791
372,333,CD34,NR3C2,0.9807084
325,333,CD38,NR3C2,0.99836963
134,333,CD44,NR3C2,0.9805736
642,189,CD48,POLA2,0.9832306
205,333,CD52,NR3C2,0.9816928
245,333,CD53,NR3C2,0.9861871
414,333,CD55,NR3C2,0.9807084
62,333,CD63,NR3C2,0.988111
490,333,CD63-PS,NR3C2,0.98072374
663,580,CD69,MKI67,0.97842956
193,333,CD7,NR3C2,0.997787
191,333,CD74,NR3C2,0.9807084
347,333,CD81,NR3C2,0.9807084
22,333,CD9,NR3C2,0.9807084
671,333,CD93,NR3C2,0.9807084
135,333,CDK17,NR3C2,0.9806536
504,333,CDK18,NR3C2,0.9807084
633,333,CDK19,NR3C2,0.9807084
517,463,CDK6,SLBP,0.9987379
496,333,CDKN1C,NR3C2,0.9807084
332,517,CDT1,CDK6,0.99730206
152,384,CERS4,CBFB,0.98272634
604,494,CES2G,PGR,0.9893087
646,333,CFP,NR3C2,0.97857064
556,333,CHIL5,NR3C2,0.9807084
187,580,CHRNB1,MKI67,0.97842956
619,580,CHST2,MKI67,0.9824163
585,333,CIPC,NR3C2,0.98070234
577,333,CISH,NR3C2,0.98071015
516,400,CKS1B,MCM4,0.98097897
299,333,CLCA3A1,NR3C2,0.9806551
35,494,CLEC12A,PGR,0.9845515
381,333,CLEC14A,NR3C2,0.9807084
388,333,CLEC1A,NR3C2,0.98072976
292,580,CLEC2I,MKI67,0.97842956
683,333,CLIP3,NR3C2,0.98070246
34,333,CLU,NR3C2,0.9813068
608,384,CMAH,CBFB,0.98273546
43,333,CNN3,NR3C2,0.9833354
274,189,COL4A1,POLA2,0.9832306
283,333,COL4A2,NR3C2,0.9807084
354,333,COQ8A,NR3C2,0.9813006
524,333,CORO1A,NR3C2,0.9807084
335,333,CORO7,NR3C2,0.9807084
32,333,COX6A1,NR3C2,0.9800618
11,333,COX6A2,NR3C2,0.9807084
149,384,COX7B,CBFB,0.98272634
451,499,CPNE8,TIPIN,0.98223674
296,333,CPQ,NR3C2,0.9806551
584,333,CPXM1,NR3C2,0.98070234
598,333,CRACR2B,NR3C2,0.9807084
1,333,CREG1,NR3C2,0.9807084
477,333,CRIP1,NR3C2,0.9807084
407,621,CSF1R,PLK2,0.9978143
297,333,CSF3R,NR3C2,0.9977603
137,333,CSGALNACT1,NR3C2,0.9807084
615,333,CST7,NR3C2,0.9807084
9,333,CTNNAL1,NR3C2,0.9807084
52,494,CTNND2,PGR,0.9827793
406,333,CTR9,NR3C2,0.9881215
595,333,CTSB,NR3C2,0.9807084
336,333,CTSF,NR3C2,0.9807084
103,333,CTSG,NR3C2,0.9807084
434,333,CTSH,NR3C2,0.9807084
574,333,CTSL,NR3C2,0.9807084
488,333,CTSS,NR3C2,0.9977622
141,333,CTSW,NR3C2,0.9807084
81,333,CTTN,NR3C2,0.9806997
