src_idx,dst_idx,src_gene,dst_gene,score
342,271,1700017B05RIK,PWP2,0.94243485
342,746,1700017B05RIK,ELP2,0.9374634
342,435,1700017B05RIK,TEX10,0.9360355
342,289,1700017B05RIK,CCNF,0.93531895
342,267,1700017B05RIK,ELF1,0.93275106
342,319,1700017B05RIK,HCFC1,0.93075365
342,457,1700017B05RIK,MYCN,0.93018806
342,128,1700017B05RIK,APBB1,0.9281486
342,622,1700017B05RIK,MEIS1,0.926521
342,232,1700017B05RIK,HJURP,0.9260653
342,428,1700017B05RIK,NDRG1,0.924673
342,784,1700017B05RIK,CBFB,0.92464036
342,691,1700017B05RIK,FOXO1,0.92424625
342,39,1700017B05RIK,ECT2,0.9214762
342,742,1700017B05RIK,HUS1,0.9213358
342,1092,1700017B05RIK,SHCBP1,0.92122513
342,356,1700017B05RIK,ABL1,0.9190657
342,506,1700017B05RIK,SMARCA2,0.9190061
342,546,1700017B05RIK,FIGNL1,0.91819245
342,786,1700017B05RIK,RB1,0.91787165
342,170,1700017B05RIK,ZNRF2,0.91616374
342,753,1700017B05RIK,RUVBL2,0.9160558
342,608,1700017B05RIK,CUL3,0.915968
342,780,1700017B05RIK,FEM1A,0.915968
342,658,1700017B05RIK,XPC,0.91550285
342,251,1700017B05RIK,NEDD1,0.9133271
342,507,1700017B05RIK,WDR5,0.91111684
342,526,1700017B05RIK,RARB,0.9110335
342,1125,1700017B05RIK,MYC,0.9107782
342,107,1700017B05RIK,RORA,0.9106607
342,434,1700017B05RIK,IL17RA,0.9106607
342,1113,1700017B05RIK,SPO11,0.9106411
342,348,1700017B05RIK,H1F0,0.90851337
342,923,1700017B05RIK,NUP85,0.9082593
342,192,1700017B05RIK,CENPO,0.9082092
342,471,1700017B05RIK,RANGAP1,0.9082092
342,559,1700017B05RIK,SPC24,0.9082092
342,734,1700017B05RIK,NUP107,0.9082092
342,1050,1700017B05RIK,SEH1L,0.9082092
342,933,1700017B05RIK,RAD21,0.9080977
342,477,1700017B05RIK,CENPL,0.90767056
342,66,1700017B05RIK,RPS6KA3,0.906798
342,756,1700017B05RIK,GFI1B,0.9051526
342,179,1700017B05RIK,MSH6,0.90367264
342,659,1700017B05RIK,CD44,0.9034256
342,951,1700017B05RIK,H2AFX,0.90287995
342,993,1700017B05RIK,DDX20,0.9021769
342,85,1700017B05RIK,SNRPB,0.8979168
342,986,1700017B05RIK,CREB5,0.8966062
342,925,1700017B05RIK,PHF10,0.8965989
485,271,2610035D17RIK,PWP2,0.93768764
485,746,2610035D17RIK,ELP2,0.9373578
485,435,2610035D17RIK,TEX10,0.93592346
485,289,2610035D17RIK,CCNF,0.93520796
485,267,2610035D17RIK,ELF1,0.9326035
485,457,2610035D17RIK,MYCN,0.9320929
485,319,2610035D17RIK,HCFC1,0.93063015
485,622,2610035D17RIK,MEIS1,0.9263758
485,232,2610035D17RIK,HJURP,0.9259218
485,691,2610035D17RIK,FOXO1,0.9257391
485,428,2610035D17RIK,NDRG1,0.9245696
485,784,2610035D17RIK,CBFB,0.92450976
485,1092,2610035D17RIK,SHCBP1,0.92158663
485,39,2610035D17RIK,ECT2,0.92133945
485,546,2610035D17RIK,FIGNL1,0.9212049
485,742,2610035D17RIK,HUS1,0.9212049
485,356,2610035D17RIK,ABL1,0.91893417
485,506,2610035D17RIK,SMARCA2,0.91886914
485,1113,2610035D17RIK,SPO11,0.91786504
485,786,2610035D17RIK,RB1,0.91772556
485,753,2610035D17RIK,RUVBL2,0.9159296
485,170,2610035D17RIK,ZNRF2,0.9158393
485,608,2610035D17RIK,CUL3,0.9158393
485,780,2610035D17RIK,FEM1A,0.9158393
485,658,2610035D17RIK,XPC,0.9153587
485,251,2610035D17RIK,NEDD1,0.91321397
485,734,2610035D17RIK,NUP107,0.912785
485,507,2610035D17RIK,WDR5,0.9109588
485,526,2610035D17RIK,RARB,0.91084605
485,1125,2610035D17RIK,MYC,0.9106097
485,107,2610035D17RIK,RORA,0.91052276
485,434,2610035D17RIK,IL17RA,0.91052276
485,348,2610035D17RIK,H1F0,0.9083138
485,1050,2610035D17RIK,SEH1L,0.90823066
485,192,2610035D17RIK,CENPO,0.9080402
485,471,2610035D17RIK,RANGAP1,0.9080402
485,477,2610035D17RIK,CENPL,0.9080402
485,559,2610035D17RIK,SPC24,0.9080402
485,923,2610035D17RIK,NUP85,0.9080402
485,933,2610035D17RIK,RAD21,0.9080402
485,756,2610035D17RIK,GFI1B,0.9049624
485,846,2610035D17RIK,XRCC6,0.90392846
485,951,2610035D17RIK,H2AFX,0.9027219
485,993,2610035D17RIK,DDX20,0.901688
485,179,2610035D17RIK,MSH6,0.9009184
485,128,2610035D17RIK,APBB1,0.8993827
485,85,2610035D17RIK,SNRPB,0.89774275
485,397,2610035D17RIK,SF3B3,0.8972139
485,442,2610035D17RIK,LYN,0.8964746
485,925,2610035D17RIK,PHF10,0.89644206
739,622,4833439L19RIK,MEIS1,0.94479555
739,271,4833439L19RIK,PWP2,0.94233865
739,746,4833439L19RIK,ELP2,0.9373578
739,435,4833439L19RIK,TEX10,0.93592346
739,289,4833439L19RIK,CCNF,0.93520796
739,267,4833439L19RIK,ELF1,0.93263656
739,319,4833439L19RIK,HCFC1,0.93063015
739,457,4833439L19RIK,MYCN,0.93004584
739,232,4833439L19RIK,HJURP,0.9259218
739,428,4833439L19RIK,NDRG1,0.92458093
739,784,4833439L19RIK,CBFB,0.92450976
739,691,4833439L19RIK,FOXO1,0.92411065
739,1092,4833439L19RIK,SHCBP1,0.9229705
739,39,4833439L19RIK,ECT2,0.92133945
739,742,4833439L19RIK,HUS1,0.9212049
739,546,4833439L19RIK,FIGNL1,0.92119133
