src_idx,dst_idx,src_gene,dst_gene,score
684,281,BMPR1A,MYC,0.9323907
427,281,ZFP36,MYC,0.93171144
745,281,ING5,MYC,0.928467
53,281,DR1,MYC,0.92590207
322,281,PAPOLA,MYC,0.92443836
604,281,AEBP1,MYC,0.92311114
164,281,SNAPC1,MYC,0.9227804
902,281,SUPT16H,MYC,0.92244726
636,281,SRSF3,MYC,0.92217404
511,281,SHISA2,MYC,0.9211878
92,281,ZRANB2,MYC,0.92116505
88,281,ZNF33A,MYC,0.9207913
800,281,PDLIM7,MYC,0.9207913
646,281,MRPS27,MYC,0.9206201
745,683,ING5,FHL2,0.920272
321,281,ZFHX3,MYC,0.920028
497,281,CEP70,MYC,0.91996604
408,281,BCL11B,MYC,0.9197939
930,281,GEMIN2,MYC,0.9194543
64,66,RNASEH2A,IRF9,0.9191732
891,66,DOT1L,IRF9,0.9191638
225,281,BCS1L,MYC,0.91890967
398,281,PRMT5,MYC,0.918812
240,281,HESX1,MYC,0.91789764
589,281,HMGCS2,MYC,0.9178176
538,281,MCM8,MYC,0.91775525
42,835,WDHD1,CBX3,0.9175304
688,281,RNF4,MYC,0.91750985
81,281,FOXH1,MYC,0.9174434
657,281,NUP35,MYC,0.91726696
383,281,CD9,MYC,0.9171665
509,281,AFF4,MYC,0.9170786
64,281,RNASEH2A,MYC,0.9170786
42,281,WDHD1,MYC,0.9170786
260,281,ALG6,MYC,0.9170786
591,281,AMZ2,MYC,0.9170786
891,281,DOT1L,MYC,0.9170786
203,281,RAD51C,MYC,0.9170786
841,281,ZNF160,MYC,0.9170786
531,281,GATAD2B,MYC,0.9170786
709,281,NONO,MYC,0.9170371
315,281,TBPL1,MYC,0.91702497
643,281,U2AF1,MYC,0.91698676
19,281,MIS18BP1,MYC,0.91697204
237,281,HIST1H1E,MYC,0.9165976
901,281,PAK1IP1,MYC,0.91639155
734,281,CEBPD,MYC,0.91618615
286,281,TTF2,MYC,0.91609675
94,281,CREB3L4,MYC,0.9157295
90,281,ATG5,MYC,0.91565794
