src_idx,dst_idx,src_gene,dst_gene,score
648,103,COPS2,NPM1,0.9956375
648,446,COPS2,NME2,0.9956117
125,446,TARBP2,NME2,0.9952874
648,479,COPS2,SSB,0.99505085
449,446,SUPT16H,NME2,0.9950412
449,103,SUPT16H,NPM1,0.9949221
91,446,DNAJC2,NME2,0.99488926
125,479,TARBP2,SSB,0.994576
449,479,SUPT16H,SSB,0.99436074
125,103,TARBP2,NPM1,0.9943316
551,446,POLR2F,NME2,0.99424744
91,479,DNAJC2,SSB,0.9942445
713,464,TCEB3,POLR2H,0.9942041
713,446,TCEB3,NME2,0.99413633
728,446,ING1,NME2,0.9941307
464,446,POLR2H,NME2,0.9941156
344,446,SUPT6H,NME2,0.9941151
228,551,POLR2K,POLR2F,0.99399143
344,551,SUPT6H,POLR2F,0.9939784
179,551,RDBP,POLR2F,0.993978
464,713,POLR2H,TCEB3,0.9939774
4,179,NEDD8,RDBP,0.9939312
587,551,TCEB1,POLR2F,0.99388736
184,551,SRSF6,POLR2F,0.99385506
587,446,TCEB1,NME2,0.993845
464,551,POLR2H,POLR2F,0.9938421
103,446,NPM1,NME2,0.9938274
184,713,SRSF6,TCEB3,0.9938258
813,551,TAF7,POLR2F,0.9938206
586,551,POLR2G,POLR2F,0.9938001
813,446,TAF7,NME2,0.99379057
667,551,SNRPG,POLR2F,0.99377924
728,479,ING1,SSB,0.9937782
645,464,SNRPD1,POLR2H,0.99377596
713,551,TCEB3,POLR2F,0.99377525
716,551,GTF2B,POLR2F,0.993751
184,446,SRSF6,NME2,0.9937411
551,713,POLR2F,TCEB3,0.99372125
652,551,POLR2E,POLR2F,0.993708
782,551,POLR2B,POLR2F,0.9936752
329,551,GTF2A1,POLR2F,0.99366486
667,446,SNRPG,NME2,0.99364614
146,551,SRSF9,POLR2F,0.99363446
672,551,TAF6,POLR2F,0.99362904
173,551,SNRPB,POLR2F,0.99362904
449,551,SUPT16H,POLR2F,0.9936119
179,713,RDBP,TCEB3,0.99359
449,228,SUPT16H,POLR2K,0.99357396
179,146,RDBP,SRSF9,0.99356705
228,713,POLR2K,TCEB3,0.993562
816,551,POLR2D,POLR2F,0.9935548
344,713,SUPT6H,TCEB3,0.9935545
716,446,GTF2B,NME2,0.99355423
151,446,POLR2J,NME2,0.9935528
4,446,NEDD8,NME2,0.99354386
480,446,NDUFA7,NME2,0.99354386
174,551,GTF2F1,POLR2F,0.99354374
551,479,POLR2F,SSB,0.99352044
173,446,SNRPB,NME2,0.99348974
151,551,POLR2J,POLR2F,0.99347275
308,551,ELL2,POLR2F,0.99346536
273,551,SUPT4H1,POLR2F,0.9934589
551,103,POLR2F,NPM1,0.9934441
247,551,TCEA1,POLR2F,0.99344045
4,551,NEDD8,POLR2F,0.9934275
344,479,SUPT6H,SSB,0.99341005
228,479,POLR2K,SSB,0.9934056
480,551,NDUFA7,POLR2F,0.99340457
103,479,NPM1,SSB,0.99337876
551,200,POLR2F,PCBP2,0.9933749
645,446,SNRPD1,NME2,0.9933722
813,713,TAF7,TCEB3,0.9933716
645,713,SNRPD1,TCEB3,0.99333584
716,713,GTF2B,TCEB3,0.99332833
667,713,SNRPG,TCEB3,0.99332833
464,479,POLR2H,SSB,0.9933228
652,713,POLR2E,TCEB3,0.99331117
344,103,SUPT6H,NPM1,0.9933061
713,103,TCEB3,NPM1,0.9932995
308,446,ELL2,NME2,0.9932922
125,200,TARBP2,PCBP2,0.9932747
329,713,GTF2A1,TCEB3,0.9932607
329,446,GTF2A1,NME2,0.9932533
179,0,RDBP,SRSF1,0.9932499
146,713,SRSF9,TCEB3,0.9932481
449,200,SUPT16H,PCBP2,0.9932458
782,713,POLR2B,TCEB3,0.99324155
672,713,TAF6,TCEB3,0.9932284
720,446,UQCR11,NME2,0.9931892
344,567,SUPT6H,POLR2I,0.99316424
174,446,GTF2F1,NME2,0.9931543
587,479,TCEB1,SSB,0.9931539
125,551,TARBP2,POLR2F,0.99315166
173,713,SNRPB,TCEB3,0.9931451
228,103,POLR2K,NPM1,0.99313414
68,551,ZNRD1,POLR2F,0.9931335
713,228,TCEB3,POLR2K,0.99311286
816,713,POLR2D,TCEB3,0.99311185
713,200,TCEB3,PCBP2,0.99310994
586,446,POLR2G,NME2,0.9931069
587,174,TCEB1,GTF2F1,0.9930862
551,179,POLR2F,RDBP,0.99303883
179,200,RDBP,PCBP2,0.99303705
464,103,POLR2H,NPM1,0.99303114
184,479,SRSF6,SSB,0.9930173
344,200,SUPT6H,PCBP2,0.99301493
