src_idx,dst_idx,src_gene,dst_gene,score
478,33,MKI67,CSTF2,0.99316734
497,33,TYMS,CSTF2,0.9931577
478,82,MKI67,RB1,0.9931271
345,33,UHRF1,CSTF2,0.9930962
497,82,TYMS,RB1,0.9930306
620,33,TIPIN,CSTF2,0.99295664
297,33,LIG1,CSTF2,0.9927759
279,33,AURKB,CSTF2,0.9927752
246,33,TK1,CSTF2,0.99276006
266,33,MSH6,CSTF2,0.9927504
182,33,RPA1,CSTF2,0.99272984
273,33,FIGNL1,CSTF2,0.9927274
610,33,PRIM2,CSTF2,0.9927274
42,33,HMGB2,CSTF2,0.9927186
361,33,CCNB2,CSTF2,0.9927108
399,33,RRM2,CSTF2,0.99267876
411,33,CDC45,CSTF2,0.9926674
323,33,MCM4,CSTF2,0.992646
407,33,CDC7,CSTF2,0.99264365
21,33,RRM1,CSTF2,0.99264294
102,33,PRIM1,CSTF2,0.99263555
30,33,PBK,CSTF2,0.9926237
478,99,MKI67,CTR9,0.992619
204,33,MCM2,CSTF2,0.99261224
189,33,MCM5,CSTF2,0.9926064
500,33,MCM3,CSTF2,0.9925696
575,33,GTF2F1,CSTF2,0.99255717
345,82,UHRF1,RB1,0.99254507
345,426,UHRF1,PRPF4,0.99253654
620,230,TIPIN,TOP3B,0.9925364
240,33,RPA2,CSTF2,0.9925327
350,33,MCM6,CSTF2,0.99252445
230,33,TOP3B,CSTF2,0.9925014
497,99,TYMS,CTR9,0.992496
345,99,UHRF1,CTR9,0.9924217
497,53,TYMS,ORC6,0.9924015
345,290,UHRF1,POLD1,0.9923959
290,33,POLD1,CSTF2,0.99232495
226,33,POLR2B,CSTF2,0.9923062
182,230,RPA1,TOP3B,0.9922907
246,230,TK1,TOP3B,0.9922889
182,426,RPA1,PRPF4,0.9922869
297,230,LIG1,TOP3B,0.99226487
266,230,MSH6,TOP3B,0.99226344
497,230,TYMS,TOP3B,0.9922552
273,230,FIGNL1,TOP3B,0.9922544
610,230,PRIM2,TOP3B,0.9922516
361,230,CCNB2,TOP3B,0.9922478
189,426,MCM5,PRPF4,0.9922443
246,426,TK1,PRPF4,0.9922429
